,A & N Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Naduv,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Miscellaneous
20210224,"7,762","5,92,903","27,930","1,95,420","6,00,795","18,562","4,05,883","5,313","2,112","3,77,694","18,300","9,10,683","2,71,497","1,11,699","2,28,195","2,89,872","7,65,669","4,93,269","8,947","2,983","7,24,350","10,87,111","48,232","29,448","23,674","32,336","5,84,948","10,459","1,66,693","9,31,222","16,931","4,14,827","3,89,970","1,02,752","12,26,775","1,51,002","8,86,491","5,08,454"
20210225,"8,419","6,34,449","30,524","2,11,037","6,24,386","20,462","4,21,991","5,589","2,405","3,96,639","19,793","9,58,094","2,89,033","1,17,764","2,43,885","2,99,779","7,89,208","5,30,474","9,501","3,041","7,80,465","11,42,290","51,177","30,210","25,831","34,116","6,12,802","10,479","1,81,892","9,50,386","17,858","4,29,255","3,98,078","1,08,014","13,70,739","1,54,994","9,93,106","5,64,478"
20210226,"8,556","6,68,944","32,120","2,23,581","6,39,370","22,602","4,29,625","5,784","2,658","4,09,959","20,794","10,01,170","2,93,824","1,22,428","2,57,072","3,08,208","8,18,722","5,87,311","10,055","3,078","8,11,316","12,02,180","54,965","32,191","27,656","35,303","6,18,821","11,144","1,90,800","10,23,207","18,312","4,45,328","4,19,791","1,10,978","14,80,983","1,61,786","11,06,181","6,25,744"
20210227,"8,556","6,68,944","32,120","2,23,581","6,39,370","22,602","4,29,625","5,784","2,658","4,09,959","20,794","10,01,170","2,93,824","1,22,428","2,57,072","3,08,208","8,18,722","5,87,311","10,055","3,078","8,11,316","12,02,180","54,965","32,191","27,656","35,303","6,18,821","11,144","1,90,800","10,23,207","18,312","4,45,328","4,19,791","1,10,978","14,80,983","1,61,786","11,06,181","6,84,463"
20210228,"8,556","6,68,944","32,120","2,23,581","6,39,370","22,602","4,29,625","5,784","2,658","4,09,959","20,794","10,01,170","2,93,824","1,22,428","2,57,072","3,08,208","8,18,722","5,87,311","10,055","3,078","8,11,316","12,02,180","54,965","32,191","27,656","35,303","6,18,821","11,144","1,90,800","10,23,207","18,312","4,45,328","4,19,791","1,10,978","14,80,983","1,61,786","11,06,181","6,84,463"
20210301,"9,137","6,83,633","34,881","2,30,799","6,43,349","24,323","4,43,837","5,597","2,658","4,25,480","22,943","10,70,108","2,99,672","1,28,093","2,68,556","3,16,296","8,23,660","6,25,123","10,055","3,212","8,55,097","12,37,004","56,458","33,122","29,513","35,830","6,40,735","11,766","2,00,044","11,09,553","19,398","4,80,411","4,24,274","1,13,770","14,88,421","1,65,512","11,24,158","7,57,658"
20210302,"9,501","6,99,364","37,031","2,51,303","6,60,596","24,265","4,60,063","5,910","3,043","4,46,757","26,408","11,71,503","3,08,375","1,34,004","2,80,141","3,27,579","8,36,350","6,62,713","10,055","3,216","8,55,097","12,85,081","60,396","34,581","33,466","37,110","6,68,498","12,589","2,09,370","12,61,773","20,430","5,22,054","4,35,329","1,17,869","14,88,421","1,74,562","11,92,882","8,53,064"
20210303,"9,501","7,22,601","37,162","2,70,406","6,92,382","26,991","4,90,690","6,135","3,870","4,71,811","30,501","12,29,465","3,14,562","1,40,098","2,80,141","3,44,920","8,57,102","7,01,514","10,478","3,216","9,26,206","13,68,909","64,089","36,212","37,386","39,576","6,96,758","14,845","2,21,415","14,90,232","21,918","5,88,391","4,50,803","1,19,631","14,88,421","1,85,793","12,79,958","9,41,959"
20210304,"9,501","7,48,938","40,830","3,16,106","7,42,349","29,841","5,35,205","6,610","4,357","4,99,770","35,482","14,21,761","3,33,415","1,49,904","2,99,418","3,61,482","8,79,036","8,10,847","12,884","3,216","9,98,891","14,71,450","66,423","37,921","40,058","41,140","7,54,651","16,562","2,35,698","16,09,343","24,030","6,69,417","4,72,010","1,25,814","15,92,712","2,06,358","13,76,553","10,25,520"
20210305,"11,119","7,85,878","43,918","3,57,619","7,88,907","32,619","5,80,137","7,185","4,910","5,26,827","39,766","16,05,119","3,53,760","1,59,871","3,18,648","3,82,065","9,09,602","9,02,858","14,499","3,300","10,09,607","15,97,458","69,755","41,924","40,975","41,895","7,78,730","17,501","2,52,855","18,91,118","26,993","7,61,625","4,86,049","1,32,681","17,01,661","2,25,030","14,87,060","11,06,180"
20210306,"11,842","8,34,025","45,667","3,94,401","8,42,232","35,350","6,32,750","7,752","5,474","5,60,074","43,051","17,64,981","3,64,996","1,67,981","3,39,224","4,00,122","9,39,498","10,03,309","16,734","3,470","10,92,767","17,44,420","73,414","44,883","42,197","42,669","8,22,112","18,847","2,66,977","21,31,443","28,862","8,47,097","5,10,904","1,35,221","17,11,715","2,42,892","15,80,799","11,72,192"
20210307,"12,052","8,34,025","45,667","4,05,394","8,42,232","35,350","6,34,650","7,752","5,474","5,60,074","43,058","17,65,707","3,65,652","1,70,453","3,39,224","4,06,256","9,39,926","10,20,994","16,734","3,470","10,92,767","17,46,065","73,494","44,950","42,197","42,669","8,22,112","18,847","2,68,445","21,36,249","28,862","8,47,097","5,10,904","1,35,221","17,11,715","2,43,782","15,91,868","11,77,622"
20210308,"12,888","8,82,244","48,474","4,41,699","10,44,369","38,806","6,83,738","8,104","5,894","5,95,812","46,801","19,53,148","3,98,307","1,79,244","3,64,801","4,29,593","10,13,195","11,29,691","19,308","3,638","11,76,332","19,40,369","76,829","47,688","44,090","45,469","9,07,996","20,618","2,88,104","23,26,975","32,491","9,57,348","5,56,978","1,44,674","19,18,329","2,66,326","17,30,022","12,28,341"
20210309,"13,470","9,30,160","50,384","4,69,387","11,20,131","41,600","7,24,260","8,538","6,114","6,30,051","50,409","21,17,257","4,32,755","2,03,367","3,92,481","4,54,795","10,71,038","12,33,572","22,232","3,968","11,82,631","20,89,146","79,030","50,348","47,161","47,679","9,71,925","22,078","3,07,545","23,87,797","35,709","10,37,824","5,94,178","1,52,946","19,35,522","2,89,273","18,89,064","12,72,081"
20210310,"13,797","9,73,239","50,384","4,88,139","11,79,290","44,467","7,74,763","8,858","6,698","6,60,991","54,615","21,62,924","4,51,769","2,13,581","3,92,369","4,73,087","11,63,844","12,89,216","25,438","3,968","12,87,974","23,17,696","81,412","52,915","51,087","50,281","10,16,936","24,007","3,24,667","25,10,918","39,650","11,24,724","6,23,634","1,54,910","19,56,508","3,04,698","20,25,599","13,05,958"
20210311,"14,288","9,81,721","53,386","5,08,981","11,79,290","45,417","7,79,548","8,858","6,698","6,90,432","56,843","21,73,745","4,61,696","2,14,288","3,93,368","4,89,014","11,83,958","13,46,252","28,431","3,968","12,87,974","23,98,401","83,002","56,087","52,866","52,980","10,20,207","25,558","3,30,945","25,11,418","43,489","12,05,185","6,23,634","1,56,732","19,59,312","3,07,971","20,92,262","13,36,715"
20210312,"14,874","10,31,926","55,709","5,28,177","13,14,865","48,034","8,28,187","9,547","7,141","7,21,007","62,173","23,47,875","5,01,916","2,36,593","3,93,819","5,20,034","13,00,162","14,69,270","31,047","3,968","12,94,814","26,53,357","85,654","58,342","54,231","54,026","10,98,111","27,331","3,50,687","26,98,263","46,273","12,98,251","6,23,634","1,69,109","22,89,466","3,37,620","22,91,486","13,61,478"
20210313,"15,203","10,77,813","57,056","5,38,913","14,00,949","50,592","8,85,989","9,547","7,619","7,60,860","66,143","24,85,153","5,20,425","2,43,459","4,36,651","5,46,459","13,57,062","15,41,348","33,650","5,093","14,65,605","27,83,323","86,691","59,914","54,787","54,575","11,62,949","29,319","3,68,130","28,94,730","46,529","13,84,184","6,47,167","1,72,977","23,14,913","3,55,592","24,21,424","13,95,616"
20210314,"15,203","10,77,813","57,056","5,39,254","14,00,949","50,714","8,92,668","9,547","7,619","7,60,860","66,143","24,96,697","5,22,363","2,45,092","4,36,651","5,64,641","13,73,224","15,48,683","34,140","5,093","14,65,605","28,32,150","86,691","59,914","54,787","54,715","11,62,949","29,319","3,68,464","28,98,900","46,529","13,84,184","6,75,916","1,73,490","23,20,154","3,57,156","24,35,983","13,96,722"
20210315,"15,846","11,59,816","60,320","5,62,526","14,91,177","53,601","9,73,242","9,927","8,201","8,00,602","71,794","26,56,703","6,81,427","2,58,290","4,78,419","5,97,920","15,59,531","16,89,366","36,717","5,508","16,55,867","30,97,047","89,878","61,502","56,692","58,282","12,84,521","31,864","3,95,006","31,05,252","49,518","14,99,745","7,15,586","1,94,300","29,66,734","3,87,734","26,88,755","14,38,216"
20210316,"16,194","12,35,282","62,168","5,80,695","15,64,107","56,017","10,35,067","10,215","8,817","8,39,039","77,336","28,12,023","7,48,896","2,95,678","5,20,296","6,42,316","16,76,300","18,36,215","38,532","5,508","16,63,861","33,29,387","91,730","65,312","59,344","61,200","13,84,942","34,565","4,18,671","33,47,703","51,663","16,06,931","7,42,019","2,13,483","31,43,272","4,18,468","28,86,955","14,84,329"
20210317,"16,194","13,16,192","62,168","5,90,838","16,34,065","58,079","11,14,501","10,414","9,469","8,67,433","80,576","28,53,958","7,63,095","3,05,825","5,20,495","6,80,682","19,27,246","18,91,431","39,946","5,791","18,66,138","36,03,424","94,382","68,510","60,063","63,148","14,71,316","37,769","4,41,390","36,84,843","54,299","17,18,313","7,79,915","2,23,650","32,46,323","4,37,067","30,17,035","15,27,272"
20210318,"17,071","14,06,055","65,786","6,09,827","17,25,381","60,150","11,93,874","10,730","9,758","9,07,997","83,096","30,51,001","8,31,953","3,34,837","5,63,379","7,12,901","20,26,227","20,42,372","41,143","6,029","18,66,138","38,04,142","96,405","72,484","61,026","65,915","15,81,336","41,660","4,69,506","37,38,737","57,215","18,40,069","8,32,084","2,54,032","36,68,945","4,68,393","31,49,350","15,72,813"
20210319,"17,506","15,03,787","68,198","6,27,818","18,05,604","62,242","12,64,446","11,060","10,519","9,37,496","86,384","32,71,968","8,92,897","3,56,081","5,83,521","7,32,932","22,84,199","21,79,337","42,204","6,109","18,70,756","40,60,333","98,913","76,656","61,619","67,353","16,88,682","44,421","5,04,116","40,47,196","59,689","19,64,650","8,73,635","2,87,600","40,08,560","5,00,024","34,82,448","16,22,433"
20210320,"18,132","16,11,084","69,919","6,45,191","19,17,945","64,172","13,40,490","11,417","10,907","9,84,265","89,508","35,14,661","9,07,478","3,66,502","5,99,915","8,73,188","24,81,149","22,97,176","43,249","6,197","22,28,256","42,65,512","1,02,179","78,554","62,247","67,934","17,84,847","48,565","5,36,408","42,74,213","61,265","20,86,121","8,95,346","3,16,751","41,26,506","5,17,251","36,30,910","16,68,431"
20210321,"18,132","16,11,084","69,919","6,47,269","19,17,945","64,324","13,41,500","11,417","10,907","9,84,655","89,508","37,21,583","9,08,001","3,67,998","5,99,915","10,25,942","25,02,109","23,03,253","43,283","6,197","22,28,256","42,78,482","1,02,358","78,554","62,247","67,934","17,84,847","48,565","5,46,252","42,88,901","61,265","20,86,121","8,95,346","3,21,731","41,32,135","5,19,927","36,49,705","16,68,431"
20210322,"18,990","17,41,878","73,426","6,78,659","20,13,059","66,213","14,07,109","11,417","11,575","10,30,717","92,961","39,50,792","11,57,363","3,77,766","6,36,258","10,65,437","27,30,456","24,32,273","44,270","6,293","26,62,634","45,54,836","1,05,281","82,565","62,833","72,971","18,81,914","52,198","5,78,459","45,41,540","63,671","22,38,755","9,24,491","3,74,423","45,33,871","5,49,601","39,41,280","17,26,359"
20210323,"19,752","18,50,350","75,474","8,10,619","21,37,083","67,704","14,45,038","11,650","12,060","10,69,727","95,834","41,86,828","12,00,479","4,00,742","6,61,497","12,26,703","28,46,344","25,58,544","44,882","6,396","26,66,064","47,43,837","1,08,093","86,594","63,607","76,680","19,60,727","55,132","6,09,246","47,52,984","66,768","23,43,912","10,10,596","4,16,118","46,53,705","5,76,935","41,25,209","17,97,373"
20210324,"20,002","19,72,034","75,593","8,37,127","22,45,036","69,333","14,88,934","11,848","12,490","10,94,429","99,012","43,81,814","12,13,650","4,13,195","6,61,497","13,43,628","30,29,544","26,18,851","45,161","6,463","29,32,338","50,14,774","1,10,782","89,214","63,939","78,847","20,22,037","60,041","6,36,820","49,94,574","68,762","24,38,253","10,50,167","4,83,997","47,56,799","5,95,970","42,50,140","18,58,614"
20210325,"20,672","21,13,981","78,893","9,26,350","23,81,773","71,036","15,48,906","12,186","12,661","11,34,632","1,01,947","46,38,762","12,61,799","4,52,090","6,97,295","13,84,075","31,23,952","27,72,545","45,347","6,490","30,74,924","52,28,897","1,13,040","93,407","64,550","80,469","20,95,217","62,839","6,66,395","50,57,509","70,523","25,37,202","10,88,309","5,53,795","50,22,608","6,24,095","43,72,367","19,12,902"
20210326,"20,991","22,19,053","81,533","9,86,804","25,19,873","72,714","16,15,013","12,521","13,276","11,56,546","1,05,072","49,08,715","13,02,677","4,73,658","7,26,236","14,47,288","32,85,829","29,04,945","45,559","6,576","30,78,673","54,94,759","1,16,224","95,924","65,731","81,417","21,67,956","65,578","6,95,676","53,07,621","72,309","26,45,814","11,28,632","6,43,117","52,40,969","6,49,500","46,88,172","19,66,822"
20210327,"21,361","23,41,955","83,450","10,04,038","26,34,237","74,230","17,29,837","12,756","13,532","11,96,875","1,07,720","51,58,430","13,18,185","4,93,737","7,51,622","15,56,332","34,00,617","30,19,646","45,692","6,800","31,88,497","57,26,036","1,18,168","96,415","65,731","81,676","22,36,623","67,980","7,29,130","54,84,184","72,309","27,51,628","11,70,407","6,51,930","53,03,442","6,65,684","48,65,445","20,23,445"
20210328,"21,361","23,50,279","83,450","10,04,248","26,34,237","74,323","17,63,175","12,756","13,532","11,96,875","1,07,720","52,50,880","13,19,400","4,93,737","7,51,622","15,63,421","34,16,179","30,31,610","45,692","6,800","31,88,497","57,46,602","1,18,222","96,426","65,731","81,676","22,36,623","67,980","7,42,627","54,84,184","72,309","27,51,628","11,75,476","6,58,047","53,03,530","6,65,821","48,66,734","20,67,025"
20210329,"21,361","24,08,323","83,808","10,06,703","26,34,237","74,323","17,63,175","12,756","13,532","11,97,227","1,08,602","52,62,906","13,19,400","4,94,695","7,77,848","15,63,852","35,52,038","31,81,620","45,692","6,800","31,88,497","57,82,665","1,18,291","97,582","65,848","81,694","22,36,623","70,124","7,54,354","54,84,184","72,309","28,71,513","11,75,476","6,58,047","53,03,530","6,65,821","48,88,625","20,69,273"
20210330,"22,088","25,04,479","85,889","10,39,302","27,11,697","75,953","18,18,746","13,197","14,034","12,37,955","1,12,654","54,82,050","14,82,699","5,22,818","8,03,824","15,74,368","36,69,473","33,39,861","45,812","6,959","31,91,792","59,93,126","1,19,573","99,837","66,312","85,287","23,26,922","70,258","7,92,329","55,82,172","73,286","29,52,311","12,62,125","6,87,224","53,28,419","6,83,007","50,91,103","20,85,412"
20210331,"22,088","26,05,169","85,889","10,48,974","28,34,138","77,581","19,42,105","13,524","14,542","12,65,652","1,15,750","57,00,174","15,91,599","5,32,053","8,03,824","15,96,433","38,11,007","34,01,918","46,010","6,959","33,56,666","62,09,337","1,20,838","1,01,476","66,666","87,247","24,11,021","74,165","8,42,448","57,21,312","73,741","30,31,631","12,95,814","6,97,346","53,98,684","6,98,899","52,30,166","21,85,050"
20210401,"22,874","27,35,502","93,159","10,83,743","30,45,053","81,080","21,77,113","15,995","15,612","13,36,753","1,20,405","61,65,176","17,01,800","5,77,581","8,45,825","16,22,995","39,46,936","34,90,134","50,322","7,220","37,35,986","65,19,976","1,22,535","1,05,602","68,024","89,515","26,14,183","76,570","9,20,846","60,05,903","77,892","31,14,623","13,58,395","7,19,751","56,97,787","7,39,961","54,19,269","22,67,042"
20210402,"22,867","29,07,602","1,00,226","11,67,124","31,21,393","84,815","25,17,456","19,861","17,893","14,29,913","1,30,175","65,78,274","17,14,570","5,95,692","8,89,734","17,46,722","42,98,094","37,20,447","56,108","7,521","39,03,340","70,27,500","1,15,544","1,20,146","71,868","83,771","26,99,452","77,771","10,90,090","61,51,585","79,904","31,01,478","13,94,119","7,09,385","64,28,073","8,26,674","57,72,282","22,74,826"
20210403,"23,432","30,07,468","1,04,436","12,06,058","32,32,560","88,663","26,94,062","21,625","19,725","14,98,767","1,33,818","69,23,008","17,58,592","6,14,864","9,22,562","17,72,016","44,88,656","38,50,005","59,917","7,789","40,83,671","73,54,244","1,18,645","1,21,519","71,987","83,991","28,23,310","81,457","11,70,962","64,31,601","80,654","31,51,678","14,46,502","7,21,108","66,43,096","8,70,905","59,58,488","23,37,810"
