District,State,Population,Growth,Sex-Ratio,Literacy
Thane,Maharashtra,11060148,36.01%,886,84.53
North Twenty Four Parganas,West Bengal,10009781,12.04%,955,84.06
Bangalore,Karnataka,9621551,47.18%,916,87.67
Pune,Maharashtra,9429408,30.37%,915,86.15
Mumbai Suburban,Maharashtra,9356962,8.29%,860,89.91
South Twenty Four Parganas,West Bengal,8161961,18.17%,956,77.51
Barddhaman,West Bengal,7717563,11.92%,945,76.21
Ahmadabad,Gujarat,7214225,24.03%,904,85.31
Murshidabad,West Bengal,7103807,21.09%,958,66.59
Jaipur,Rajasthan,6626178,26.19%,910,75.51
Nashik,Maharashtra,6107187,22.30%,934,82.31
Surat,Gujarat,6081322,42.24%,787,85.53
Allahabad,Uttar Pradesh,5954391,20.63%,901,72.32
Paschim Medinipur,West Bengal,5913457,13.86%,966,78
Patna,Bihar,5838465,23.73%,897,70.68
Hugli,West Bengal,5519145,9.46%,961,81.8
Ranga Reddy,Andhra Pradesh,5296741,48.16%,961,75.87
Nadia,West Bengal,5167600,12.22%,947,74.97
East Godavari,Andhra Pradesh,5154296,5.16%,1006,70.99
Purbi Champaran,Bihar,5099371,29.43%,902,55.79
Purba Medinipur,West Bengal,5095875,15.36%,938,87.02
Guntur,Andhra Pradesh,4887813,9.47%,1003,67.4
Haora,West Bengal,4850029,13.50%,939,83.31
Muzaffarpur,Bihar,4801062,28.14%,900,63.43
Belgaum,Karnataka,4779661,13.41%,973,73.48
Moradabad,Uttar Pradesh,4772006,25.22%,906,56.77
Ghaziabad,Uttar Pradesh,4681645,42.27%,881,78.07
Nagpur,Maharashtra,4653570,14.40%,951,88.39
Chennai,Tamil Nadu,4646732,6.98%,989,90.18
Azamgarh,Uttar Pradesh,4613913,17.11%,1019,70.93
Lucknow,Uttar Pradesh,4589838,25.82%,917,77.29
Kanpur Nagar,Uttar Pradesh,4581268,9.92%,862,79.65
Ahmadnagar,Maharashtra,4543159,12.44%,939,79.05
Krishna,Andhra Pradesh,4517398,7.87%,992,73.74
Kolkata,West Bengal,4496694,-1.67%,908,86.31
Jaunpur,Uttar Pradesh,4494204,14.89%,1024,71.55
Madhubani,Bihar,4487379,25.51%,926,58.62
Sitapur,Uttar Pradesh,4483992,23.88%,888,61.12
Bareilly,Uttar Pradesh,4448359,22.93%,887,58.49
Gorakhpur,Uttar Pradesh,4440895,17.81%,950,70.83
Agra,Uttar Pradesh,4418797,22.05%,868,71.58
Gaya,Bihar,4391418,26.43%,937,63.67
Solapur,Maharashtra,4317756,12.16%,938,77.02
Visakhapatnam,Andhra Pradesh,4290589,11.96%,1006,66.91
Samastipur,Bihar,4261566,25.53%,911,61.86
Jalgaon,Maharashtra,4229917,14.86%,925,78.2
Chittoor,Andhra Pradesh,4174064,11.43%,997,71.53
Vadodara,Gujarat,4165626,14.38%,934,78.92
Muzaffarnagar,Uttar Pradesh,4143512,16.94%,889,69.12
Malappuram,Kerala,4112920,13.45%,1098,93.57
Hardoi,Uttar Pradesh,4092845,20.44%,868,64.57
Anantapur,Andhra Pradesh,4081148,12.10%,977,63.57
Raipur,Chhattisgarh,4063872,34.70%,984,75.56
Kurnool,Andhra Pradesh,4053463,14.85%,988,59.97
Mahbubnagar,Andhra Pradesh,4053028,15.34%,977,55.04
Lakhimpur Kheri,Uttar Pradesh,4021243,25.38%,894,60.56
Kancheepuram,Tamil Nadu,3998252,38.95%,986,84.49
Maldah,West Bengal,3988845,21.22%,944,61.73
Saran,Bihar,3951862,21.64%,954,65.96
Hyderabad,Andhra Pradesh,3943323,2.97%,954,83.25
Darbhanga,Bihar,3937385,19.47%,911,56.56
West Godavari,Andhra Pradesh,3936966,3.51%,1004,74.63
Vellore,Tamil Nadu,3936331,13.20%,1007,79.17
Pashchim Champaran,Bihar,3935042,29.29%,909,55.7
Kolhapur,Maharashtra,3876001,10.01%,957,81.51
Jalpaiguri,West Bengal,3872846,13.87%,953,73.25
Rajkot,Gujarat,3804558,20.02%,927,80.96
Sultanpur,Uttar Pradesh,3797117,18.11%,983,69.27
Karimnagar,Andhra Pradesh,3776269,8.15%,1008,64.15
Thiruvallur,Tamil Nadu,3728104,35.33%,987,84.03
Aurangabad,Maharashtra,3701282,27.76%,923,79.02
Jodhpur,Rajasthan,3687165,27.74%,916,65.94
Bijnor,Uttar Pradesh,3682713,17.60%,917,68.48
Budaun,Uttar Pradesh,3681896,19.95%,871,51.29
Varanasi,Uttar Pradesh,3676841,17.15%,913,75.6
Alwar,Rajasthan,3674179,22.78%,895,70.72
Aligarh,Uttar Pradesh,3673889,22.78%,882,67.52
North West Delhi,Delhi,3656539,27.81%,865,84.45
Ghazipur,Uttar Pradesh,3620268,19.18%,952,71.78
Bankura,West Bengal,3596674,12.65%,957,70.26
Kushinagar,Uttar Pradesh,3564544,23.20%,961,65.25
Ganjam,Orissa,3529031,11.66%,983,71.09
Warangal,Andhra Pradesh,3512576,8.21%,997,65.11
Birbhum,West Bengal,3502404,16.15%,956,70.68
Bulandshahr,Uttar Pradesh,3499171,20.12%,896,68.88
Ludhiana,Punjab,3498739,15.36%,873,82.2
Vaishali,Bihar,3495021,28.57%,895,66.6
Nalgonda,Andhra Pradesh,3488809,7.41%,983,64.2
Bahraich,Uttar Pradesh,3487731,46.48%,892,49.36
Salem,Tamil Nadu,3482056,15.44%,954,72.86
Saharanpur,Uttar Pradesh,3466382,19.66%,890,70.49
Viluppuram,Tamil Nadu,3458873,16.84%,987,71.88
Coimbatore,Tamil Nadu,3458045,18.56%,1000,83.98
Meerut,Uttar Pradesh,3443689,14.89%,886,72.84
Gonda,Uttar Pradesh,3433919,24.17%,921,58.71
Sitamarhi,Bihar,3423574,27.62%,899,52.05
Rae Bareli,Uttar Pradesh,3405559,18.56%,943,67.25
Prakasam,Andhra Pradesh,3397448,11.05%,981,63.08
Nanded,Maharashtra,3361292,16.86%,943,75.45
Durg,Chhattisgarh,3343872,18.98%,988,79.06
Siwan,Bihar,3330464,22.70%,988,69.45
Nagaur,Rajasthan,3307743,19.20%,950,62.8
Thiruvananthapuram,Kerala,3301427,2.07%,1087,93.02
Ernakulam,Kerala,3282388,5.69%,1027,95.89
Indore,Madhya Pradesh,3276697,32.88%,928,80.87
Purnia,Bihar,3264619,28.33%,921,51.08
Barabanki,Uttar Pradesh,3260699,21.96%,910,61.75
Ballia,Uttar Pradesh,3239774,17.31%,937,70.94
Pratapgarh_2,Uttar Pradesh,3209141,17.50%,998,70.09
Thrissur,Kerala,3121200,4.94%,1108,95.08
Banaskantha,Gujarat,3120506,24.61%,938,65.32
Unnao,Uttar Pradesh,3108367,15.11%,907,66.37
