,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2635704,Andaman and Nicobar Islands,2020-02-15,1.0,-9.0,5.0,-2.0,6.0,2.0
2635705,Andaman and Nicobar Islands,2020-02-16,0.0,-6.0,1.0,2.0,4.0,
2635706,Andaman and Nicobar Islands,2020-02-17,-1.0,2.0,5.0,1.0,6.0,1.0
2635707,Andaman and Nicobar Islands,2020-02-18,-2.0,12.0,-4.0,-1.0,4.0,3.0
2635708,Andaman and Nicobar Islands,2020-02-19,-5.0,9.0,-6.0,2.0,4.0,1.0
2635709,Andaman and Nicobar Islands,2020-02-20,-2.0,-4.0,3.0,-1.0,1.0,1.0
2635710,Andaman and Nicobar Islands,2020-02-21,-1.0,-9.0,1.0,1.0,-9.0,4.0
2635711,Andaman and Nicobar Islands,2020-02-22,-4.0,-16.0,2.0,-3.0,0.0,1.0
2635712,Andaman and Nicobar Islands,2020-02-23,-6.0,-6.0,-6.0,1.0,3.0,
2635713,Andaman and Nicobar Islands,2020-02-24,-3.0,-19.0,-2.0,8.0,4.0,0.0
2635714,Andaman and Nicobar Islands,2020-02-25,-2.0,-2.0,-5.0,3.0,3.0,2.0
2635715,Andaman and Nicobar Islands,2020-02-26,-6.0,-14.0,-5.0,1.0,3.0,0.0
2635716,Andaman and Nicobar Islands,2020-02-27,-4.0,-14.0,-7.0,0.0,1.0,1.0
2635717,Andaman and Nicobar Islands,2020-02-28,-2.0,-21.0,-13.0,0.0,5.0,1.0
2635718,Andaman and Nicobar Islands,2020-02-29,-1.0,-19.0,-5.0,-5.0,5.0,1.0
2635719,Andaman and Nicobar Islands,2020-03-01,-8.0,-15.0,-14.0,-9.0,-3.0,
2635720,Andaman and Nicobar Islands,2020-03-02,-2.0,-17.0,-2.0,-3.0,6.0,0.0
2635721,Andaman and Nicobar Islands,2020-03-03,-12.0,-18.0,-6.0,-6.0,4.0,2.0
2635722,Andaman and Nicobar Islands,2020-03-04,-7.0,-14.0,-2.0,-1.0,4.0,2.0
2635723,Andaman and Nicobar Islands,2020-03-05,-6.0,-20.0,0.0,0.0,3.0,1.0
2635724,Andaman and Nicobar Islands,2020-03-06,-7.0,-25.0,-4.0,0.0,3.0,2.0
2635725,Andaman and Nicobar Islands,2020-03-07,-13.0,-26.0,-3.0,-6.0,6.0,1.0
2635726,Andaman and Nicobar Islands,2020-03-08,-17.0,-15.0,-8.0,-9.0,-4.0,
2635727,Andaman and Nicobar Islands,2020-03-09,-8.0,-17.0,0.0,-3.0,-6.0,2.0
2635728,Andaman and Nicobar Islands,2020-03-10,-36.0,-38.0,-12.0,-19.0,-56.0,13.0
2635729,Andaman and Nicobar Islands,2020-03-11,-14.0,-16.0,-8.0,-1.0,0.0,0.0
2635730,Andaman and Nicobar Islands,2020-03-12,-9.0,-12.0,-7.0,-2.0,1.0,2.0
2635731,Andaman and Nicobar Islands,2020-03-13,-10.0,-19.0,-10.0,-3.0,4.0,2.0
2635732,Andaman and Nicobar Islands,2020-03-14,-16.0,-19.0,-4.0,-7.0,-7.0,6.0
2635733,Andaman and Nicobar Islands,2020-03-15,-27.0,-32.0,-15.0,-9.0,-3.0,
2635734,Andaman and Nicobar Islands,2020-03-16,-18.0,-11.0,-10.0,-7.0,-1.0,2.0
2635735,Andaman and Nicobar Islands,2020-03-17,-24.0,-20.0,-25.0,-13.0,-4.0,4.0
2635736,Andaman and Nicobar Islands,2020-03-18,-21.0,-20.0,-31.0,-14.0,-9.0,1.0
2635737,Andaman and Nicobar Islands,2020-03-19,-16.0,-4.0,-21.0,-14.0,-7.0,1.0
2635738,Andaman and Nicobar Islands,2020-03-20,-50.0,-43.0,-50.0,-31.0,-29.0,12.0
2635739,Andaman and Nicobar Islands,2020-03-21,-57.0,-45.0,-49.0,-40.0,-34.0,16.0
2635740,Andaman and Nicobar Islands,2020-03-22,-80.0,-85.0,-68.0,-61.0,-41.0,
2635741,Andaman and Nicobar Islands,2020-03-23,-61.0,-43.0,-60.0,-45.0,-44.0,21.0
2635742,Andaman and Nicobar Islands,2020-03-24,-67.0,-48.0,-62.0,-46.0,-52.0,23.0
2635743,Andaman and Nicobar Islands,2020-03-25,-80.0,-76.0,-68.0,-64.0,-63.0,
2635744,Andaman and Nicobar Islands,2020-03-26,-80.0,-80.0,-65.0,-63.0,-66.0,
2635745,Andaman and Nicobar Islands,2020-03-27,-78.0,-79.0,-70.0,-66.0,-63.0,
2635746,Andaman and Nicobar Islands,2020-03-28,-75.0,-74.0,-67.0,-66.0,-57.0,
2635747,Andaman and Nicobar Islands,2020-03-29,-68.0,-63.0,-57.0,-59.0,-28.0,
2635748,Andaman and Nicobar Islands,2020-03-30,-69.0,-60.0,-62.0,-61.0,-56.0,29.0
2635749,Andaman and Nicobar Islands,2020-03-31,-72.0,-64.0,-64.0,-60.0,-56.0,29.0
2635750,Andaman and Nicobar Islands,2020-04-01,-75.0,-65.0,-67.0,-63.0,-58.0,
2635751,Andaman and Nicobar Islands,2020-04-02,-74.0,-67.0,-67.0,-64.0,-57.0,
2635752,Andaman and Nicobar Islands,2020-04-03,-76.0,-70.0,-65.0,-64.0,-57.0,
2635753,Andaman and Nicobar Islands,2020-04-04,-76.0,-72.0,-67.0,-65.0,-49.0,
2635754,Andaman and Nicobar Islands,2020-04-05,-76.0,-79.0,-65.0,-64.0,-24.0,
2635755,Andaman and Nicobar Islands,2020-04-06,-75.0,,-67.0,-67.0,-56.0,31.0
