,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying,State_population
0,20201001,8965,9771,49,0.0,0.0,-49.310792380164585,9.275358572314842,-46.0,-21.41384904752057,-29.2077357128086,11.24154714256172,-0.1880199809314828,0.1454357689804623,84580777
1,20201002,8564,9922,41,0.0,0.0,-45.138490475205735,12.689207619835415,-41.0,-23.41384904752057,-45.62158476032917,15.655396190082293,-0.2198517454719055,0.1559021250485792,84580777
2,20201003,7942,9800,49,0.0,0.0,-47.79388666528803,6.447660477273695,-42.0,-20.0,-22.069245237602864,10.413849047520573,-0.1580532419543746,0.1403507894530219,84580777
3,20201004,8191,9450,50,0.0,0.0,-43.72464142768516,0.7584528574382805,-40.0,-19.344603809917707,-11.655396190082293,7.586150952479427,-0.1722111765862591,0.1577286006557967,84580777
4,20201005,5591,9734,46,0.0,0.0,-46.13849047520573,8.689207619835415,-42.0,-19.41384904752057,-28.62158476032917,10.655396190082293,-0.1513407765759825,0.1374426501630506,84580777
5,20201006,7778,8427,43,0.0,0.0,-46.72464142768516,8.103056667355988,-43.0,-20.172301904958854,-29.2077357128086,10.24154714256172,-0.1614890095541449,0.1459513282531089,84580777
6,20201007,7274,8588,42,0.0,0.0,-46.96618857024688,10.033811429753122,-42.0,-20.0,-27.2077357128086,11.24154714256172,-0.187721444218584,0.1451579449610637,84580777
7,20201008,7188,8169,54,0.0,0.0,-47.72464142768516,10.689207619835415,-44.0,-21.0,-26.035433807849742,12.827698095041146,-0.1806228263515479,0.1411476690674052,84580777
8,20201009,7036,7988,38,0.0,0.0,-47.72464142768516,7.033811429753122,-44.0,-22.930754762397136,-25.035433807849742,15.0,-0.1926535589175304,0.1452263506426525,84580777
9,20201010,7464,8731,44,0.0,0.0,-48.96618857024688,5.447660477273695,-44.0,-24.172301904958854,-24.655396190082293,14.75845285743828,-0.1774675376019541,0.1488884733780584,84580777
10,20201011,6927,7612,35,0.0,0.0,-47.896943332644014,-5.172301904958854,-45.0,-25.689207619835415,-7.655396190082293,12.344603809917707,-0.2168874150622901,0.1740502406605936,84580777
11,20201012,4245,7718,38,0.0,0.0,-50.310792380164585,-1.3107923801645853,-47.0,-25.172301904958854,-26.035433807849742,15.413849047520573,-0.1833460218915936,0.1511506695468167,84580777
12,20201013,6330,7724,40,0.0,0.0,-53.863131902890885,-11.20935809090522,-46.0,-33.62158476032917,-32.104679045452606,17.48309428512344,-0.2598163287948986,0.1850566716268165,84580777
13,20201014,5338,6968,36,0.0,0.0,-47.96618857024688,10.550717144629683,-43.0,-24.655396190082293,-29.58777333057605,15.24154714256172,-0.2345783646725071,0.1526398911079996,84580777
14,20201015,5470,7571,46,0.0,0.0,-48.13849047520573,15.275358572314842,-44.0,-22.41384904752057,-28.34622618801433,15.827698095041146,-0.2206758865013737,0.1483201304506814,84580777
15,20201016,5521,6445,32,0.0,0.0,-47.72464142768516,15.516905714876561,-44.0,-21.344603809917707,-24.449282855370317,16.58615095247943,-0.2131450143850062,0.1483827648420633,84580777
16,20201017,5127,7512,33,0.0,0.0,-48.03543380784974,10.481471907026817,-41.0,-19.827698095041146,-17.966188570246878,14.172301904958854,-0.1622269203731718,0.1393424049534328,84580777
17,20201018,5422,6745,29,0.0,0.0,-43.38003761776746,7.344603809917707,-38.0,-17.930754762397136,-2.483094285123439,9.75845285743828,-0.1605899958341598,0.1515512185373989,84580777
18,20201019,3866,6199,28,0.0,0.0,-45.55233952272631,11.103056667355988,-41.0,-18.41384904752057,-24.449282855370317,14.413849047520573,-0.1518500098832149,0.1365475431125443,84580777
19,20201020,4989,7035,35,0.0,0.0,-46.79388666528803,8.13686809710911,-41.0,-21.24154714256172,-26.449282855370317,14.827698095041146,-0.1837610452630388,0.149582660796436,84580777
20,20201021,5325,6550,32,0.0,0.0,-43.96618857024688,18.033811429753122,-39.0,-16.58615095247943,-25.2077357128086,11.827698095041146,-0.1751489569721025,0.1414960287582839,84580777
21,20201022,5076,5440,21,0.0,0.0,-43.13849047520573,23.033811429753122,-39.0,-15.0,-26.62158476032917,9.827698095041146,-0.1565903990312125,0.136026622620764,84580777
22,20201023,5186,5502,26,0.0,0.0,-41.72464142768516,27.51690571487656,-38.0,-10.930754762397134,-26.62158476032917,9.413849047520573,-0.1356435234685772,0.1316668553773158,84580777
23,20201024,4615,5280,27,0.0,0.0,-38.96618857024688,27.067622859506244,-34.0,-11.413849047520573,-29.896943332644014,9.586150952479427,-0.1325338551500892,0.1296607039144367,84580777
24,20201025,3975,5031,25,0.0,0.0,-39.13849047520573,0.20611333471197568,-35.0,-18.41384904752057,-12.380037617767451,6.0,-0.2026350724614412,0.1436505122228896,84580777
25,20201026,2483,5404,23,0.0,0.0,-37.55233952272631,11.239924764465098,-33.0,-18.793886665288024,-38.58777333057605,10.069245237602866,-0.1748453135399784,0.1326696857713898,84580777
26,20201027,3738,5906,23,0.0,0.0,-40.13849047520573,14.13686809710911,-36.0,-14.655396190082293,-30.449282855370313,7.827698095041146,-0.1171232561697795,0.1338368688070813,84580777
27,20201028,4430,5060,22,0.0,0.0,-40.79388666528802,16.723019049588537,-35.0,-13.069245237602866,-27.2077357128086,7.827698095041146,-0.1179138572628624,0.1286153130000212,84580777
28,20201029,4409,4679,21,0.0,0.0,-40.96618857024688,14.550717144629683,-36.0,-13.310792380164585,-29.2077357128086,9.24154714256172,-0.1018097983890594,0.126999313392569,84580777
29,20201030,4417,4671,23,0.0,0.0,-42.13849047520573,14.964566192150256,-38.0,-16.48309428512344,-36.38003761776745,12.827698095041146,-0.1343766074537244,0.1356930664823521,84580777
30,20201031,4228,5194,20,0.0,0.0,-43.2077357128086,9.550717144629683,-37.0,-16.48309428512344,-17.48309428512344,9.586150952479427,-0.1139522927606824,0.1269563209935988,84580777
31,20201101,4034,5088,21,0.0,0.0,-38.96618857024688,6.447660477273695,-34.0,-13.413849047520573,-4.896943332644012,7.172301904958854,-0.1207740148097717,0.1418652138176739,84580777
32,20201102,2838,4489,20,0.0,0.0,-42.5523395227263,13.792264287191403,-38.0,-14.483094285123439,-25.035433807849742,10.24154714256172,-0.1080430660346144,0.1259375734203765,84580777
33,20201103,4385,5191,18,0.0,0.0,-41.55233952272631,13.792264287191403,-37.0,-15.655396190082293,-26.035433807849742,10.24154714256172,-0.1134992064495931,0.1341947044356189,84580777
34,20201104,4114,3974,16,0.0,0.0,-41.138490475205735,15.206113334711976,-37.0,-15.827698095041146,-25.2077357128086,9.24154714256172,-0.1258985468117655,0.1291097099499334,84580777
35,20201105,4284,3270,18,0.0,0.0,-42.310792380164585,15.792264287191403,-39.0,-17.24154714256172,-26.62158476032917,9.655396190082293,-0.1206019212772188,0.1274129396148725,84580777
36,20201106,4012,3434,15,0.0,0.0,-41.896943332644014,15.033811429753122,-39.0,-18.0,-25.035433807849742,11.24154714256172,-0.1355197835527096,0.1312352385770823,84580777
37,20201107,3974,3684,17,0.0,0.0,-41.96618857024688,12.550717144629683,-37.0,-16.827698095041146,-16.48309428512344,9.0,-0.0994021257053479,0.1272736656972304,84580777
