,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,224,159,0,0.0,0.0,-55.0,-10.0,-6.0,-37.0,-31.0,1.0,-0.16665336119638063,0.20164792483245203
202,20201002,200,134,2,0.0,0.0,-50.0,-4.0,-3.0,-38.0,-38.0,2.0,-0.24444475761398884,0.21534204050079556
203,20201003,201,205,0,0.0,0.0,-48.0,4.0,-9.0,-38.0,-27.0,2.0,-0.20588778203500424,0.206579030922036
204,20201004,127,189,0,0.0,0.0,-54.0,-14.0,-7.0,-39.0,-32.0,3.0,-0.24877165762363193,0.23622394145867148
205,20201005,235,198,1,0.0,0.0,-47.0,-3.0,-2.0,-32.0,-27.0,0.0,-0.23162762692660036,0.18801901423956544
206,20201006,224,190,1,0.0,0.0,-49.0,2.0,-5.0,-34.0,-28.0,1.0,-0.2408680468893139,0.21487759671172108
207,20201007,260,431,1,0.0,0.0,-47.0,6.0,4.0,-22.0,-21.0,-1.0,-0.18000155575288085,0.19516468913228652
208,20201008,212,283,1,0.0,0.0,-45.0,5.0,6.0,-23.0,-22.0,1.0,-0.15063340116680865,0.19101357474968256
209,20201009,281,198,1,0.0,0.0,-43.0,0.0,9.0,-26.0,-13.0,5.0,-0.19089139210234488,0.1882643322833127
210,20201010,238,158,0,0.0,0.0,-47.0,-4.0,6.0,-29.0,-19.0,6.0,-0.19287577546166085,0.2109713954613394
211,20201011,149,197,1,0.0,0.0,-51.0,-17.0,5.0,-29.0,-20.0,6.0,-0.24620136609826263,0.2253918176339178
212,20201012,220,171,0,0.0,0.0,-45.0,-7.0,14.0,-19.0,-16.0,5.0,-0.17269660826730523,0.18482326781954647
213,20201013,194,170,4,0.0,0.0,-43.0,6.0,15.0,-19.0,-19.0,5.0,-0.169755599861783,0.1838055615065653
214,20201014,207,121,1,0.0,0.0,-42.0,-8.0,13.0,-11.0,-15.0,4.0,-0.16301697054852862,0.19331930281576956
215,20201015,203,195,1,0.0,0.0,-43.0,-2.0,8.0,-13.0,-21.0,6.0,-0.12624676516770864,0.19830596070458525
216,20201016,198,182,0,0.0,0.0,-41.0,-4.0,11.0,-17.0,-12.0,9.0,-0.18668177786438664,0.1946491318204465
217,20201017,179,244,0,0.0,0.0,-46.0,-6.0,7.0,-23.0,-18.0,10.0,-0.16609669015284229,0.2052173721974896
218,20201018,57,237,0,0.0,0.0,-49.0,-25.0,6.0,-25.0,-21.0,11.0,-0.21836398588097264,0.22907045756255925
219,20201019,238,228,0,0.0,0.0,-43.0,-13.0,18.0,-11.0,-15.0,9.0,-0.15388039010944857,0.1798351123495283
220,20201020,135,255,1,0.0,0.0,-43.0,2.0,14.0,-14.0,-18.0,9.0,-0.17211944314620467,0.18373726000867877
221,20201021,134,164,0,0.0,0.0,-41.0,-6.0,9.0,-12.0,-17.0,6.0,-0.13803516821491135,0.18683312581765
222,20201022,165,208,1,0.0,0.0,-38.0,4.0,6.0,-10.0,-24.0,1.0,-0.09781824591375901,0.19047376779543884
223,20201023,68,206,1,0.0,0.0,-47.0,-15.0,-4.0,-30.0,-33.0,5.0,-0.23692895364105368,0.24148939888462098
224,20201024,66,168,0,0.0,0.0,-50.0,-10.0,-5.0,-31.0,-30.0,7.0,-0.26778501575834524,0.2547568492390029
225,20201025,33,170,0,0.0,0.0,-47.0,-16.0,7.0,-16.0,-25.0,3.0,-0.2318306185773292,0.22031514575464875
226,20201026,147,231,2,0.0,0.0,-46.0,-11.0,13.0,-11.0,-25.0,2.0,-0.18269491202327187,0.17570030109609294
227,20201027,81,115,1,0.0,0.0,-40.0,3.0,12.0,-12.0,-21.0,1.0,-0.13390733818164283,0.17690185692933255
228,20201028,108,183,0,0.0,0.0,-41.0,-5.0,6.0,-12.0,-19.0,3.0,-0.10350902949968659,0.17971813874736825
229,20201029,88,143,1,0.0,0.0,-42.0,0.0,0.0,-16.0,-23.0,3.0,-0.0987060350364025,0.17928587968692242
230,20201030,84,154,0,0.0,0.0,-42.0,0.0,3.0,-25.0,-17.0,3.0,-0.1295493705822793,0.1805920355748059
231,20201031,100,182,0,0.0,0.0,-43.0,-2.0,1.0,-30.0,-19.0,3.0,-0.1465712737741277,0.19305994235868917
232,20201101,29,114,0,0.0,0.0,-50.0,-26.0,3.0,-50.0,-22.0,-1.0,-0.20709713685893827,0.22642483855129297
233,20201102,117,165,1,0.0,0.0,-38.0,-3.0,16.0,-17.0,-19.0,1.0,-0.12080425738094853,0.16926061697015476
234,20201103,85,129,4,0.0,0.0,-37.0,14.0,12.0,-14.0,-19.0,2.0,-0.12168071593192009,0.1834729137188409
235,20201104,77,105,1,0.0,0.0,-38.0,6.0,11.0,-19.0,-19.0,1.0,-0.09564887689847479,0.18717811225309786
236,20201105,84,108,0,0.0,0.0,-40.0,3.0,11.0,-22.0,-23.0,1.0,-0.08070737641632245,0.17668411637550022
