,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,1585,1904,14,0.0,0.0,-33.0,-8.0,-26.0,-26.0,-19.0,10.0,-0.1601440470815216,0.16510475111819753
202,20201002,1416,1441,10,0.0,0.0,-30.0,-3.0,-27.0,-25.0,-33.0,12.0,-0.21638271062293485,0.1796096817280347
203,20201003,1632,1813,14,0.0,0.0,-31.0,-5.0,-26.0,-21.0,-11.0,10.0,-0.16285336884696505,0.16475607765323735
204,20201004,756,1351,14,0.0,0.0,-33.0,-5.0,-24.0,-26.0,-13.0,10.0,-0.21019059576083454,0.18783791927218396
205,20201005,1518,1364,11,0.0,0.0,-30.0,-8.0,-24.0,-28.0,-23.0,10.0,-0.19451124182453802,0.1645899316814405
206,20201006,1184,1586,18,0.0,0.0,-30.0,-10.0,-26.0,-26.0,-19.0,10.0,-0.18695436363296097,0.17290771006470124
207,20201007,1307,2561,7,0.0,0.0,-25.0,3.0,-20.0,-17.0,-16.0,8.0,-0.1484791827662467,0.16034683880438547
208,20201008,1188,2198,9,0.0,0.0,-26.0,-1.0,-20.0,-22.0,-13.0,10.0,-0.1522635191540768,0.16208127885477905
209,20201009,1019,2068,8,0.0,0.0,-24.0,0.0,-18.0,-18.0,-9.0,10.0,-0.14792705246748208,0.15956824244711906
210,20201010,971,1451,9,0.0,0.0,-29.0,-6.0,-22.0,-23.0,-13.0,13.0,-0.1917082465611274,0.17333811978186206
211,20201011,396,1227,5,0.0,0.0,-28.0,0.0,-17.0,-22.0,-2.0,12.0,-0.20234228506116983,0.18312685762858535
212,20201012,1521,1457,10,0.0,0.0,-23.0,1.0,-16.0,-17.0,-15.0,11.0,-0.1224914398301765,0.1518967077675477
213,20201013,1482,1020,4,0.0,0.0,-24.0,-2.0,-18.0,-16.0,-12.0,11.0,-0.1191754826300915,0.15488910490388
214,20201014,1427,1013,4,0.0,0.0,-18.0,6.0,-15.0,-10.0,-11.0,9.0,-0.12004708426019758,0.15205395290508336
215,20201015,769,1263,9,0.0,0.0,-21.0,4.0,-18.0,-14.0,-10.0,11.0,-0.12122594445044052,0.1541966043645533
216,20201016,767,931,10,0.0,0.0,-18.0,10.0,-17.0,-9.0,-6.0,11.0,-0.11746755122129458,0.15084789110766614
217,20201017,642,818,12,0.0,0.0,-29.0,-1.0,-22.0,-20.0,-13.0,14.0,-0.18404663644055153,0.1678475773682242
218,20201018,318,599,3,0.0,0.0,-21.0,6.0,-16.0,-16.0,2.0,12.0,-0.18020419937257365,0.17538676891367108
219,20201019,698,1530,7,0.0,0.0,-18.0,6.0,-14.0,-11.0,-12.0,11.0,-0.10774792101930758,0.1454148977343023
220,20201020,666,1201,9,0.0,0.0,-18.0,4.0,-16.0,-10.0,-10.0,10.0,-0.10773401194837744,0.14886244439903942
221,20201021,701,1664,5,0.0,0.0,-11.0,15.0,-11.0,-4.0,-11.0,8.0,-0.09810673441182435,0.14707047153656128
222,20201022,508,1584,7,0.0,0.0,-13.0,12.0,-14.0,-9.0,-14.0,8.0,-0.11209374024148762,0.15253557933812853
223,20201023,427,2184,4,0.0,0.0,-22.0,-2.0,-21.0,-17.0,-26.0,10.0,-0.2178407349955662,0.19157819037052864
224,20201024,258,2948,2,0.0,0.0,-23.0,0.0,-14.0,-14.0,-33.0,11.0,-0.23430632147280345,0.1886469625412458
225,20201025,204,2961,4,0.0,0.0,3.0,33.0,4.0,11.0,-11.0,4.0,-0.09295579445128652,0.14238441224606782
226,20201026,215,2832,2,0.0,0.0,-34.0,-11.0,-6.0,-24.0,-54.0,14.0,-0.17658972944034104,0.14709855466728125
227,20201027,403,2443,6,0.0,0.0,-21.0,-1.0,-15.0,-15.0,-20.0,7.0,-0.1105750425411151,0.1513501384871088
228,20201028,448,1487,3,0.0,0.0,-18.0,4.0,-14.0,-9.0,-16.0,8.0,-0.09314057862223088,0.14712833850399043
229,20201029,398,1057,6,0.0,0.0,-20.0,3.0,-20.0,-13.0,-14.0,9.0,-0.11027015707321021,0.15129515717319242
230,20201030,380,1094,3,0.0,0.0,-26.0,-2.0,-25.0,-18.0,-16.0,12.0,-0.17691612321785058,0.1655257659852201
231,20201031,336,1386,4,0.0,0.0,-29.0,-7.0,-22.0,-19.0,-5.0,11.0,-0.16694478602125468,0.16053076901833188
