,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,1370,1242,2,0.0,0.0,-25.0,12.0,-21.0,-15.0,-13.0,6.0,-0.16847159585306942,0.17477578397540466
202,20201002,1431,1497,4,0.0,0.0,-19.0,21.0,-20.0,-17.0,-26.0,8.0,-0.19954076157586303,0.18218013155343027
203,20201003,983,1431,2,0.0,0.0,-24.0,14.0,-24.0,-17.0,-11.0,7.0,-0.1591554362256393,0.18061366054539846
204,20201004,1261,1314,3,0.0,0.0,-22.0,16.0,-20.0,-13.0,-6.0,6.0,-0.17872024684664045,0.19689411621446384
205,20201005,907,1565,9,0.0,0.0,-18.0,19.0,-17.0,-15.0,-14.0,6.0,-0.13167325009021177,0.16642189223551343
206,20201006,1265,1255,1,0.0,0.0,-17.0,19.0,-15.0,-12.0,-13.0,5.0,-0.12104035581897203,0.16801625226893604
207,20201007,1304,1422,2,0.0,0.0,-18.0,23.0,-14.0,-12.0,-8.0,5.0,-0.14060851637979804,0.16536361651913403
208,20201008,1244,1006,2,0.0,0.0,-18.0,21.0,-15.0,-14.0,-11.0,7.0,-0.18011517159110502,0.1726774557943879
209,20201009,1155,1424,5,0.0,0.0,-15.0,24.0,-11.0,-12.0,-6.0,8.0,-0.15431829254471002,0.16668296966423987
210,20201010,1140,1226,10,0.0,0.0,-17.0,20.0,-14.0,-13.0,-5.0,9.0,-0.15264804726589723,0.17550090461907522
211,20201011,1302,1217,2,0.0,0.0,-17.0,20.0,-12.0,-10.0,4.0,8.0,-0.16711563328508203,0.1884991581417739
212,20201012,732,1369,9,0.0,0.0,-13.0,25.0,-8.0,-13.0,-6.0,8.0,-0.12305319736956927,0.1597400841058222
213,20201013,1223,1030,6,0.0,0.0,-14.0,23.0,-7.0,-9.0,-6.0,8.0,-0.10429017021799501,0.16434753602996868
214,20201014,1326,1375,6,0.0,0.0,-11.0,29.0,-5.0,-6.0,-3.0,7.0,-0.11629903503843614,0.15792631763489012
215,20201015,1276,804,5,0.0,0.0,-11.0,29.0,-6.0,-5.0,-5.0,8.0,-0.1273714473056016,0.15934935589920302
216,20201016,1062,1454,9,0.0,0.0,-6.0,42.0,-2.0,0.0,-4.0,8.0,-0.10181241154775725,0.15323910953018272
217,20201017,1173,1259,9,0.0,0.0,-18.0,24.0,-10.0,-12.0,-2.0,11.0,-0.16050838803896872,0.17128054499787382
218,20201018,1152,1079,6,0.0,0.0,-14.0,22.0,-9.0,-9.0,8.0,10.0,-0.17955242900500573,0.1883699983956688
219,20201019,912,1195,7,0.0,0.0,-14.0,25.0,-5.0,-12.0,-4.0,10.0,-0.14010875351168994,0.16230781555507132
220,20201020,1837,1100,8,0.0,0.0,-13.0,23.0,-3.0,-8.0,-5.0,9.0,-0.13718068816423737,0.1662546363092286
221,20201021,1277,1319,8,0.0,0.0,-12.0,27.0,-6.0,-7.0,-4.0,8.0,-0.15333408425272013,0.16714667502418742
222,20201022,1058,985,7,0.0,0.0,-10.0,29.0,-8.0,-4.0,-9.0,6.0,-0.15936468695157013,0.1642260475773686
223,20201023,1093,1244,8,0.0,0.0,-6.0,39.0,-6.0,-2.0,-15.0,6.0,-0.13687057983542514,0.16110410439816725
224,20201024,1054,1084,8,0.0,0.0,-11.0,36.0,-6.0,-4.0,-20.0,7.0,-0.1654671727964524,0.16041659453327378
225,20201025,749,1399,7,0.0,0.0,-6.0,34.0,-4.0,3.0,-10.0,4.0,-0.15501327639803522,0.1634751487561145
226,20201026,513,1087,9,0.0,0.0,-16.0,18.0,-6.0,-15.0,-33.0,7.0,-0.1679635537774973,0.1541272976476379
227,20201027,678,1237,7,0.0,0.0,-14.0,20.0,-6.0,-11.0,-17.0,5.0,-0.1332446342723303,0.16385217447254194
228,20201028,780,1073,4,0.0,0.0,-21.0,13.0,-14.0,-18.0,-18.0,7.0,-0.2038658660942807,0.1742561981302265
229,20201029,783,1068,7,0.0,0.0,-12.0,23.0,-12.0,-6.0,-12.0,6.0,-0.1098463716030897,0.16188032139487152
230,20201030,1018,1240,8,0.0,0.0,-10.0,28.0,-10.0,-6.0,-14.0,8.0,-0.13045545568846995,0.16167674957453185
231,20201031,800,1186,6,0.0,0.0,-16.0,21.0,-13.0,-9.0,-4.0,8.0,-0.13614287173212014,0.1648357471238177
232,20201101,777,1195,7,0.0,0.0,-13.0,21.0,-10.0,-3.0,1.0,8.0,-0.13399545845563146,0.18024372531701705
233,20201102,577,974,4,0.0,0.0,-14.0,19.0,-10.0,-13.0,-12.0,9.0,-0.14685061600900648,0.1603913482712666
234,20201103,846,875,7,0.0,0.0,-30.0,-3.0,-17.0,-25.0,-32.0,12.0,-0.23776975023153815,0.18152977829422198
235,20201104,541,976,5,0.0,0.0,-9.0,32.0,-7.0,-5.0,-9.0,7.0,-0.08865972467405499,0.15595994597752544
236,20201105,741,467,8,0.0,0.0,-11.0,25.0,-7.0,-8.0,-10.0,7.0,-0.1167458553135323,0.158877935541678
237,20201106,746,613,8,0.0,0.0,-11.0,25.0,-5.0,-11.0,-10.0,8.0,-0.1329637125084962,0.16156993109444998
238,20201107,819,1000,7,0.0,0.0,-21.0,13.0,-11.0,-19.0,-14.0,10.0,-0.2153223201223,0.18003352049134702
239,20201108,801,825,8,0.0,0.0,-9.0,26.0,-4.0,-4.0,1.0,8.0,-0.12050695448050966,0.1796054453065709
240,20201109,865,851,7,0.0,0.0,-9.0,27.0,-3.0,-10.0,-9.0,8.0,-0.09309814658563237,0.15758968055230493
241,20201110,798,1014,5,0.0,0.0,-18.0,13.0,-9.0,-16.0,-13.0,11.0,-0.15980263701513048,0.1764864488051292
242,20201111,702,821,6,0.0,0.0,-4.0,36.0,-2.0,-3.0,-7.0,8.0,-0.08540971867459975,0.15191029056406558
243,20201112,523,536,5,0.0,0.0,7.0,52.0,2.0,7.0,-8.0,6.0,-0.0737734442192837,0.14225240885552404
244,20201113,581,870,7,0.0,0.0,3.0,53.0,2.0,6.0,-11.0,7.0,-0.07798402407372902,0.14538494892787712
245,20201114,588,422,5,0.0,0.0,-17.0,31.0,-13.0,-11.0,-27.0,12.0,-0.24951768441403513,0.17603902378708008
246,20201115,247,614,5,0.0,0.0,-13.0,21.0,-5.0,-9.0,-9.0,7.0,-0.18546761596631658,0.17921223588468074
247,20201116,517,597,5,0.0,0.0,-8.0,30.0,4.0,-8.0,-23.0,7.0,-0.11091500832261826,0.1561622216156335
248,20201117,513,749,5,0.0,0.0,1.0,43.0,14.0,7.0,-16.0,4.0,-0.031456464556989215,0.14716767950373075
249,20201118,734,601,7,0.0,0.0,-2.0,44.0,10.0,6.0,-16.0,5.0,-0.07828029671087991,0.14689592474089105
250,20201119,794,681,8,0.0,0.0,-4.0,48.0,11.0,9.0,-27.0,4.0,-0.11743659202327018,0.14748952309633678
251,20201120,495,661,3,0.0,0.0,-22.0,25.0,17.0,-13.0,-48.0,8.0,-0.25683652061376844,0.15056506162088157
