,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,119,196,2,0.0,0.0,-44.0,-24.0,-56.0,-39.0,-33.0,10.0,-0.21212,0.17835
202,20201002,155,153,5,0.0,0.0,-46.0,-22.0,-56.0,-45.0,-61.0,18.0,-0.29535,0.212
203,20201003,148,234,3,0.0,0.0,-43.0,-20.0,-54.0,-39.0,-27.0,10.0,-0.24133,0.18649
204,20201004,85,202,2,0.0,0.0,-45.0,-24.0,-52.0,-39.0,-20.0,7.0,-0.28212,0.21911
205,20201005,133,199,3,0.0,0.0,-39.0,-13.0,-49.0,-38.0,-29.0,8.0,-0.2423,0.17092
206,20201006,129,238,3,0.0,0.0,-40.0,-16.0,-48.0,-38.0,-32.0,9.0,-0.24266,0.17853
207,20201007,113,155,2,0.0,0.0,-42.0,-22.0,-53.0,-35.0,-32.0,10.0,-0.20231,0.17433
208,20201008,102,154,4,0.0,0.0,-41.0,-22.0,-55.0,-38.0,-31.0,10.0,-0.22101,0.1741
209,20201009,63,161,2,0.0,0.0,-43.0,-17.0,-53.0,-42.0,-30.0,11.0,-0.21669,0.17134
210,20201010,96,157,2,0.0,0.0,-42.0,-18.0,-50.0,-38.0,-27.0,10.0,-0.20175,0.18583
211,20201011,85,125,1,0.0,0.0,-45.0,-23.0,-52.0,-41.0,-18.0,8.0,-0.23944,0.20855
212,20201012,94,111,1,0.0,0.0,-38.0,-13.0,-47.0,-38.0,-27.0,9.0,-0.22675,0.16707
213,20201013,71,109,5,0.0,0.0,-38.0,-13.0,-44.0,-36.0,-30.0,10.0,-0.22252,0.17044
214,20201014,72,112,2,0.0,0.0,-38.0,-19.0,-49.0,-31.0,-31.0,11.0,-0.17076,0.16795
215,20201015,74,113,2,0.0,0.0,-37.0,-18.0,-52.0,-31.0,-30.0,11.0,-0.19128,0.16498
216,20201016,55,120,5,0.0,0.0,-39.0,-12.0,-54.0,-33.0,-32.0,12.0,-0.19582,0.16446
217,20201017,50,108,1,0.0,0.0,-44.0,-20.0,-53.0,-34.0,-23.0,10.0,-0.17327,0.17032
218,20201018,64,94,1,0.0,0.0,-44.0,-23.0,-54.0,-37.0,-17.0,8.0,-0.23668,0.20486
219,20201019,40,63,0,0.0,0.0,-39.0,-14.0,-48.0,-34.0,-28.0,9.0,-0.22055,0.16308
220,20201020,57,107,1,0.0,0.0,-37.0,-13.0,-46.0,-33.0,-30.0,9.0,-0.21961,0.16718
221,20201021,54,118,0,0.0,0.0,-40.0,-24.0,-51.0,-29.0,-32.0,10.0,-0.16622,0.16597
222,20201022,51,82,3,0.0,0.0,-38.0,-22.0,-51.0,-32.0,-30.0,10.0,-0.18865,0.16742
223,20201023,72,85,2,0.0,0.0,-42.0,-18.0,-52.0,-37.0,-31.0,10.0,-0.18256,0.16427
224,20201024,57,78,2,0.0,0.0,-42.0,-23.0,-49.0,-33.0,-27.0,9.0,-0.18003,0.17417
225,20201025,61,80,2,0.0,0.0,-41.0,-22.0,-52.0,-36.0,-20.0,7.0,-0.23345,0.19595
226,20201026,47,63,4,0.0,0.0,-35.0,-14.0,-46.0,-33.0,-28.0,7.0,-0.21469,0.16003
227,20201027,67,49,1,0.0,0.0,-35.0,-13.0,-44.0,-32.0,-29.0,8.0,-0.19013,0.16401
228,20201028,60,80,1,0.0,0.0,-37.0,-20.0,-52.0,-29.0,-31.0,9.0,-0.14833,0.16235
229,20201029,80,43,1,0.0,0.0,-37.0,-21.0,-53.0,-31.0,-29.0,9.0,-0.16671,0.16327
230,20201030,59,67,0,0.0,0.0,-38.0,-16.0,-55.0,-36.0,-35.0,10.0,-0.17531,0.16581
231,20201031,67,82,1,0.0,0.0,-37.0,-17.0,-50.0,-32.0,-23.0,8.0,-0.16804,0.16766
232,20201101,58,81,0,0.0,0.0,-38.0,-14.0,-53.0,-31.0,-14.0,6.0,-0.19255,0.1904
233,20201102,52,76,1,0.0,0.0,-31.0,-6.0,-49.0,-32.0,-25.0,7.0,-0.2024,0.14804
234,20201103,80,43,1,0.0,0.0,-25.0,1.0,-44.0,-28.0,-27.0,7.0,-0.1722,0.14722
235,20201104,94,51,1,0.0,0.0,-38.0,-25.0,-46.0,-34.0,-35.0,13.0,-0.18896,0.1676
236,20201105,92,60,0,0.0,0.0,-36.0,-20.0,-49.0,-34.0,-28.0,10.0,-0.21149,0.16445
237,20201106,133,63,1,0.0,0.0,-36.0,-13.0,-49.0,-32.0,-27.0,9.0,-0.16554,0.15883
238,20201107,98,53,2,0.0,0.0,-33.0,-11.0,-43.0,-27.0,-18.0,8.0,-0.12972,0.1629
239,20201108,109,46,2,0.0,0.0,-34.0,-10.0,-46.0,-29.0,-12.0,7.0,-0.20152,0.19705
240,20201109,115,86,3,0.0,0.0,-30.0,-6.0,-42.0,-34.0,-24.0,7.0,-0.18984,0.15493
241,20201110,90,66,4,0.0,0.0,-27.0,-2.0,-40.0,-31.0,-27.0,8.0,-0.15416,0.15781
242,20201111,95,57,2,0.0,0.0,-27.0,-5.0,-46.0,-24.0,-29.0,8.0,-0.08915,0.14999
243,20201112,109,64,1,0.0,0.0,-21.0,6.0,-47.0,-19.0,-29.0,6.0,-0.07214,0.14134
244,20201113,93,84,2,0.0,0.0,-23.0,15.0,-49.0,-18.0,-37.0,8.0,-0.04494,0.13476
