,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,2551,2981,29,0.0,0.0,-38.0,10.0,-48.0,-34.0,-26.0,11.0,-0.19846949395866814,0.16209989293121144
202,20201002,2637,3396,16,0.0,0.0,-36.0,11.0,-48.0,-35.0,-38.0,13.0,-0.22485035755372212,0.17039165867324504
203,20201003,2610,2982,29,0.0,0.0,-40.0,-2.0,-50.0,-36.0,-22.0,11.0,-0.17291451922280782,0.1599126090760775
204,20201004,1924,2654,14,0.0,0.0,-46.0,-9.0,-49.0,-39.0,-18.0,10.0,-0.23200316527358814,0.18647735998668083
205,20201005,2681,3336,36,0.0,0.0,-35.0,5.0,-47.0,-34.0,-25.0,10.0,-0.17395667224552225,0.15475086518030495
206,20201006,2888,3484,23,0.0,0.0,-37.0,-1.0,-47.0,-34.0,-26.0,9.0,-0.18013049109231402,0.16170429252587654
207,20201007,2846,3277,30,0.0,0.0,-36.0,1.0,-48.0,-33.0,-22.0,10.0,-0.17599163792225986,0.15944546500432805
208,20201008,2873,2199,24,0.0,0.0,-34.0,6.0,-45.0,-32.0,-20.0,11.0,-0.1847216029409717,0.1577124061158572
209,20201009,2958,2908,38,0.0,0.0,-33.0,6.0,-44.0,-31.0,-16.0,12.0,-0.17416495091026565,0.15234524852455542
210,20201010,2688,2719,39,0.0,0.0,-37.0,-3.0,-46.0,-35.0,-23.0,15.0,-0.1683764947984114,0.16373325857974838
211,20201011,2114,2117,18,0.0,0.0,-39.0,-2.0,-44.0,-34.0,-8.0,12.0,-0.19764572803842118,0.17239336357171808
212,20201012,2875,2769,33,0.0,0.0,-30.0,10.0,-42.0,-31.0,-19.0,13.0,-0.13817319010111487,0.1436182979547237
213,20201013,2619,2810,20,0.0,0.0,-31.0,8.0,-42.0,-29.0,-20.0,12.0,-0.13254633937947047,0.14964568568202088
214,20201014,2830,2198,33,0.0,0.0,-28.0,13.0,-42.0,-25.0,-17.0,11.0,-0.132037685363569,0.14357492714615688
215,20201015,2819,2395,46,0.0,0.0,-29.0,14.0,-43.0,-25.0,-18.0,13.0,-0.14707348180607607,0.14777653676805635
216,20201016,2472,2926,40,0.0,0.0,-26.0,23.0,-43.0,-20.0,-14.0,13.0,-0.12697511526886202,0.14035352305318302
217,20201017,2515,3014,14,0.0,0.0,-35.0,7.0,-47.0,-30.0,-18.0,15.0,-0.15582699501451971,0.1529999878334542
218,20201018,1894,2285,39,0.0,0.0,-37.0,2.0,-46.0,-30.0,-4.0,14.0,-0.19928348100293752,0.16799155205142333
219,20201019,2376,3091,56,0.0,0.0,-28.0,15.0,-43.0,-26.0,-17.0,14.0,-0.13427980657422275,0.1390562767601486
