,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,0,0,0,0.0,0.0,-38.0,-7.0,-57.0,-15.0,-23.0,7.0,-0.15681,0.12374
202,20201002,0,0,0,0.0,0.0,-39.0,0.0,-46.0,-18.0,-45.0,12.0,-0.18969,0.13568
203,20201003,0,0,0,0.0,0.0,-36.0,-10.0,-49.0,-23.0,-25.0,10.0,-0.19412,0.13516
204,20201004,0,0,0,0.0,0.0,-37.0,-17.0,-47.0,-23.0,-20.0,7.0,-0.18498,0.13451
205,20201005,0,0,0,0.0,0.0,-38.0,-7.0,-56.0,-23.0,-22.0,7.0,-0.1752,0.12522
206,20201006,0,0,0,0.0,0.0,-36.0,-10.0,-57.0,-21.0,-20.0,6.0,-0.17586,0.1301
207,20201007,0,0,0,0.0,0.0,-38.0,-10.0,-56.0,-13.0,-19.0,6.0,-0.13621,0.12375
208,20201008,0,0,0,0.0,0.0,-35.0,-4.0,-58.0,-12.0,-22.0,7.0,-0.13071,0.11989
209,20201009,0,0,0,0.0,0.0,-31.0,-8.0,-57.0,-21.0,-16.0,9.0,-0.17662,0.12185
210,20201010,0,0,0,0.0,0.0,-33.0,-13.0,-47.0,-19.0,-16.0,11.0,-0.14161,0.12605
211,20201011,0,0,0,0.0,0.0,-26.0,-6.0,-38.0,-6.0,-14.0,8.0,-0.11838,0.12668
212,20201012,0,0,0,0.0,0.0,-32.0,-6.0,-50.0,-19.0,-16.0,9.0,-0.1369,0.11373
213,20201013,0,0,0,0.0,0.0,-30.0,-4.0,-55.0,-12.0,-15.0,8.0,-0.13676,0.12465
214,20201014,0,0,0,0.0,0.0,-29.0,-5.0,-52.0,-6.0,-15.0,8.0,-0.08329,0.11278
215,20201015,0,0,0,0.0,0.0,-29.0,-4.0,-55.0,-4.0,-15.0,10.0,-0.10508,0.11646
216,20201016,0,0,0,0.0,0.0,-22.0,3.0,-57.0,-3.0,-14.0,10.0,-0.1527,0.11665
217,20201017,0,0,0,0.0,0.0,-36.0,-11.0,-60.0,-7.0,-14.0,12.0,-0.11581,0.1169
218,20201018,0,0,0,0.0,0.0,-32.0,-15.0,-53.0,-5.0,-15.0,10.0,-0.17597,0.12574
219,20201019,0,0,0,0.0,0.0,-35.0,-10.0,-58.0,-8.0,-15.0,11.0,-0.15946,0.11376
220,20201020,0,0,0,0.0,0.0,-34.0,-8.0,-56.0,-8.0,-15.0,10.0,-0.17432,0.12858
221,20201021,0,0,0,0.0,0.0,-33.0,-10.0,-52.0,-4.0,-15.0,8.0,-0.12334,0.12998
222,20201022,0,0,0,0.0,0.0,-31.0,-5.0,-52.0,-7.0,-16.0,6.0,-0.1414,0.12525
223,20201023,0,0,0,0.0,0.0,-32.0,-5.0,-54.0,-1.0,-15.0,6.0,-0.17698,0.12525
224,20201024,0,0,0,0.0,0.0,-36.0,-9.0,-53.0,-8.0,-17.0,7.0,-0.12983,0.12544
225,20201025,0,0,0,0.0,0.0,-22.0,-5.0,-42.0,15.0,-30.0,7.0,-0.1849,0.10989
226,20201026,0,0,0,0.0,0.0,-27.0,-6.0,-41.0,-4.0,-17.0,6.0,-0.16822,0.11731
227,20201027,0,0,0,0.0,0.0,-28.0,-5.0,-48.0,-2.0,-16.0,5.0,-0.14531,0.12081
228,20201028,0,0,0,0.0,0.0,-29.0,-6.0,-46.0,-7.0,-15.0,6.0,-0.11433,0.12359
229,20201029,0,0,0,0.0,0.0,-29.0,-10.0,-47.0,-8.0,-15.0,6.0,-0.13868,0.12628
230,20201030,0,0,0,0.0,0.0,-25.0,-6.0,-40.0,-3.0,-17.0,7.0,-0.16735,0.13366
231,20201031,0,0,0,0.0,0.0,-27.0,-3.0,-30.0,-5.0,-13.0,8.0,-0.11576,0.12756
232,20201101,0,0,0,0.0,0.0,-29.0,-4.0,-37.0,1.0,-11.0,7.0,-0.13889,0.11881
233,20201102,0,0,0,0.0,0.0,-36.0,-4.0,-46.0,-8.0,-15.0,8.0,-0.1624,0.11968
234,20201103,0,0,0,0.0,0.0,-32.0,-3.0,-48.0,-3.0,-15.0,7.0,-0.1542,0.12607
235,20201104,0,0,0,0.0,0.0,-28.0,-1.0,-46.0,-9.0,-15.0,6.0,-0.11402,0.12241
236,20201105,0,0,0,0.0,0.0,-25.0,-4.0,-48.0,-10.0,-16.0,7.0,-0.12361,0.11128
237,20201106,0,0,0,0.0,0.0,-31.0,-6.0,-50.0,-13.0,-14.0,6.0,-0.13366,0.12027
238,20201107,0,0,0,0.0,0.0,-34.0,-7.0,-49.0,-8.0,-14.0,8.0,-0.16138,0.126
239,20201108,0,0,0,0.0,0.0,-35.0,-9.0,-51.0,-11.0,-19.0,5.0,-0.2011,0.12876
240,20201109,0,0,0,0.0,0.0,-22.0,11.0,-44.0,-9.0,-15.0,6.0,-0.16153,0.11847
241,20201110,0,0,0,0.0,0.0,-28.0,8.0,-45.0,-5.0,-16.0,5.0,-0.07599,0.11364
242,20201111,0,0,0,0.0,0.0,-27.0,12.0,-46.0,-4.0,-17.0,5.0,-0.05184,0.11
243,20201112,0,0,0,0.0,0.0,-10.0,29.0,-46.0,5.0,-16.0,4.0,-0.04912,0.10868
244,20201113,0,0,0,0.0,0.0,-8.0,35.0,-47.0,1.0,-19.0,3.0,-0.00517,0.09944
245,20201114,0,0,0,0.0,0.0,-17.0,29.0,-35.0,8.0,-60.0,15.0,-0.07293,0.10953
246,20201115,0,0,0,0.0,0.0,-8.0,0.0,6.0,58.0,-50.0,9.0,-0.16253,0.12582
247,20201116,0,0,0,0.0,0.0,-1.0,23.0,87.0,41.0,-59.0,12.0,-0.04359,0.11178
248,20201117,0,0,0,0.0,0.0,11.0,36.0,118.0,62.0,-34.0,6.0,-0.02462,0.1165
249,20201118,0,0,0,0.0,0.0,9.0,40.0,147.0,68.0,-27.0,6.0,0.10849,0.10836
250,20201119,0,0,0,0.0,0.0,-4.0,23.0,65.0,33.0,-22.0,5.0,0.02866,0.11422
251,20201120,0,0,0,0.0,0.0,-6.0,11.0,32.0,18.0,-26.0,6.0,-0.05057,0.11299
252,20201121,0,0,0,0.0,0.0,-17.0,4.0,2.0,11.0,-19.0,5.0,-0.00473,0.11535
253,20201122,0,0,0,0.0,0.0,-21.0,-9.0,-12.0,11.0,-14.0,5.0,-0.0284,0.11369
254,20201123,0,0,0,0.0,0.0,-29.0,-7.0,-24.0,-12.0,-19.0,6.0,-0.09535,0.10953
255,20201124,0,0,0,0.0,0.0,-28.0,-7.0,-32.0,-16.0,-18.0,6.0,-0.12743,0.11838
256,20201125,0,0,0,0.0,0.0,-29.0,-12.0,-32.0,-6.0,-18.0,6.0,-0.07366,0.12213
257,20201126,0,0,0,0.0,0.0,-27.0,-12.0,-37.0,-9.0,-18.0,6.0,-0.11115,0.12485
258,20201127,0,0,0,0.0,0.0,-26.0,-15.0,-35.0,-8.0,-17.0,6.0,-0.15493,0.11848
259,20201128,0,0,0,0.0,0.0,-27.0,-11.0,-34.0,-10.0,-19.0,7.0,-0.09579,0.12553
