,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,3037,3167,40,0.0,0.0,-41.0,-10.0,-60.0,-33.0,-35.0,11.0,-0.2027,0.21486
202,20201002,2920,3171,37,0.0,0.0,-49.0,-19.0,-60.0,-48.0,-71.0,22.0,-0.34409,0.25906
203,20201003,2258,3440,34,0.0,0.0,-42.0,-12.0,-59.0,-29.0,-27.0,9.0,-0.19135,0.21748
204,20201004,2683,3126,38,0.0,0.0,-42.0,-13.0,-61.0,-26.0,-19.0,6.0,-0.23546,0.24482
205,20201005,1947,3588,32,0.0,0.0,-40.0,-10.0,-56.0,-31.0,-36.0,11.0,-0.22496,0.20951
206,20201006,2676,2997,39,0.0,0.0,-40.0,-10.0,-55.0,-31.0,-36.0,11.0,-0.22053,0.21598
207,20201007,2871,3370,35,0.0,0.0,-40.0,-10.0,-58.0,-31.0,-35.0,11.0,-0.19603,0.21422
208,20201008,2726,2643,37,0.0,0.0,-39.0,-12.0,-60.0,-33.0,-34.0,12.0,-0.20961,0.2139
209,20201009,2860,3098,39,0.0,0.0,-38.0,-9.0,-60.0,-33.0,-33.0,12.0,-0.19737,0.21054
210,20201010,2866,2766,48,0.0,0.0,-40.0,-13.0,-60.0,-30.0,-28.0,10.0,-0.15453,0.21899
211,20201011,2780,3057,29,0.0,0.0,-39.0,-12.0,-62.0,-26.0,-17.0,7.0,-0.21368,0.23776
212,20201012,1849,2975,40,0.0,0.0,-38.0,-11.0,-58.0,-31.0,-34.0,11.0,-0.2128,0.20611
213,20201013,3036,2036,45,0.0,0.0,-37.0,-10.0,-57.0,-30.0,-35.0,11.0,-0.20716,0.2123
214,20201014,3324,2867,44,0.0,0.0,-36.0,-7.0,-58.0,-29.0,-33.0,11.0,-0.17697,0.21033
215,20201015,3483,2755,26,0.0,0.0,-35.0,-7.0,-59.0,-28.0,-33.0,12.0,-0.18549,0.20793
216,20201016,3428,3197,22,0.0,0.0,-32.0,3.0,-58.0,-27.0,-32.0,12.0,-0.16863,0.20115
217,20201017,3259,3154,35,0.0,0.0,-43.0,-12.0,-63.0,-30.0,-24.0,11.0,-0.15165,0.21222
218,20201018,3299,2863,28,0.0,0.0,-39.0,-11.0,-62.0,-25.0,-16.0,8.0,-0.22496,0.24123
219,20201019,2154,2845,31,0.0,0.0,-39.0,-10.0,-59.0,-30.0,-33.0,12.0,-0.21865,0.20629
220,20201020,3579,2186,41,0.0,0.0,-37.0,-8.0,-58.0,-29.0,-34.0,11.0,-0.20994,0.20981
221,20201021,3686,3444,47,0.0,0.0,-38.0,-9.0,-58.0,-30.0,-33.0,11.0,-0.18425,0.21346
222,20201022,3882,2727,35,0.0,0.0,-35.0,-7.0,-57.0,-31.0,-33.0,11.0,-0.20132,0.21313
223,20201023,4086,3296,26,0.0,0.0,-36.0,-3.0,-58.0,-32.0,-33.0,12.0,-0.19163,0.2106
224,20201024,4116,3614,36,0.0,0.0,-37.0,-10.0,-60.0,-31.0,-28.0,10.0,-0.16589,0.21559
225,20201025,4136,3826,33,0.0,0.0,-36.0,-9.0,-59.0,-26.0,-21.0,7.0,-0.22093,0.22963
226,20201026,2832,3736,54,0.0,0.0,-32.0,-4.0,-56.0,-30.0,-34.0,10.0,-0.22058,0.20115
227,20201027,4853,2722,44,0.0,0.0,-33.0,-5.0,-55.0,-29.0,-33.0,10.0,-0.19717,0.20844
228,20201028,5673,4128,40,0.0,0.0,-34.0,-6.0,-56.0,-29.0,-32.0,10.0,-0.16784,0.20728
229,20201029,5739,4138,27,0.0,0.0,-34.0,-9.0,-57.0,-31.0,-32.0,10.0,-0.17978,0.20747
230,20201030,5891,4433,47,0.0,0.0,-36.0,-6.0,-58.0,-36.0,-40.0,13.0,-0.21294,0.2164
231,20201031,5062,4665,41,0.0,0.0,-38.0,-11.0,-59.0,-30.0,-24.0,9.0,-0.14727,0.21215
232,20201101,5664,4159,51,0.0,0.0,-33.0,-6.0,-59.0,-23.0,-13.0,6.0,-0.18902,0.23075
233,20201102,4001,4824,42,0.0,0.0,-32.0,-3.0,-56.0,-29.0,-32.0,10.0,-0.19685,0.19828
234,20201103,6725,3610,48,0.0,0.0,-27.0,3.0,-53.0,-28.0,-32.0,10.0,-0.18559,0.20125
235,20201104,6842,5797,51,0.0,0.0,-36.0,-11.0,-59.0,-36.0,-35.0,13.0,-0.2127,0.21884
236,20201105,6715,5289,66,0.0,0.0,-35.0,-10.0,-57.0,-32.0,-32.0,12.0,-0.21799,0.2131
237,20201106,7178,6121,64,0.0,0.0,-35.0,-5.0,-56.0,-31.0,-31.0,11.0,-0.17418,0.20942
238,20201107,6953,6338,79,0.0,0.0,-34.0,-6.0,-57.0,-26.0,-20.0,9.0,-0.11545,0.21185
239,20201108,7745,6069,77,0.0,0.0,-34.0,-5.0,-58.0,-21.0,-12.0,7.0,-0.18185,0.23655
240,20201109,5023,7014,71,0.0,0.0,-33.0,-4.0,-55.0,-30.0,-31.0,10.0,-0.18909,0.20552
241,20201110,7830,6157,83,0.0,0.0,-30.0,-2.0,-54.0,-28.0,-32.0,10.0,-0.16526,0.20798
242,20201111,8593,7264,85,0.0,0.0,-29.0,4.0,-55.0,-26.0,-31.0,10.0,-0.12002,0.20227
243,20201112,7053,6462,104,0.0,0.0,-23.0,12.0,-55.0,-25.0,-31.0,10.0,-0.1104,0.19285
244,20201113,7802,6498,91,0.0,0.0,-21.0,19.0,-55.0,-26.0,-34.0,11.0,-0.0958,0.18859
245,20201114,7340,7117,96,0.0,0.0,-44.0,-12.0,-65.0,-45.0,-53.0,19.0,-0.26264,0.23129
246,20201115,3235,7606,95,0.0,0.0,-47.0,-26.0,-67.0,-40.0,-36.0,11.0,-0.35197,0.27303
247,20201116,3797,3560,99,0.0,0.0,-35.0,-11.0,-58.0,-37.0,-56.0,12.0,-0.24601,0.20874
248,20201117,6396,4421,99,0.0,0.0,-37.0,-12.0,-57.0,-32.0,-37.0,9.0,-0.19858,0.20377
249,20201118,7486,6901,131,0.0,0.0,-37.0,-10.0,-58.0,-31.0,-34.0,10.0,-0.16467,0.21002
250,20201119,7546,6685,98,0.0,0.0,-37.0,-11.0,-58.0,-33.0,-34.0,11.0,-0.17433,0.21067
251,20201120,6608,8775,118,0.0,0.0,-38.0,-10.0,-59.0,-36.0,-38.0,13.0,-0.19456,0.2149
252,20201121,5879,6963,111,0.0,0.0,-40.0,-15.0,-60.0,-31.0,-25.0,9.0,-0.13209,0.21179
253,20201122,6746,6154,121,0.0,0.0,-38.0,-13.0,-59.0,-25.0,-16.0,6.0,-0.18185,0.23469
254,20201123,4454,7216,121,0.0,0.0,-38.0,-13.0,-57.0,-34.0,-35.0,10.0,-0.1947,0.20694
255,20201124,6224,4943,109,0.0,0.0,-39.0,-12.0,-57.0,-33.0,-36.0,10.0,-0.18301,0.2118
256,20201125,5246,5361,99,0.0,0.0,-38.0,-13.0,-58.0,-33.0,-36.0,10.0,-0.14372,0.20928
257,20201126,5475,4937,91,0.0,0.0,-38.0,-14.0,-58.0,-34.0,-36.0,10.0,-0.16235,0.20794
258,20201127,5482,5937,98,0.0,0.0,-37.0,-12.0,-58.0,-34.0,-35.0,11.0,-0.17158,0.20777
259,20201128,4998,6512,89,0.0,0.0,-40.0,-16.0,-59.0,-32.0,-26.0,9.0,-0.12654,0.21404
260,20201129,4906,6325,68,0.0,0.0,-39.0,-15.0,-60.0,-28.0,-15.0,6.0,-0.18352,0.23549
261,20201130,3726,5824,108,0.0,0.0,-38.0,-14.0,-56.0,-39.0,-48.0,13.0,-0.24229,0.21845
262,20201201,4006,5036,86,0.0,0.0,-37.0,-12.0,-54.0,-32.0,-35.0,9.0,-0.17077,0.20486
263,20201202,3944,5329,82,0.0,0.0,-38.0,-12.0,-43.0,-33.0,-33.0,10.0,-0.15708,0.20777
264,20201203,3734,4834,82,0.0,0.0,-37.0,-14.0,-44.0,-34.0,-32.0,11.0,-0.17614,0.20832
265,20201204,4067,4862,73,0.0,0.0,-37.0,-12.0,-44.0,-34.0,-31.0,11.0,-0.16904,0.20643
266,20201205,3419,4916,77,0.0,0.0,-38.0,-15.0,-45.0,-30.0,-22.0,8.0,-0.10408,0.20378
267,20201206,2706,4622,69,0.0,0.0,-37.0,-15.0,-43.0,-26.0,-15.0,5.0,-0.16041,0.22599
268,20201207,1674,3818,63,0.0,0.0,-36.0,-13.0,-40.0,-31.0,-35.0,8.0,-0.15379,0.19419
269,20201208,3188,3307,57,0.0,0.0,-42.0,-22.0,-45.0,-42.0,-38.0,12.0,-0.25791,0.21797
