,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,524,400,12,0.0,0.0,-50.0,-19.0,-68.0,-36.0,-29.0,11.0,-0.21669466581421898,0.15929440144116225
202,20201002,513,479,2,0.0,0.0,-54.0,-24.0,-64.0,-44.0,-56.0,17.0,-0.2654366295520536,0.1880165691151113
203,20201003,445,523,8,0.0,0.0,-52.0,-23.0,-66.0,-40.0,-28.0,11.0,-0.21124847658454143,0.1645039161630255
204,20201004,428,506,6,0.0,0.0,-55.0,-30.0,-63.0,-40.0,-27.0,10.0,-0.256447911219743,0.195667131799156
205,20201005,391,423,4,0.0,0.0,-49.0,-17.0,-68.0,-36.0,-28.0,10.0,-0.20698103396878398,0.1569939161630255
206,20201006,519,594,8,0.0,0.0,-48.0,-18.0,-67.0,-37.0,-28.0,11.0,-0.21237026020451888,0.16168095090655416
207,20201007,432,394,9,0.0,0.0,-50.0,-17.0,-66.0,-33.0,-28.0,11.0,-0.19922032064146117,0.15915165143344912
208,20201008,432,458,7,0.0,0.0,-49.0,-17.0,-66.0,-34.0,-27.0,12.0,-0.21460119146135362,0.16033707553075155
209,20201009,489,415,7,0.0,0.0,-50.0,-18.0,-68.0,-39.0,-25.0,14.0,-0.22402415523004093,0.16374851737176432
210,20201010,343,460,8,0.0,0.0,-52.0,-25.0,-67.0,-39.0,-27.0,15.0,-0.23388269790784655,0.17594693768790132
211,20201011,432,426,8,0.0,0.0,-55.0,-31.0,-64.0,-38.0,-22.0,13.0,-0.263753491321831,0.19715055702772286
212,20201012,308,495,4,0.0,0.0,-50.0,-20.0,-69.0,-37.0,-26.0,14.0,-0.2393008538509268,0.16694712197429631
213,20201013,408,554,3,0.0,0.0,-47.0,-17.0,-66.0,-37.0,-26.0,14.0,-0.2135030819618181,0.16140681949477048
214,20201014,356,479,5,0.0,0.0,-51.0,-20.0,-69.0,-34.0,-27.0,14.0,-0.22630565899578006,0.17056358420892054
215,20201015,332,430,6,0.0,0.0,-54.0,-28.0,-71.0,-39.0,-28.0,16.0,-0.27487657745218697,0.17797469260804433
216,20201016,321,449,6,0.0,0.0,-48.0,-13.0,-70.0,-36.0,-23.0,15.0,-0.22192843014099672,0.16087037839764973
217,20201017,309,425,7,0.0,0.0,-50.0,-21.0,-69.0,-35.0,-21.0,13.0,-0.20347777456986244,0.15726340974738523
218,20201018,187,360,6,0.0,0.0,-52.0,-28.0,-63.0,-36.0,-20.0,13.0,-0.2646691812799742,0.18630145166587253
219,20201019,159,519,5,0.0,0.0,-45.0,-14.0,-66.0,-31.0,-23.0,14.0,-0.19430552115292982,0.14933730060436942
220,20201020,285,361,6,0.0,0.0,-49.0,-24.0,-69.0,-36.0,-26.0,14.0,-0.2396613531224611,0.16816911518671007
221,20201021,308,408,2,0.0,0.0,-51.0,-24.0,-68.0,-34.0,-27.0,13.0,-0.236162683914449,0.17311764387111814
222,20201022,247,348,7,0.0,0.0,-45.0,-16.0,-65.0,-32.0,-27.0,10.0,-0.21691869600183744,0.16134705022471024
223,20201023,227,390,4,0.0,0.0,-46.0,-13.0,-65.0,-33.0,-24.0,9.0,-0.18899918961704987,0.15322107892454467
224,20201024,218,348,2,0.0,0.0,-47.0,-19.0,-62.0,-31.0,-27.0,9.0,-0.17853721188581773,0.15074960612116872
225,20201025,211,321,6,0.0,0.0,-50.0,-29.0,-60.0,-35.0,-21.0,9.0,-0.26826050909639404,0.17795815445529622
226,20201026,290,343,6,0.0,0.0,-42.0,-15.0,-59.0,-29.0,-25.0,8.0,-0.17732825567946137,0.1416836657833663
227,20201027,215,345,3,0.0,0.0,-41.0,-14.0,-59.0,-31.0,-26.0,8.0,-0.17802243770332762,0.14955109440572625
228,20201028,221,196,7,0.0,0.0,-45.0,-16.0,-58.0,-30.0,-26.0,9.0,-0.1533636559585066,0.15130156985900334
229,20201029,233,194,5,0.0,0.0,-43.0,-17.0,-58.0,-31.0,-26.0,10.0,-0.1631513179915601,0.14890339992252555
230,20201030,215,241,5,0.0,0.0,-43.0,-15.0,-59.0,-34.0,-29.0,11.0,-0.17312615409877652,0.15053235196034404
231,20201031,210,269,2,0.0,0.0,-45.0,-23.0,-56.0,-33.0,-21.0,9.0,-0.1670075509840286,0.14707036857279004
232,20201101,142,237,5,0.0,0.0,-45.0,-22.0,-53.0,-30.0,-21.0,9.0,-0.1863640554936598,0.16924397808775182
233,20201102,186,208,7,0.0,0.0,-41.0,-15.0,-59.0,-29.0,-24.0,10.0,-0.1640528428948027,0.1420580067875863
234,20201103,235,239,2,0.0,0.0,-38.0,-11.0,-58.0,-30.0,-25.0,10.0,-0.15517397808775185,0.14340588972571983
235,20201104,183,249,8,0.0,0.0,-42.0,-13.0,-58.0,-31.0,-25.0,10.0,-0.13852937539122895,0.139518604602532
236,20201105,172,238,4,0.0,0.0,-40.0,-14.0,-58.0,-32.0,-26.0,10.0,-0.15126644943419643,0.13975495430034726
237,20201106,203,207,3,0.0,0.0,-41.0,-11.0,-59.0,-33.0,-23.0,10.0,-0.15932368543308573,0.141709964869099
238,20201107,169,183,8,0.0,0.0,-40.0,-16.0,-56.0,-31.0,-21.0,9.0,-0.12553927416706376,0.14003411593060208
239,20201108,149,207,2,0.0,0.0,-42.0,-20.0,-53.0,-30.0,-20.0,8.0,-0.16915336062308672,0.16160297091279324
240,20201109,144,232,4,0.0,0.0,-37.0,-9.0,-57.0,-30.0,-25.0,10.0,-0.12714998600660246,0.1341768870758187
241,20201110,180,199,4,0.0,0.0,-34.0,-6.0,-57.0,-31.0,-26.0,9.0,-0.12585115484266854,0.1385634871532932
242,20201111,109,152,5,0.0,0.0,-37.0,-4.0,-58.0,-28.0,-27.0,9.0,-0.1130588436695474,0.13656918276775828
243,20201112,107,192,0,0.0,0.0,-33.0,2.0,-59.0,-27.0,-28.0,8.0,-0.11439333799779919,0.13454541992876465
244,20201113,156,167,2,0.0,0.0,-31.0,14.0,-60.0,-24.0,-30.0,7.0,-0.09606394414982054,0.12736494447548755
245,20201114,84,145,1,0.0,0.0,-50.0,-30.0,-56.0,-41.0,-58.0,16.0,-0.196245894189072,0.15968718389902267
246,20201115,58,123,3,0.0,0.0,-42.0,-25.0,-49.0,-35.0,-25.0,9.0,-0.21157414123664336,0.16811238292270725
247,20201116,125,285,1,0.0,0.0,-31.0,-8.0,-43.0,-29.0,-34.0,9.0,-0.09866214534347587,0.1339087073144812
248,20201117,154,191,4,0.0,0.0,-29.0,-8.0,-38.0,-28.0,-30.0,8.0,-0.08222569442149541,0.13500840066641756
249,20201118,162,178,3,0.0,0.0,-31.0,-8.0,-35.0,-25.0,-29.0,8.0,-0.04150039417364565,0.1316939837440737
