,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,1350,1334,10,0.0,0.0,-39.0,-4.0,-54.0,-20.0,-24.0,10.0,-0.152674410630448,0.1298254507238959
202,20201002,1310,1250,15,0.0,0.0,-37.0,4.0,-52.0,-22.0,-34.0,13.0,-0.1999435663082261,0.1394002527416074
203,20201003,1343,1304,12,0.0,0.0,-40.0,-2.0,-53.0,-21.0,-18.0,10.0,-0.164086855351799,0.13150146763931378
204,20201004,1302,1246,9,0.0,0.0,-41.0,-10.0,-52.0,-17.0,-12.0,9.0,-0.21399394511346234,0.1468075495128484
205,20201005,1327,1405,13,0.0,0.0,-37.0,1.0,-52.0,-19.0,-22.0,10.0,-0.15934031689265493,0.12331038410874821
206,20201006,1335,1473,10,0.0,0.0,-36.0,0.0,-52.0,-18.0,-23.0,9.0,-0.16502045879101257,0.12974538451593162
207,20201007,1311,1414,9,0.0,0.0,-36.0,0.0,-52.0,-17.0,-21.0,9.0,-0.1602111623869813,0.12914554414225696
208,20201008,1278,1266,10,0.0,0.0,-36.0,0.0,-52.0,-19.0,-21.0,10.0,-0.16164234338733832,0.12816310967585162
209,20201009,1243,1518,9,0.0,0.0,-36.0,2.0,-50.0,-20.0,-19.0,11.0,-0.16819226699383127,0.128121827098125
210,20201010,1221,1456,10,0.0,0.0,-38.0,-1.0,-51.0,-20.0,-18.0,12.0,-0.15884957116407455,0.13268713246543395
211,20201011,1181,1413,9,0.0,0.0,-38.0,-7.0,-49.0,-14.0,-7.0,10.0,-0.18808963942016846,0.1427799482218774
212,20201012,1169,1442,8,0.0,0.0,-34.0,3.0,-49.0,-17.0,-19.0,11.0,-0.14555456379679502,0.1205557839820775
213,20201013,1158,1375,10,0.0,0.0,-34.0,3.0,-49.0,-16.0,-20.0,11.0,-0.1430952183877777,0.12614815470327823
214,20201014,1175,1414,11,0.0,0.0,-32.0,4.0,-49.0,-14.0,-19.0,10.0,-0.13729331027236494,0.12585072375348408
215,20201015,1185,1329,11,0.0,0.0,-32.0,4.0,-49.0,-15.0,-19.0,11.0,-0.1377594830791609,0.12407329796988532
216,20201016,1191,1279,11,0.0,0.0,-31.0,10.0,-47.0,-14.0,-18.0,11.0,-0.13573695176788794,0.1221441004259371
217,20201017,1161,1270,9,0.0,0.0,-36.0,3.0,-49.0,-17.0,-13.0,12.0,-0.129964865495432,0.12364628875413612
218,20201018,1091,1233,9,0.0,0.0,-35.0,-5.0,-48.0,-13.0,-4.0,11.0,-0.18946848393683757,0.1428413380969027
