,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,1313,2161,20,0.0,0.0,-32.0,2.0,-62.0,-28.0,-27.0,9.0,-0.12626842592746723,0.13617359029510803
202,20201002,1476,1678,23,0.0,0.0,-29.0,8.0,-57.0,-36.0,-56.0,17.0,-0.2111942030258452,0.15448711737808257
203,20201003,1188,1542,25,0.0,0.0,-33.0,2.0,-62.0,-29.0,-21.0,7.0,-0.14715999252232476,0.14169570580189814
204,20201004,1302,2083,20,0.0,0.0,-36.0,-3.0,-61.0,-26.0,-6.0,5.0,-0.18658849127399438,0.1643139722427054
205,20201005,1031,1255,21,0.0,0.0,-26.0,8.0,-57.0,-29.0,-26.0,8.0,-0.14127307338133005,0.1312679175686199
206,20201006,1206,1690,18,0.0,0.0,-27.0,5.0,-58.0,-28.0,-28.0,8.0,-0.14608131702266325,0.13690662760080663
207,20201007,1283,1555,19,0.0,0.0,-28.0,6.0,-60.0,-32.0,-26.0,9.0,-0.13173154375278237,0.1353032549882133
208,20201008,1284,1426,20,0.0,0.0,-28.0,5.0,-60.0,-31.0,-23.0,10.0,-0.13959684345975787,0.1355910570893308
209,20201009,1250,1273,14,0.0,0.0,-27.0,6.0,-59.0,-32.0,-22.0,11.0,-0.1418451158588014,0.1343240011964596
210,20201010,1158,1301,10,0.0,0.0,-28.0,5.0,-60.0,-27.0,-18.0,9.0,-0.1289804975736705,0.14154659741280406
211,20201011,1065,1162,7,0.0,0.0,-31.0,3.0,-60.0,-24.0,-5.0,7.0,-0.16455255362511242,0.15942157650710637
212,20201012,1066,1225,13,0.0,0.0,-22.0,12.0,-57.0,-28.0,-23.0,10.0,-0.12866544474042563,0.12911345632571408
213,20201013,1081,1154,9,0.0,0.0,-22.0,9.0,-57.0,-26.0,-24.0,10.0,-0.1257744783772234,0.13351888574907436
214,20201014,1205,1324,13,0.0,0.0,-22.0,10.0,-58.0,-28.0,-23.0,10.0,-0.10712852694609883,0.1316000322375885
215,20201015,1199,1013,9,0.0,0.0,-22.0,11.0,-57.0,-26.0,-22.0,11.0,-0.1058556137926089,0.13066003539716958
216,20201016,1227,1139,11,0.0,0.0,-20.0,20.0,-56.0,-24.0,-21.0,11.0,-0.09468156681772434,0.12708804464413137
217,20201017,1148,1318,6,0.0,0.0,-28.0,10.0,-60.0,-26.0,-15.0,10.0,-0.11114267791261902,0.1355514095814277
218,20201018,952,1175,0,0.0,0.0,-28.0,5.0,-59.0,-22.0,-3.0,8.0,-0.15627860061127832,0.15632077907814546
219,20201019,1201,1160,8,0.0,0.0,-21.0,12.0,-56.0,-27.0,-22.0,11.0,-0.12279419276647635,0.12812621801141094
220,20201020,940,925,12,0.0,0.0,-21.0,9.0,-57.0,-25.0,-24.0,10.0,-0.125678755534099,0.13165996654630804
221,20201021,1193,1070,14,0.0,0.0,-23.0,9.0,-57.0,-29.0,-23.0,10.0,-0.11448145700670045,0.13349894872256282
222,20201022,1128,1292,14,0.0,0.0,-22.0,10.0,-56.0,-27.0,-22.0,9.0,-0.11096251552040665,0.132603453378744
223,20201023,1270,1180,17,0.0,0.0,-22.0,14.0,-55.0,-27.0,-23.0,9.0,-0.10927175823705944,0.129413987648523
224,20201024,1299,1218,15,0.0,0.0,-25.0,8.0,-56.0,-25.0,-19.0,8.0,-0.10819553065341951,0.13489092631659663
225,20201025,1240,1086,7,0.0,0.0,-23.0,8.0,-55.0,-22.0,-10.0,5.0,-0.15483699236162396,0.14938338459257303
226,20201026,1153,1284,10,0.0,0.0,-16.0,15.0,-52.0,-25.0,-24.0,8.0,-0.10785349010640886,0.1240876046142822
227,20201027,1248,937,13,0.0,0.0,-17.0,12.0,-53.0,-22.0,-24.0,7.0,-0.09781556540762816,0.12865234975363551
228,20201028,1518,948,8,0.0,0.0,-20.0,10.0,-55.0,-27.0,-24.0,8.0,-0.08877911700200959,0.12896219133042505
229,20201029,1594,1209,8,0.0,0.0,-21.0,7.0,-55.0,-27.0,-22.0,9.0,-0.09544089686740749,0.1291519629254518
