,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,243,218,9,0.0,0.0,-29.0,9.0,-34.0,-1.0,-19.0,5.0,-0.13527651001209126,0.16721411005178077
202,20201002,235,388,7,0.0,0.0,-25.0,14.0,-29.0,-6.0,-46.0,10.0,-0.17020318801388196,0.18994552300894568
203,20201003,241,197,8,0.0,0.0,-21.0,25.0,-26.0,4.0,-12.0,5.0,-0.10444651855294818,0.16330679084325303
204,20201004,156,168,7,0.0,0.0,-26.0,5.0,-25.0,-7.0,-9.0,4.0,-0.0929982497667948,0.19916334769102706
205,20201005,182,292,7,0.0,0.0,-22.0,24.0,-27.0,7.0,-18.0,4.0,-0.08973736225526625,0.1544912545708073
206,20201006,250,265,5,0.0,0.0,-20.0,25.0,-27.0,8.0,-16.0,3.0,-0.1277371950338927,0.16854218622814626
207,20201007,282,418,2,0.0,0.0,-24.0,20.0,-31.0,5.0,-13.0,5.0,-0.12565523596824724,0.16350287100115646
208,20201008,213,267,7,0.0,0.0,-24.0,15.0,-27.0,2.0,-13.0,7.0,-0.14319873960894117,0.1655484002152483
209,20201009,199,278,7,0.0,0.0,-21.0,16.0,-27.0,2.0,-9.0,7.0,-0.11522232615565729,0.16116626455318994
210,20201010,267,400,3,0.0,0.0,-20.0,19.0,-25.0,-1.0,-16.0,9.0,-0.11725420113279042,0.17596947221718948
211,20201011,164,190,2,0.0,0.0,-24.0,7.0,-19.0,-5.0,0.0,7.0,-0.11338760363984512,0.19625458755241815
212,20201012,170,219,1,0.0,0.0,-17.0,28.0,-20.0,11.0,-11.0,7.0,-0.08372128660633821,0.15071814487494434
213,20201013,184,312,3,0.0,0.0,-14.0,30.0,-16.0,14.0,-9.0,5.0,-0.09560575294034661,0.16006198909035776
214,20201014,246,232,1,0.0,0.0,-17.0,21.0,-23.0,11.0,-8.0,7.0,-0.10756470623754763,0.15785599030328823
215,20201015,295,153,5,0.0,0.0,-18.0,22.0,-21.0,12.0,-8.0,8.0,-0.11191715620928787,0.15574696779675457
216,20201016,219,219,2,0.0,0.0,-18.0,26.0,-23.0,15.0,-5.0,9.0,-0.08383939513727277,0.1523940595398416
217,20201017,275,234,3,0.0,0.0,-18.0,31.0,-23.0,17.0,3.0,7.0,-0.07008592895868572,0.14989248187263118
218,20201018,170,217,3,0.0,0.0,-20.0,13.0,-18.0,11.0,5.0,7.0,-0.07155025560226651,0.18127565104716234
219,20201019,168,201,4,0.0,0.0,-16.0,28.0,-14.0,21.0,-13.0,7.0,-0.07953845040668586,0.14147236630470955
220,20201020,222,216,2,0.0,0.0,-12.0,30.0,-12.0,25.0,-11.0,5.0,-0.07424019053311279,0.14715038996417112
221,20201021,264,219,5,0.0,0.0,-17.0,20.0,-19.0,18.0,-12.0,6.0,-0.07703651906662894,0.15053924422636022
222,20201022,223,238,5,0.0,0.0,-16.0,22.0,-17.0,18.0,-13.0,4.0,-0.0906903385682913,0.1537256028738608
223,20201023,196,202,1,0.0,0.0,-16.0,26.0,-21.0,18.0,-10.0,4.0,-0.0680766579975115,0.15016263761448423
224,20201024,173,183,5,0.0,0.0,-16.0,26.0,-18.0,17.0,-11.0,3.0,-0.07745417612341686,0.1521455757863486
225,20201025,157,272,1,0.0,0.0,-18.0,15.0,-17.0,16.0,-4.0,2.0,-0.0955750296017672,0.17293230633431278
226,20201026,216,192,2,0.0,0.0,-11.0,31.0,-12.0,23.0,-13.0,3.0,-0.06376736159670121,0.14033430635099645
227,20201027,231,214,5,0.0,0.0,-7.0,35.0,-10.0,29.0,-10.0,2.0,-0.060897298596905215,0.15052010700218554
228,20201028,332,205,2,0.0,0.0,-16.0,22.0,-20.0,18.0,-12.0,4.0,-0.06763511549474772,0.14791987248570843
229,20201029,327,199,6,0.0,0.0,-19.0,15.0,-22.0,13.0,-13.0,5.0,-0.07950742646974888,0.14981730655676145
230,20201030,101,139,5,0.0,0.0,-18.0,20.0,-24.0,15.0,-12.0,5.0,-0.056148028604553354,0.14709419917173006
231,20201031,482,321,6,0.0,0.0,-20.0,17.0,-24.0,5.0,-19.0,8.0,-0.09731006110020168,0.16364076570919114
232,20201101,205,102,8,0.0,0.0,-20.0,14.0,-22.0,8.0,2.0,5.0,-0.09846877384700627,0.18543520875487593
233,20201102,334,339,10,0.0,0.0,-14.0,32.0,-21.0,23.0,-11.0,5.0,-0.07841091920899605,0.1393824490629205
234,20201103,334,165,8,0.0,0.0,-6.0,42.0,-17.0,33.0,-9.0,3.0,-0.051004358803507316,0.13883493208877223
