,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,1093,1680,17,0.0,0.0,148.0,342.0,215.0,350.0,128.0,7.0,0.04984097200035529,0.17392185535202007
202,20201002,1090,1400,14,0.0,0.0,184.0,402.0,268.0,398.0,92.0,10.0,0.006107305691227272,0.19434177061121724
203,20201003,975,1399,19,0.0,0.0,188.0,416.0,304.0,446.0,166.0,5.0,0.06246167025720296,0.1754265416613044
204,20201004,878,1053,11,0.0,0.0,181.0,350.0,298.0,379.0,180.0,4.0,-0.0005542432229125802,0.20127984579671238
205,20201005,632,1386,10,0.0,0.0,195.0,406.0,225.0,410.0,135.0,5.0,0.042568333694539835,0.16392302406719814
206,20201006,738,1706,16,0.0,0.0,192.0,403.0,232.0,408.0,133.0,4.0,0.04028058037275555,0.17191966553632154
207,20201007,621,2188,14,0.0,0.0,177.0,366.0,228.0,368.0,139.0,5.0,0.07562072372310305,0.16754799228899836
208,20201008,696,1336,9,0.0,0.0,177.0,364.0,238.0,358.0,140.0,9.0,0.06942414262570186,0.1701524083456407
209,20201009,636,959,15,0.0,0.0,216.0,445.0,308.0,442.0,172.0,10.0,0.10191643156189044,0.16999505426709285
210,20201010,635,976,7,0.0,0.0,213.0,450.0,333.0,434.0,182.0,9.0,0.08871824419585779,0.17580759959452377
211,20201011,569,890,9,0.0,0.0,205.0,398.0,329.0,393.0,218.0,7.0,0.00449957411359682,0.20057070783320585
212,20201012,398,861,11,0.0,0.0,211.0,433.0,250.0,416.0,157.0,9.0,0.07462448350896901,0.16160408005803545
213,20201013,677,796,7,0.0,0.0,216.0,436.0,252.0,421.0,154.0,7.0,0.07467664723806187,0.16842260061275935
214,20201014,701,816,12,0.0,0.0,211.0,402.0,228.0,380.0,138.0,8.0,0.07592025243631005,0.17365891820721646
215,20201015,648,1323,6,0.0,0.0,213.0,407.0,228.0,392.0,151.0,9.0,0.11622282286320831,0.1646304025682501
216,20201016,697,838,8,0.0,0.0,245.0,507.0,295.0,490.0,177.0,11.0,0.12530554521930815,0.16604621222102778
217,20201017,610,809,6,0.0,0.0,225.0,485.0,327.0,488.0,195.0,9.0,0.1207554703913517,0.16486567481988712
218,20201018,578,598,7,0.0,0.0,236.0,440.0,330.0,447.0,220.0,7.0,0.051653523363842116,0.19363881416379258
219,20201019,427,781,9,0.0,0.0,231.0,467.0,250.0,457.0,157.0,9.0,0.08540183321635986,0.15854307932860562
220,20201020,589,770,9,0.0,0.0,229.0,451.0,253.0,454.0,154.0,7.0,0.08680421566197831,0.16203790347046904
221,20201021,624,655,5,0.0,0.0,226.0,420.0,249.0,410.0,153.0,6.0,0.11953554354643561,0.16461006005756018
222,20201022,584,710,10,0.0,0.0,229.0,422.0,257.0,413.0,147.0,6.0,0.12166359737449906,0.1658854828653357
223,20201023,586,684,12,0.0,0.0,265.0,524.0,337.0,524.0,176.0,6.0,0.15664582489361947,0.1678465149870404
224,20201024,577,733,6,0.0,0.0,244.0,499.0,355.0,493.0,148.0,5.0,0.08503538544482861,0.1713683746862965
225,20201025,532,639,8,0.0,0.0,255.0,455.0,338.0,455.0,211.0,3.0,0.0410962044451206,0.19460365013696343
226,20201026,364,627,6,0.0,0.0,243.0,466.0,254.0,433.0,111.0,6.0,0.04506910963231728,0.17168804541825083
227,20201027,452,751,7,0.0,0.0,251.0,456.0,266.0,466.0,156.0,3.0,0.12166875880829599,0.15758245500746254
228,20201028,536,546,4,0.0,0.0,232.0,429.0,240.0,416.0,152.0,4.0,0.13290541774610007,0.15958932250255994
229,20201029,551,588,11,0.0,0.0,217.0,405.0,218.0,396.0,143.0,7.0,0.13086863575966834,0.1622153901524738
230,20201030,566,654,5,0.0,0.0,243.0,495.0,266.0,459.0,118.0,11.0,0.07317893741973522,0.17959690532928718
