,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,1013,1119,8,0.0,0.0,-36.0,-2.0,-36.0,-28.0,-17.0,10.0,-0.17847369273812216,0.1734464167285121
202,20201002,736,967,8,0.0,0.0,-31.0,8.0,-38.0,-30.0,-38.0,13.0,-0.19713023302712426,0.18035048140128201
203,20201003,877,1176,5,0.0,0.0,-33.0,1.0,-40.0,-29.0,-15.0,10.0,-0.17056660979945087,0.17045803420799732
204,20201004,933,907,9,0.0,0.0,-31.0,6.0,-42.0,-27.0,-10.0,7.0,-0.16423580513859923,0.18285994645892975
205,20201005,816,1332,4,0.0,0.0,-29.0,7.0,-37.0,-28.0,-24.0,10.0,-0.16615937317673077,0.16751888437430257
206,20201006,847,1246,10,0.0,0.0,-28.0,6.0,-35.0,-27.0,-21.0,9.0,-0.1275318339342868,0.16271026315250203
207,20201007,829,1087,10,0.0,0.0,-27.0,9.0,-35.0,-24.0,-15.0,8.0,-0.15010453804904514,0.16309431391208729
208,20201008,784,1263,8,0.0,0.0,-28.0,7.0,-33.0,-24.0,-12.0,10.0,-0.16404642764092078,0.16296079060640403
209,20201009,768,1215,6,0.0,0.0,-27.0,8.0,-32.0,-25.0,-13.0,12.0,-0.15176664321449646,0.16347609977029923
210,20201010,697,1151,3,0.0,0.0,-29.0,5.0,-33.0,-26.0,-11.0,12.0,-0.1541345352259088,0.16792525549368753
211,20201011,574,766,3,0.0,0.0,-27.0,10.0,-36.0,-23.0,-3.0,10.0,-0.14668485998995878,0.1728628982227367
212,20201012,510,890,11,0.0,0.0,-25.0,12.0,-30.0,-23.0,-15.0,12.0,-0.12507523341726454,0.15454402616892485
213,20201013,701,853,7,0.0,0.0,-25.0,12.0,-29.0,-24.0,-15.0,12.0,-0.11384609357837577,0.1572576302224309
214,20201014,633,1053,6,0.0,0.0,-20.0,16.0,-29.0,-18.0,-11.0,11.0,-0.1174303587726423,0.15426717816200217
215,20201015,583,873,8,0.0,0.0,-21.0,16.0,-28.0,-16.0,-9.0,11.0,-0.1244518086764168,0.15524448331451543
216,20201016,473,818,5,0.0,0.0,-19.0,26.0,-28.0,-15.0,-12.0,13.0,-0.10490233217556351,0.15086974940261855
217,20201017,542,501,8,0.0,0.0,-27.0,11.0,-32.0,-21.0,-9.0,13.0,-0.15145863692381026,0.16074749425050835
218,20201018,385,452,7,0.0,0.0,-23.0,14.0,-34.0,-19.0,2.0,11.0,-0.151551496547213,0.1715767790763794
219,20201019,490,769,3,0.0,0.0,-22.0,16.0,-26.0,-19.0,-13.0,13.0,-0.12424145033908254,0.1516951915179561
220,20201020,572,605,7,0.0,0.0,-22.0,16.0,-25.0,-19.0,-14.0,12.0,-0.11778205147432709,0.1539580781792629
221,20201021,647,619,2,0.0,0.0,-17.0,21.0,-27.0,-13.0,-12.0,10.0,-0.12202009182726127,0.15372974123938019
222,20201022,549,625,8,0.0,0.0,-16.0,24.0,-26.0,-10.0,-13.0,8.0,-0.12390260805779436,0.15332075426970196
223,20201023,435,499,3,0.0,0.0,-13.0,34.0,-24.0,-8.0,-23.0,8.0,-0.09916685380597763,0.14977759562968918
224,20201024,383,470,2,0.0,0.0,-20.0,21.0,-23.0,-11.0,-30.0,9.0,-0.16386758091803558,0.14900204830227737
225,20201025,258,378,2,0.0,0.0,-22.0,14.0,-25.0,-13.0,-21.0,6.0,-0.15210342198500829,0.15823459017233285
226,20201026,220,392,6,0.0,0.0,-27.0,6.0,-20.0,-22.0,-47.0,12.0,-0.1628034928677687,0.1495369150540616
227,20201027,318,506,4,0.0,0.0,-22.0,12.0,-27.0,-19.0,-24.0,8.0,-0.10751043176191777,0.1524234558441529
228,20201028,345,452,4,0.0,0.0,-20.0,16.0,-30.0,-16.0,-16.0,8.0,-0.11634870723333426,0.15159615607327168
229,20201029,395,461,3,0.0,0.0,-21.0,14.0,-30.0,-15.0,-13.0,9.0,-0.12299902314753541,0.1535575401830852
230,20201030,323,421,0,0.0,0.0,-22.0,16.0,-31.0,-18.0,-24.0,12.0,-0.1423944441334572,0.16009986260756667
231,20201031,474,367,1,0.0,0.0,-25.0,8.0,-31.0,-18.0,-9.0,10.0,-0.12792653869600507,0.1509281532771754
232,20201101,326,398,1,0.0,0.0,-23.0,13.0,-35.0,-17.0,-5.0,9.0,-0.12221031187608244,0.16814774690165865
233,20201102,403,512,1,0.0,0.0,-22.0,14.0,-29.0,-18.0,-16.0,11.0,-0.11019359001300286,0.14980352854544607
234,20201103,397,490,5,0.0,0.0,-19.0,15.0,-30.0,-19.0,-17.0,11.0,-0.11253996870359509,0.15196058754338757
235,20201104,301,505,3,0.0,0.0,-19.0,15.0,-31.0,-18.0,-13.0,10.0,-0.11634408827762129,0.15123536617106018
236,20201105,355,484,0,0.0,0.0,-21.0,14.0,-29.0,-19.0,-12.0,10.0,-0.12126846296671402,0.1531235549419073
237,20201106,356,401,1,0.0,0.0,-22.0,14.0,-29.0,-20.0,-14.0,11.0,-0.12043056830343903,0.15394248569470462
238,20201107,340,411,2,0.0,0.0,-22.0,13.0,-30.0,-21.0,-8.0,10.0,-0.12285084405774513,0.15663882436029875
239,20201108,203,298,0,0.0,0.0,-20.0,16.0,-33.0,-18.0,-4.0,9.0,-0.11963341960566791,0.16856853510053035
240,20201109,246,458,8,0.0,0.0,-21.0,16.0,-28.0,-21.0,-16.0,11.0,-0.10275734656285802,0.15024837658201584
241,20201110,252,456,5,0.0,0.0,-19.0,16.0,-26.0,-20.0,-16.0,11.0,-0.09482001352092241,0.1528912248443637
242,20201111,284,314,3,0.0,0.0,-15.0,24.0,-27.0,-15.0,-12.0,9.0,-0.09699604786345296,0.14850971133711288
243,20201112,269,606,4,0.0,0.0,-6.0,44.0,-24.0,-6.0,-11.0,8.0,-0.07930447433158845,0.14049611343248453
244,20201113,288,661,4,0.0,0.0,-8.0,46.0,-25.0,-6.0,-16.0,9.0,-0.0697579120822657,0.13915519886514346
245,20201114,154,328,1,0.0,0.0,-26.0,20.0,-33.0,-19.0,-33.0,15.0,-0.2249830769221442,0.16482631519715543
246,20201115,129,291,2,0.0,0.0,-28.0,4.0,-34.0,-24.0,-16.0,10.0,-0.19757984328728628,0.17170460259740672
247,20201116,166,360,4,0.0,0.0,-20.0,16.0,-24.0,-18.0,-28.0,10.0,-0.11085614809312946,0.14986186441403446
248,20201117,261,343,3,0.0,0.0,-19.0,19.0,-23.0,-14.0,-21.0,9.0,-0.05654526164377774,0.14582306193099612
249,20201118,251,280,3,0.0,0.0,-19.0,18.0,-25.0,-12.0,-18.0,8.0,-0.08971035593131761,0.14747306099429575
250,20201119,230,264,3,0.0,0.0,-21.0,17.0,-21.0,-11.0,-22.0,8.0,-0.11446322567017583,0.14659232995779636
251,20201120,185,189,2,0.0,0.0,-30.0,6.0,-4.0,-22.0,-41.0,13.0,-0.16685472181997324,0.14332055442905622
252,20201121,175,333,6,0.0,0.0,-28.0,3.0,-4.0,-20.0,-32.0,7.0,-0.1590263823473616,0.14046854483554602
253,20201122,137,273,5,0.0,0.0,-21.0,14.0,-28.0,-10.0,-9.0,6.0,-0.06796570933990992,0.1572127502189121
254,20201123,219,303,3,0.0,0.0,-19.0,18.0,-22.0,-12.0,-18.0,8.0,-0.04630799945307607,0.13973729170434437
255,20201124,233,191,2,0.0,0.0,-17.0,20.0,-20.0,-10.0,-19.0,9.0,-0.0354925985007215,0.1428184705173078
256,20201125,237,316,3,0.0,0.0,-16.0,22.0,-20.0,-8.0,-16.0,7.0,-0.04085979488169898,0.13830311089587546
257,20201126,230,218,3,0.0,0.0,-18.0,17.0,-20.0,-10.0,-15.0,8.0,-0.06170621031671571,0.14020325963572236
258,20201127,189,195,1,0.0,0.0,-21.0,15.0,-22.0,-12.0,-16.0,9.0,-0.08693941082056961,0.15304959928106265
259,20201128,209,216,1,0.0,0.0,-18.0,19.0,-21.0,-9.0,-12.0,8.0,-0.06102967632755462,0.146343354127275
260,20201129,198,214,0,0.0,0.0,-18.0,21.0,-26.0,-8.0,-4.0,6.0,-0.0434299159946422,0.1544812877515291
261,20201130,167,288,1,0.0,0.0,-17.0,19.0,-14.0,-10.0,-29.0,9.0,-0.040024574347854905,0.14179424827333367
262,20201201,181,227,5,0.0,0.0,-17.0,19.0,-15.0,-9.0,-20.0,7.0,0.020107323600055703,0.13257802898005688
263,20201202,206,262,2,0.0,0.0,-18.0,20.0,-7.0,-8.0,-12.0,7.0,-0.03764099285427906,0.13757786367819408
264,20201203,233,208,6,0.0,0.0,-19.0,19.0,-9.0,-9.0,-9.0,8.0,-0.06388447313085366,0.1411254309067618
265,20201204,219,206,1,0.0,0.0,-19.0,21.0,-9.0,-10.0,-12.0,9.0,-0.054202317955298715,0.1441393340372026
266,20201205,196,288,1,0.0,0.0,-19.0,19.0,-10.0,-9.0,-6.0,8.0,-0.05125908900727759,0.14104345341358196
267,20201206,92,134,7,0.0,0.0,-18.0,20.0,-11.0,-6.0,-5.0,6.0,-0.024124176855532357,0.1490476952518745
268,20201207,179,214,2,0.0,0.0,-19.0,19.0,-5.0,-9.0,-17.0,7.0,-0.01301664888683913,0.1310500637165473
269,20201208,182,188,0,0.0,0.0,-27.0,4.0,-9.0,-20.0,-19.0,10.0,-0.10706566718141741,0.14981928083201068
270,20201209,191,202,3,0.0,0.0,-17.0,21.0,-3.0,-1.0,-12.0,7.0,-0.01821356174920352,0.1338378067956193
271,20201210,173,220,2,0.0,0.0,-19.0,20.0,-2.0,0.0,-10.0,9.0,-0.038189641404391045,0.13962282353436542
272,20201211,174,168,2,0.0,0.0,-18.0,21.0,1.0,3.0,-13.0,11.0,-0.010824603904543371,0.13776148345917355
273,20201212,189,273,0,0.0,0.0,-24.0,13.0,-4.0,-2.0,-9.0,11.0,-0.026576330586628515,0.1373972217200888
274,20201213,144,179,4,0.0,0.0,-23.0,15.0,-7.0,-2.0,-2.0,10.0,-0.05640500335635838,0.1562160070072469
275,20201214,212,201,1,0.0,0.0,-21.0,18.0,-2.0,-4.0,-11.0,12.0,-0.051194916186832515,0.13913106548585016
276,20201215,209,211,1,0.0,0.0,-24.0,12.0,-4.0,-6.0,-12.0,13.0,-0.059193057537901356,0.14812642645594923
277,20201216,190,180,3,0.0,0.0,-21.0,19.0,-4.0,-2.0,-6.0,12.0,-0.077412153123605,0.1439876906405194
278,20201217,211,164,3,0.0,0.0,-23.0,16.0,-4.0,-4.0,-4.0,13.0,-0.10066174813252547,0.14705374232716523
279,20201218,274,195,1,0.0,0.0,-23.0,19.0,-4.0,-4.0,-6.0,14.0,-0.09096585031666235,0.14814027436774693
280,20201219,247,234,2,0.0,0.0,-25.0,15.0,-6.0,-4.0,0.0,13.0,-0.08766101328162422,0.1473472375703336
281,20201220,172,182,0,0.0,0.0,-23.0,17.0,-6.0,-4.0,2.0,12.0,-0.08632728536721719,0.15967992194071962
282,20201221,173,205,1,0.0,0.0,-22.0,19.0,-3.0,-7.0,-9.0,14.0,-0.09479605945883449,0.14498084283306234
283,20201222,209,246,3,0.0,0.0,-23.0,16.0,-3.0,-8.0,-9.0,14.0,-0.09191750222125326,0.14917317783418732
284,20201223,202,204,0,0.0,0.0,-21.0,20.0,-5.0,-2.0,-5.0,12.0,-0.10377966218822807,0.14710590414510866
285,20201224,177,213,2,0.0,0.0,-20.0,22.0,-4.0,1.0,-5.0,12.0,-0.10044570390401591,0.1481947534622601
286,20201225,168,176,0,0.0,0.0,-18.0,25.0,7.0,-2.0,-23.0,15.0,-0.10017195044284713,0.15188714838220313
287,20201226,189,179,2,0.0,0.0,-27.0,11.0,-3.0,-5.0,-7.0,14.0,-0.100076911773488,0.15056629125915397
