,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,10070,7144,130,0.0,0.0,-41.0,5.0,-55.0,-22.0,-39.0,14.0,-0.15000804698158682,0.12835692046214295
202,20201002,8793,7094,125,0.0,0.0,-40.0,11.0,-49.0,-24.0,-58.0,18.0,-0.17475505817231723,0.13973244449666883
203,20201003,9886,8989,100,0.0,0.0,-44.0,-5.0,-53.0,-21.0,-22.0,9.0,-0.12917184138985366,0.12558780281745743
204,20201004,10145,7287,67,0.0,0.0,-46.0,-10.0,-50.0,-18.0,-11.0,7.0,-0.15876178310173367,0.14311036359099782
205,20201005,7051,7064,84,0.0,0.0,-40.0,3.0,-52.0,-21.0,-39.0,14.0,-0.1367096158722332,0.12341218591309902
206,20201006,9993,10228,91,0.0,0.0,-40.0,3.0,-53.0,-21.0,-40.0,14.0,-0.14433801998196358,0.1290639976009937
207,20201007,10947,9832,113,0.0,0.0,-40.0,3.0,-53.0,-21.0,-39.0,14.0,-0.15279918311060828,0.12786057089795308
208,20201008,10704,9613,101,0.0,0.0,-40.0,3.0,-53.0,-24.0,-38.0,15.0,-0.1532328071921804,0.1279397945763321
209,20201009,10913,9091,114,0.0,0.0,-43.0,-3.0,-55.0,-26.0,-37.0,16.0,-0.16670839786391414,0.13199319134482645
210,20201010,10517,8337,102,0.0,0.0,-44.0,-8.0,-54.0,-24.0,-23.0,11.0,-0.15787411764443993,0.13688143658291735
211,20201011,9523,10107,75,0.0,0.0,-47.0,-12.0,-52.0,-21.0,-8.0,10.0,-0.20040318698818993,0.15656798958928048
212,20201012,7606,12030,70,0.0,0.0,-40.0,0.0,-53.0,-24.0,-38.0,16.0,-0.156818610230997,0.1309327267275581
213,20201013,8191,10421,87,0.0,0.0,-40.0,1.0,-54.0,-23.0,-39.0,16.0,-0.15802203298741635,0.1384658161064345
214,20201014,9265,8662,75,0.0,0.0,-39.0,2.0,-54.0,-23.0,-38.0,16.0,-0.19264771136246375,0.14566327498072398
215,20201015,8477,8841,85,0.0,0.0,-38.0,6.0,-53.0,-22.0,-37.0,17.0,-0.1734134685214805,0.13390869740382802
216,20201016,7542,8580,73,0.0,0.0,-39.0,9.0,-53.0,-22.0,-36.0,17.0,-0.16775665993259675,0.13339306417251726
217,20201017,7184,8893,71,0.0,0.0,-40.0,3.0,-52.0,-18.0,-16.0,10.0,-0.12814866909510236,0.12440070655896804
