,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,8135,2828,29,0.0,0.0,-45.0,5.0,-23.0,-26.0,-27.0,12.0,-0.1914120912714013,0.18722270156334805
202,20201002,9258,4092,20,0.0,0.0,-48.0,3.0,-30.0,-33.0,-46.0,16.0,-0.2676326788542953,0.21131195139019834
203,20201003,7834,4476,22,0.0,0.0,-50.0,1.0,-35.0,-33.0,-23.0,13.0,-0.2597253859528665,0.19891883845359679
204,20201004,8553,4851,23,0.0,0.0,-60.0,-19.0,-35.0,-43.0,-10.0,13.0,-0.36814335523185443,0.2564051071043665
205,20201005,5042,4640,23,0.0,0.0,-42.0,7.0,-22.0,-27.0,-27.0,11.0,-0.2049412805263093,0.17959035022147632
206,20201006,7871,4981,25,0.0,0.0,-42.0,6.0,-21.0,-25.0,-29.0,11.0,-0.19690973440448428,0.19023185421771222
207,20201007,10606,6161,22,0.0,0.0,-42.0,8.0,-19.0,-24.0,-26.0,12.0,-0.19426514082669014,0.19035057817861253
208,20201008,5445,7003,24,0.0,0.0,-44.0,4.0,-20.0,-26.0,-25.0,16.0,-0.21088959520938433,0.1936105020975086
209,20201009,9250,8048,25,0.0,0.0,-44.0,5.0,-27.0,-30.0,-22.0,17.0,-0.2180650366644544,0.19228704209185274
210,20201010,11755,7570,23,0.0,0.0,-47.0,3.0,-30.0,-32.0,-17.0,19.0,-0.2523103564326246,0.2000982016769352
211,20201011,9347,8924,25,0.0,0.0,-58.0,-15.0,-29.0,-39.0,1.0,19.0,-0.3620359195350807,0.2574934836630395
212,20201012,5930,7836,22,0.0,0.0,-42.0,4.0,-20.0,-29.0,-22.0,19.0,-0.22934526104559289,0.19073125352881323
213,20201013,8764,7723,21,0.0,0.0,-40.0,6.0,-19.0,-26.0,-24.0,17.0,-0.20690708355169443,0.19688563409615994
