,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,2041,2545,20,0.0,0.0,-36.0,3.0,-53.0,-18.0,-22.0,10.0,-0.16222609845074631,0.13837495267703998
202,20201002,2019,2332,36,0.0,0.0,-31.0,11.0,-52.0,-20.0,-38.0,13.0,-0.18645111332750186,0.1485865871687297
203,20201003,1811,2101,27,0.0,0.0,-34.0,7.0,-53.0,-19.0,-18.0,9.0,-0.14235049299295868,0.13818113928870052
204,20201004,1720,2120,35,0.0,0.0,-40.0,-5.0,-52.0,-21.0,-13.0,9.0,-0.16773795961148383,0.15618433826833503
205,20201005,1460,2046,29,0.0,0.0,-30.0,9.0,-53.0,-16.0,-22.0,8.0,-0.1288197614128807,0.13006972696744357
206,20201006,1570,2161,25,0.0,0.0,-31.0,9.0,-52.0,-16.0,-22.0,9.0,-0.13075616601849854,0.13373357648077233
207,20201007,1639,2228,30,0.0,0.0,-31.0,12.0,-53.0,-15.0,-18.0,9.0,-0.1494618130870748,0.1357670492438026
208,20201008,1715,2420,29,0.0,0.0,-30.0,11.0,-51.0,-16.0,-18.0,11.0,-0.15198335996376625,0.13499472000182405
209,20201009,1607,2200,27,0.0,0.0,-27.0,13.0,-51.0,-17.0,-15.0,12.0,-0.1479568348711149,0.13442490310675348
210,20201010,1616,2147,25,0.0,0.0,-31.0,9.0,-50.0,-20.0,-18.0,13.0,-0.13816624320071003,0.14064251023319135
211,20201011,1575,1985,25,0.0,0.0,-36.0,0.0,-49.0,-19.0,-4.0,11.0,-0.15353337323528854,0.15273074905662834
212,20201012,1478,1702,21,0.0,0.0,-26.0,14.0,-50.0,-16.0,-17.0,12.0,-0.10926866684994105,0.12698375423433214
213,20201013,1463,1708,26,0.0,0.0,-27.0,13.0,-50.0,-15.0,-18.0,12.0,-0.10680204678800063,0.129624725382566
214,20201014,5515,5729,15,0.0,0.0,-23.0,19.0,-48.0,-11.0,-15.0,11.0,-0.12110339696965293,0.12886662305450508
215,20201015,1308,1559,24,0.0,0.0,-23.0,18.0,-46.0,-10.0,-16.0,12.0,-0.11366331045782564,0.12635246172222214
216,20201016,1352,1556,25,0.0,0.0,-20.0,27.0,-45.0,-7.0,-15.0,13.0,-0.10346006985811264,0.12385126863457245
217,20201017,1222,1434,18,0.0,0.0,-29.0,18.0,-48.0,-15.0,-15.0,14.0,-0.1270515758232142,0.13223825973791883
218,20201018,1030,1427,20,0.0,0.0,-32.0,4.0,-48.0,-15.0,1.0,12.0,-0.15524378551862092,0.14979322698036737
219,20201019,1015,1287,13,0.0,0.0,-24.0,16.0,-47.0,-12.0,-16.0,13.0,-0.10912648509406336,0.12481903352442941
220,20201020,975,1439,25,0.0,0.0,-25.0,17.0,-47.0,-11.0,-17.0,12.0,-0.1122837275259828,0.12831771267359948
221,20201021,1118,1222,17,0.0,0.0,-23.0,20.0,-47.0,-9.0,-15.0,10.0,-0.12421243099805725,0.1278441981497767
222,20201022,1045,1271,14,0.0,0.0,-22.0,18.0,-46.0,-9.0,-18.0,9.0,-0.11846245131074744,0.12729928474616908
223,20201023,953,1325,13,0.0,0.0,-20.0,23.0,-45.0,-6.0,-17.0,8.0,-0.09607754963791129,0.12250196475101727
224,20201024,1004,1268,20,0.0,0.0,-27.0,16.0,-44.0,-10.0,-22.0,8.0,-0.1111289727384121,0.12764585039821533
225,20201025,951,1181,10,0.0,0.0,-31.0,3.0,-44.0,-11.0,-7.0,7.0,-0.1507965921127116,0.13864762894914026
226,20201026,720,1095,5,0.0,0.0,-25.0,9.0,-43.0,-17.0,-38.0,11.0,-0.1706982214016695,0.12985484982585066
227,20201027,514,1010,8,0.0,0.0,-23.0,16.0,-46.0,-10.0,-21.0,8.0,-0.09107882335130524,0.12332956672486128
228,20201028,788,1032,15,0.0,0.0,-22.0,18.0,-48.0,-9.0,-17.0,8.0,-0.11360317096619632,0.12494645737380232
229,20201029,728,1117,16,0.0,0.0,-22.0,16.0,-47.0,-9.0,-18.0,9.0,-0.11971870521009811,0.1260205311522908
230,20201030,691,1074,12,0.0,0.0,-21.0,17.0,-47.0,-11.0,-27.0,12.0,-0.13517159817584842,0.1327438174721896
231,20201031,669,1024,10,0.0,0.0,-26.0,12.0,-47.0,-14.0,-16.0,11.0,-0.12680289734496325,0.13331433996127545
232,20201101,723,1107,7,0.0,0.0,-26.0,10.0,-46.0,-9.0,0.0,10.0,-0.1439775550983001,0.14390479054451755
233,20201102,635,868,7,0.0,0.0,-20.0,19.0,-47.0,-9.0,-17.0,10.0,-0.10681134508752989,0.12259726767588613
234,20201103,667,912,9,0.0,0.0,-19.0,22.0,-46.0,-10.0,-20.0,10.0,-0.12198506254630928,0.12728914105224393
235,20201104,707,884,13,0.0,0.0,-21.0,21.0,-48.0,-9.0,-17.0,11.0,-0.1289317589438543,0.12605978165958548
236,20201105,734,817,5,0.0,0.0,-22.0,17.0,-46.0,-12.0,-17.0,10.0,-0.12372246047355556,0.12617841228357835
237,20201106,778,856,12,0.0,0.0,-21.0,21.0,-46.0,-12.0,-15.0,10.0,-0.1103991925108313,0.12701317701594483
238,20201107,865,792,13,0.0,0.0,-22.0,20.0,-44.0,-12.0,-10.0,10.0,-0.09766636911835018,0.12967366126140675
239,20201108,891,688,11,0.0,0.0,-24.0,15.0,-44.0,-10.0,4.0,9.0,-0.12836649519992901,0.14414882931881115
240,20201109,809,681,6,0.0,0.0,-20.0,21.0,-45.0,-12.0,-17.0,10.0,-0.09302608477525177,0.12319555414701838
241,20201110,900,793,8,0.0,0.0,-19.0,25.0,-43.0,-10.0,-18.0,10.0,-0.08535411313102131,0.12557944861138715
242,20201111,883,691,13,0.0,0.0,-14.0,34.0,-43.0,-4.0,-16.0,9.0,-0.08944619442361361,0.12177343500671416
243,20201112,1046,692,10,0.0,0.0,-11.0,41.0,-39.0,0.0,-21.0,9.0,-0.09997314860632148,0.12158525779868773
244,20201113,1048,833,11,0.0,0.0,-10.0,45.0,-38.0,-1.0,-26.0,11.0,-0.1120863193465556,0.12398022408578346
245,20201114,1012,876,7,0.0,0.0,-29.0,20.0,-42.0,-14.0,-40.0,16.0,-0.2025487657060805,0.13904461275024632
246,20201115,870,722,7,0.0,0.0,-43.0,-21.0,-44.0,-29.0,-33.0,12.0,-0.26911001674879903,0.1689628025187107
247,20201116,597,745,2,0.0,0.0,-28.0,3.0,-38.0,-16.0,-47.0,10.0,-0.10427013302110476,0.12347501203802004
248,20201117,922,848,10,0.0,0.0,-23.0,13.0,-38.0,-8.0,-28.0,8.0,-0.03993434288280007,0.11880704007744246
249,20201118,1209,918,13,0.0,0.0,-21.0,18.0,-40.0,-6.0,-21.0,8.0,-0.07083612081321694,0.1207888667118664
250,20201119,1363,887,14,0.0,0.0,-20.0,19.0,-38.0,-6.0,-20.0,8.0,-0.06764260316267294,0.12032686796255485
251,20201120,1528,917,9,0.0,0.0,-18.0,23.0,-39.0,-5.0,-18.0,9.0,-0.06257318657958315,0.11882065576224649
252,20201121,1700,899,11,0.0,0.0,-22.0,19.0,-39.0,-8.0,-16.0,9.0,-0.04932998970027684,0.12083128050906358
253,20201122,1798,1212,13,0.0,0.0,-26.0,10.0,-39.0,-6.0,-3.0,8.0,-0.0856614728591803,0.13623162117672366
254,20201123,1701,1120,10,0.0,0.0,-21.0,18.0,-40.0,-8.0,-19.0,9.0,-0.057258647850809856,0.11553340452244626
255,20201124,1766,1112,11,0.0,0.0,-22.0,19.0,-40.0,-7.0,-21.0,9.0,-0.04446371266562114,0.1177025356083091
256,20201125,1773,996,14,0.0,0.0,-23.0,18.0,-39.0,-6.0,-21.0,9.0,-0.06650148579394512,0.11692313678210486
257,20201126,1668,1199,12,0.0,0.0,-22.0,15.0,-39.0,-7.0,-21.0,9.0,-0.06412055442298188,0.11721435865548066
258,20201127,1645,1152,15,0.0,0.0,-21.0,20.0,-39.0,-6.0,-18.0,9.0,-0.0675444503563782,0.11759181758268426
259,20201128,1634,1317,13,0.0,0.0,-22.0,19.0,-37.0,-6.0,-15.0,9.0,-0.04837172186132632,0.11948100388542957
260,20201129,1514,1508,13,0.0,0.0,-25.0,9.0,-35.0,-4.0,-4.0,7.0,-0.058524726811155336,0.1310973764340608
261,20201130,1383,1576,10,0.0,0.0,-20.0,15.0,-33.0,-8.0,-34.0,9.0,-0.03797714271824385,0.11666247088817244
262,20201201,1357,1683,10,0.0,0.0,-21.0,18.0,-33.0,-4.0,-22.0,7.0,0.00835489112665845,0.10847738830622944
263,20201202,1439,1838,17,0.0,0.0,-22.0,17.0,-16.0,-6.0,-16.0,8.0,-0.04459085921675218,0.11379750890665391
