,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,16476,16104,394,0.0,0.0,-49.0,-4.0,-57.0,-37.0,-41.0,17.0,-0.2018670223633625,0.15151994579491296
202,20201002,15591,13294,424,0.0,0.0,-48.0,4.0,-54.0,-39.0,-53.0,21.0,-0.23490284428117011,0.16019268927925964
203,20201003,14348,16835,278,0.0,0.0,-53.0,-9.0,-58.0,-34.0,-32.0,16.0,-0.200533952548848,0.15263806469590996
204,20201004,12548,15048,326,0.0,0.0,-52.0,-10.0,-56.0,-30.0,-19.0,11.0,-0.2288286524151821,0.16705820528072735
205,20201005,10244,12982,263,0.0,0.0,-47.0,-3.0,-54.0,-34.0,-40.0,16.0,-0.18747050440790472,0.14484741301074475
206,20201006,12258,17141,370,0.0,0.0,-46.0,-2.0,-54.0,-34.0,-41.0,16.0,-0.18412125189390013,0.14782325704741156
207,20201007,14578,16715,355,0.0,0.0,-47.0,-3.0,-54.0,-33.0,-38.0,16.0,-0.18631561235281413,0.14888660617951724
208,20201008,13395,15575,358,0.0,0.0,-46.0,-1.0,-55.0,-35.0,-39.0,17.0,-0.19317092299535016,0.14749914485562182
209,20201009,12134,17323,302,0.0,0.0,-46.0,1.0,-53.0,-36.0,-37.0,18.0,-0.18957661696689596,0.14618693895465143
210,20201010,11416,26440,308,0.0,0.0,-51.0,-10.0,-57.0,-36.0,-31.0,17.0,-0.1929940758259071,0.15577230035623882
211,20201011,10792,10461,305,0.0,0.0,-50.0,-10.0,-54.0,-30.0,-14.0,12.0,-0.23489845867421422,0.1754369736357862
212,20201012,7089,15656,169,0.0,0.0,-45.0,-4.0,-52.0,-34.0,-39.0,17.0,-0.18663576647854493,0.140462022688116
213,20201013,8522,15356,187,0.0,0.0,-44.0,-1.0,-54.0,-34.0,-38.0,17.0,-0.1700191516485291,0.1460798698355505
214,20201014,10552,19517,158,0.0,0.0,-47.0,-9.0,-56.0,-36.0,-37.0,18.0,-0.19650409743291017,0.1605186087781687
215,20201015,10226,13714,337,0.0,0.0,-46.0,-4.0,-57.0,-36.0,-39.0,18.0,-0.21496189338554375,0.15731328991776308
216,20201016,11447,13885,306,0.0,0.0,-42.0,12.0,-53.0,-31.0,-36.0,18.0,-0.18249231681130806,0.1456818189505677
217,20201017,10259,14238,463,0.0,0.0,-47.0,2.0,-55.0,-29.0,-27.0,16.0,-0.17678755213835415,0.1449700204944419
218,20201018,9060,11204,150,0.0,0.0,-45.0,-4.0,-53.0,-26.0,-10.0,12.0,-0.21827646960191346,0.16056673662299553
219,20201019,5984,15069,125,0.0,0.0,-42.0,2.0,-52.0,-31.0,-36.0,17.0,-0.17114582100652168,0.13940053277756304
220,20201020,8151,7429,213,0.0,0.0,-42.0,2.0,-52.0,-31.0,-36.0,17.0,-0.17657600886760186,0.14349673126051163
221,20201021,8142,23371,180,0.0,0.0,-42.0,-2.0,-52.0,-31.0,-34.0,16.0,-0.17291314498767293,0.14662769805054932
222,20201022,7539,16177,198,0.0,0.0,-40.0,4.0,-51.0,-30.0,-36.0,15.0,-0.17384655846143726,0.14500332688556417
223,20201023,7347,13247,184,0.0,0.0,-40.0,10.0,-49.0,-29.0,-35.0,15.0,-0.14864194743642387,0.1386003605554428
224,20201024,6417,10004,137,0.0,0.0,-43.0,8.0,-49.0,-25.0,-28.0,13.0,-0.14718804625504692,0.13688748529124428
225,20201025,6059,5648,112,0.0,0.0,-44.0,-5.0,-50.0,-23.0,-16.0,10.0,-0.23325723712311064,0.15061147370313357
226,20201026,3645,9905,84,0.0,0.0,-38.0,4.0,-47.0,-29.0,-37.0,14.0,-0.1622324927350019,0.1310890784259716
227,20201027,5363,7836,115,0.0,0.0,-38.0,6.0,-48.0,-28.0,-36.0,14.0,-0.1378413549467913,0.13556545875185516
228,20201028,6738,8430,91,0.0,0.0,-38.0,3.0,-47.0,-27.0,-34.0,13.0,-0.13030461427445472,0.13495550871603434
229,20201029,5902,7883,156,0.0,0.0,-38.0,3.0,-49.0,-29.0,-36.0,14.0,-0.14277510888063966,0.1355046628525916
230,20201030,6190,8241,127,0.0,0.0,-39.0,8.0,-48.0,-32.0,-41.0,17.0,-0.16543626768294975,0.1399106592524011
231,20201031,5548,7303,74,0.0,0.0,-43.0,-1.0,-49.0,-27.0,-24.0,13.0,-0.14794283003640057,0.13421442059433752
232,20201101,5369,3726,113,0.0,0.0,-39.0,1.0,-46.0,-19.0,-9.0,9.0,-0.16014295939618275,0.14644663388814003
233,20201102,4009,10225,104,0.0,0.0,-37.0,5.0,-47.0,-27.0,-34.0,14.0,-0.13026721358318974,0.12850919191431323
234,20201103,4909,6973,120,0.0,0.0,-35.0,9.0,-46.0,-27.0,-35.0,14.0,-0.12304357268347031,0.13126480658534592
235,20201104,5505,8728,300,0.0,0.0,-36.0,7.0,-46.0,-27.0,-33.0,14.0,-0.12530051602404826,0.13211747907520455
236,20201105,5246,11277,256,0.0,0.0,-35.0,9.0,-47.0,-29.0,-34.0,14.0,-0.13490699877559334,0.13097149716434742
237,20201106,6870,11060,161,0.0,0.0,-37.0,12.0,-46.0,-29.0,-33.0,15.0,-0.12946673921729565,0.13049244710317995
238,20201107,3959,6748,150,0.0,0.0,-38.0,9.0,-47.0,-24.0,-22.0,12.0,-0.10938025759625479,0.13077081047550443
239,20201108,5585,8232,125,0.0,0.0,-35.0,10.0,-44.0,-18.0,-5.0,8.0,-0.13897365163075498,0.13981591639890723
