,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,128,181,1,0.0,0.0,-47.0,-25.0,-27.0,-6.0,-30.0,8.0,-0.19511184831609002,0.2342708435587441
202,20201002,286,351,1,0.0,0.0,-45.0,-22.0,-26.0,-7.0,-38.0,9.0,-0.2546544651469959,0.24001616718852967
203,20201003,252,89,2,0.0,0.0,-37.0,-19.0,-24.0,-15.0,-27.0,8.0,-0.18146536335954205,0.22922979327290413
204,20201004,206,124,3,0.0,0.0,-53.0,-30.0,-34.0,-18.0,-30.0,8.0,-0.26369896528250986,0.2759437306787534
205,20201005,250,129,1,0.0,0.0,-41.0,-19.0,-23.0,-7.0,-31.0,7.0,-0.16465139606007997,0.21714715198645282
206,20201006,135,148,3,0.0,0.0,-45.0,-27.0,-27.0,-14.0,-30.0,9.0,-0.24722645290941858,0.2567987235423843
207,20201007,249,122,2,0.0,0.0,-41.0,-18.0,-24.0,-5.0,-27.0,8.0,-0.19747676737187625,0.23131100380489628
208,20201008,190,115,3,0.0,0.0,-41.0,-20.0,-21.0,-4.0,-23.0,9.0,-0.1901293495539244,0.2277547889343559
209,20201009,131,147,3,0.0,0.0,-39.0,-19.0,-9.0,0.0,-21.0,10.0,-0.2219432463476007,0.23043632074302278
210,20201010,282,440,2,0.0,0.0,-35.0,-20.0,-7.0,-13.0,-29.0,12.0,-0.18885527731692134,0.23067778114597903
211,20201011,234,198,3,0.0,0.0,-51.0,-30.0,-15.0,-14.0,-21.0,12.0,-0.2536322473609791,0.2720361848368615
212,20201012,230,203,2,0.0,0.0,-40.0,-18.0,-9.0,-4.0,-24.0,12.0,-0.12724329797947612,0.2123663645241919
213,20201013,237,122,4,0.0,0.0,-39.0,-21.0,-8.0,-6.0,-23.0,10.0,-0.16460174056672155,0.2247770465271655
214,20201014,301,86,6,0.0,0.0,-38.0,-17.0,-12.0,5.0,-24.0,11.0,-0.1771470436488066,0.22441029546949115
215,20201015,284,166,1,0.0,0.0,-58.0,-47.0,-21.0,-24.0,-44.0,16.0,-0.35198312308590884,0.26609018597980105
216,20201016,337,164,5,0.0,0.0,-36.0,-8.0,-8.0,14.0,-20.0,11.0,-0.144611686382141,0.2161632655471648
217,20201017,426,198,2,0.0,0.0,-35.0,-17.0,-10.0,-5.0,-28.0,14.0,-0.18173488522981698,0.22676978899038236
218,20201018,322,298,5,0.0,0.0,-54.0,-34.0,-22.0,-11.0,-23.0,14.0,-0.26497165364168423,0.2843913267308496
219,20201019,315,172,1,0.0,0.0,-43.0,-20.0,-12.0,3.0,-26.0,14.0,-0.1846226484543353,0.23272961619430535
220,20201020,284,146,4,0.0,0.0,-41.0,-19.0,-10.0,6.0,-25.0,14.0,-0.17978723566895932,0.2358883659815799
221,20201021,214,138,3,0.0,0.0,-40.0,-19.0,-8.0,9.0,-28.0,12.0,-0.17718757163156726,0.2404064859510175
222,20201022,345,196,3,0.0,0.0,-43.0,-25.0,-10.0,0.0,-29.0,11.0,-0.21455998483784194,0.25944571986985054
223,20201023,156,169,5,0.0,0.0,-51.0,-34.0,-22.0,-4.0,-31.0,13.0,-0.31972573051137443,0.30131862329705855
224,20201024,245,157,6,0.0,0.0,-46.0,-30.0,-14.0,-19.0,-39.0,15.0,-0.31147510272449624,0.2923817236677435
225,20201025,138,138,1,0.0,0.0,-52.0,-31.0,-15.0,-12.0,-26.0,10.0,-0.30374311003874926,0.28658666348132955
226,20201026,264,200,5,0.0,0.0,-40.0,-18.0,-1.0,7.0,-29.0,9.0,-0.1708923180558542,0.21412697191043895
227,20201027,180,151,6,0.0,0.0,-41.0,-21.0,-3.0,3.0,-27.0,9.0,-0.18025288726707878,0.22503480730752987
228,20201028,205,212,6,0.0,0.0,-38.0,-20.0,-5.0,5.0,-28.0,9.0,-0.15940646590055166,0.22162129820638324
