,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,163,26,2,0.0,0.0,-43.0,-34.0,-41.0,-6.0,-17.0,11.0,-0.20665837572778276,0.19825493608979838
202,20201002,231,225,1,0.0,0.0,-39.0,-33.0,-38.0,-5.0,-40.0,15.0,-0.2795473073195518,0.21702881914486172
203,20201003,423,93,2,0.0,0.0,-36.0,-24.0,-39.0,-7.0,-16.0,12.0,-0.2356390695476603,0.19776427580235453
204,20201004,200,74,0,0.0,0.0,-48.0,-45.0,-40.0,-17.0,-34.0,12.0,-0.2716541398016291,0.25790302542978255
205,20201005,111,98,5,0.0,0.0,-33.0,-27.0,-38.0,-7.0,-17.0,12.0,-0.20682690853075983,0.17920573774606488
206,20201006,270,115,1,0.0,0.0,-34.0,-27.0,-38.0,-5.0,-17.0,11.0,-0.20585789621091916,0.1991369975156767
207,20201007,128,88,0,0.0,0.0,-38.0,-30.0,-35.0,-1.0,-15.0,12.0,-0.22511046647732294,0.19750438820334798
208,20201008,96,138,0,0.0,0.0,-37.0,-31.0,-31.0,-1.0,-13.0,13.0,-0.18400191431016888,0.1848440121380982
209,20201009,127,71,1,0.0,0.0,-35.0,-29.0,-26.0,3.0,-10.0,13.0,-0.21196220276409186,0.18347466317007
210,20201010,156,142,1,0.0,0.0,-34.0,-27.0,-30.0,-3.0,-14.0,16.0,-0.23668749358449245,0.20027377402108748
211,20201011,139,97,1,0.0,0.0,-49.0,-45.0,-31.0,-12.0,-25.0,16.0,-0.29983300197161833,0.26268767585109976
212,20201012,88,131,1,0.0,0.0,-34.0,-32.0,-26.0,3.0,-11.0,15.0,-0.18971378566025493,0.18266415908163067
213,20201013,67,133,1,0.0,0.0,-31.0,-27.0,-29.0,8.0,-10.0,13.0,-0.1746110012974496,0.18241522905858573
214,20201014,153,176,5,0.0,0.0,-33.0,-29.0,-30.0,6.0,-9.0,13.0,-0.20552849163736153,0.18079530222999868
215,20201015,173,64,3,0.0,0.0,-31.0,-29.0,-31.0,8.0,-11.0,13.0,-0.19139646851895994,0.17807188347517536
216,20201016,139,90,2,0.0,0.0,-29.0,-25.0,-29.0,7.0,-8.0,14.0,-0.19660294701270936,0.17659322850302783
217,20201017,101,298,0,0.0,0.0,-31.0,-23.0,-31.0,-3.0,-9.0,15.0,-0.21049613462560487,0.19308275164916902
218,20201018,104,248,0,0.0,0.0,-43.0,-42.0,-30.0,-11.0,-22.0,14.0,-0.272265901107634,0.24372717118873705
219,20201019,28,110,0,0.0,0.0,-31.0,-27.0,-29.0,6.0,-8.0,16.0,-0.16793041345062285,0.17812064732442628
