,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,32,123,0,0.0,0.0,-43.0,-24.0,-56.0,-16.0,-28.0,4.0,-0.17875240636671694,0.2031034124585538
202,20201002,31,15,0,0.0,0.0,-42.0,-19.0,-49.0,-17.0,-51.0,6.0,-0.2204046645479518,0.21474010442888575
203,20201003,54,36,0,0.0,0.0,-39.0,-12.0,-48.0,0.0,-20.0,3.0,-0.18566955465974483,0.20574850657032503
204,20201004,17,19,0,0.0,0.0,-63.0,-38.0,-51.0,-58.0,-42.0,7.0,-0.2605346228237906,0.28083002009649966
205,20201005,0,46,0,0.0,0.0,-40.0,-18.0,-50.0,-3.0,-28.0,3.0,-0.18930769209246032,0.1978386504813134
206,20201006,8,50,0,0.0,0.0,-38.0,-12.0,-52.0,-7.0,-25.0,2.0,-0.1575279838790528,0.1927816264767054
207,20201007,20,8,0,0.0,0.0,-40.0,-18.0,-49.0,-9.0,-25.0,4.0,-0.1659327428668819,0.1915366888533238
208,20201008,2,31,0,0.0,0.0,-42.0,-20.0,-47.0,-11.0,-20.0,7.0,-0.17235553175064666,0.19363878069387147
209,20201009,7,48,0,0.0,0.0,-39.0,-16.0,-45.0,-5.0,-20.0,9.0,-0.17918578865773607,0.18799446364675365
210,20201010,5,10,0,0.0,0.0,-36.0,-10.0,-41.0,6.0,-13.0,8.0,-0.1768358128373341,0.20355013166169342
211,20201011,13,26,0,0.0,0.0,-60.0,-39.0,-43.0,-54.0,-33.0,13.0,-0.24233907493214582,0.2766368925889942
212,20201012,9,36,0,0.0,0.0,-39.0,-20.0,-43.0,2.0,-21.0,8.0,-0.14413258275109686,0.1872522436443111
213,20201013,18,47,0,0.0,0.0,-40.0,-16.0,-45.0,-3.0,-19.0,8.0,-0.13025734396275632,0.18956760511699716
214,20201014,10,15,0,0.0,0.0,-38.0,-14.0,-43.0,-3.0,-21.0,7.0,-0.10638329750293017,0.1809506070874567
215,20201015,8,13,0,0.0,0.0,-36.0,-16.0,-42.0,-2.0,-20.0,8.0,-0.13221070485396544,0.18530608107319865
216,20201016,9,6,0,0.0,0.0,-35.0,-14.0,-38.0,-1.0,-20.0,10.0,-0.14023631296219674,0.18947105458774377
217,20201017,16,10,0,0.0,0.0,-35.0,-8.0,-36.0,5.0,-12.0,8.0,-0.14987216713178747,0.2009850055960321
218,20201018,8,11,0,0.0,0.0,-61.0,-41.0,-41.0,-53.0,-33.0,14.0,-0.24725661470134136,0.285095039837551
