,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,81,74,0,0.0,0.0,-40.0,-43.0,-68.0,-24.0,-34.0,6.0,-0.20076339534167947,0.21397280210061365
202,20201002,74,67,0,0.0,0.0,-36.0,-36.0,-65.0,-28.0,-37.0,5.0,-0.21793338673110554,0.20959251792419215
203,20201003,111,46,0,0.0,0.0,-33.0,-38.0,-65.0,-27.0,-21.0,5.0,-0.16682212999035434,0.19183606801803824
204,20201004,123,51,0,0.0,0.0,-47.0,-35.0,-62.0,-40.0,-33.0,5.0,-0.20580921789423834,0.25515864866201754
205,20201005,42,114,0,0.0,0.0,-34.0,-38.0,-65.0,-30.0,-29.0,4.0,-0.15867366068476046,0.1873944438531036
206,20201006,68,37,0,0.0,0.0,-30.0,-32.0,-65.0,-26.0,-30.0,3.0,-0.15076882920010515,0.19039529551215054
207,20201007,53,36,0,0.0,0.0,-33.0,-35.0,-65.0,-22.0,-18.0,5.0,-0.15022386782402553,0.18786886959652133
208,20201008,21,66,0,0.0,0.0,-31.0,-33.0,-64.0,-17.0,-26.0,7.0,-0.14063657078395614,0.1835552933961478
209,20201009,152,92,0,0.0,0.0,-33.0,-31.0,-64.0,-20.0,-16.0,10.0,-0.14116474869490261,0.17935667169255487
210,20201010,61,33,0,0.0,0.0,-32.0,-35.0,-61.0,-24.0,-15.0,10.0,-0.16329543046915718,0.1871334100529367
211,20201011,70,49,0,0.0,0.0,-45.0,-33.0,-59.0,-31.0,-20.0,10.0,-0.1934419201946356,0.23587322888279635
212,20201012,221,70,1,0.0,0.0,-33.0,-35.0,-64.0,-22.0,-21.0,9.0,-0.14902552022065055,0.17305237989852348
213,20201013,123,18,1,0.0,0.0,-33.0,-31.0,-63.0,-21.0,-24.0,10.0,-0.14097506886169128,0.17422262927540189
214,20201014,53,82,3,0.0,0.0,-31.0,-34.0,-64.0,-21.0,-14.0,9.0,-0.1441161826119535,0.19226943267309773
215,20201015,76,100,0,0.0,0.0,-30.0,-34.0,-64.0,-21.0,-26.0,11.0,-0.15591735456603165,0.19742853536884858
216,20201016,112,91,0,0.0,0.0,-30.0,-32.0,-63.0,-23.0,-17.0,12.0,-0.12592095260428643,0.1891475205852259
217,20201017,94,26,4,0.0,0.0,-29.0,-36.0,-61.0,-23.0,-11.0,12.0,-0.1559492590875906,0.1905700800050564
218,20201018,118,65,0,0.0,0.0,-45.0,-32.0,-58.0,-33.0,-22.0,11.0,-0.21763517733660293,0.2505729591703071
219,20201019,137,66,0,0.0,0.0,-31.0,-37.0,-63.0,-21.0,-20.0,12.0,-0.12188489529450452,0.19273569079245678
220,20201020,67,60,0,0.0,0.0,-28.0,-30.0,-62.0,-19.0,-23.0,12.0,-0.17126132684364753,0.19094092076348312
221,20201021,119,93,0,0.0,0.0,-26.0,-31.0,-62.0,-18.0,-15.0,10.0,-0.1478969792274483,0.1942685115432072
222,20201022,157,39,0,0.0,0.0,-26.0,-30.0,-59.0,-20.0,-29.0,7.0,-0.13121097820700367,0.1958561489757539
223,20201023,140,101,0,0.0,0.0,-33.0,-34.0,-60.0,-22.0,-24.0,9.0,-0.21147809721887623,0.22053207486436055
224,20201024,79,97,3,0.0,0.0,-28.0,-37.0,-58.0,-19.0,-23.0,9.0,-0.23579014963162315,0.22493956305917204
225,20201025,111,55,1,0.0,0.0,-32.0,-26.0,-53.0,-2.0,-25.0,6.0,-0.17894603316353402,0.24264003081486257
226,20201026,37,67,2,0.0,0.0,-31.0,-40.0,-57.0,-25.0,-30.0,7.0,-0.17210728166011866,0.16973781848360464
227,20201027,63,35,0,0.0,0.0,-27.0,-35.0,-59.0,-18.0,-25.0,6.0,-0.1542879492086058,0.17432400311079885
228,20201028,61,114,1,0.0,0.0,-28.0,-39.0,-55.0,-22.0,-16.0,7.0,-0.11626618723784696,0.18572455176924396
229,20201029,70,150,1,0.0,0.0,-27.0,-37.0,-58.0,-20.0,-27.0,8.0,-0.1148470412693818,0.18825481280703796
230,20201030,51,210,4,0.0,0.0,-29.0,-37.0,-57.0,-19.0,-26.0,10.0,-0.17502441728856688,0.19974335635593182
231,20201031,102,146,0,0.0,0.0,-31.0,-41.0,-54.0,-24.0,-12.0,10.0,-0.2018625945949412,0.19705292530510288
232,20201101,28,79,0,0.0,0.0,-45.0,-37.0,-47.0,-31.0,-26.0,10.0,-0.241066726094894,0.26793608526666673
233,20201102,21,152,3,0.0,0.0,-29.0,-36.0,-55.0,-21.0,-23.0,9.0,-0.1502795682621572,0.17914401379157463
234,20201103,55,180,0,0.0,0.0,-35.0,-37.0,-53.0,-23.0,-29.0,8.0,-0.15615223390349378,0.18331968621786032
235,20201104,56,148,2,0.0,0.0,-26.0,-35.0,-52.0,-16.0,-15.0,6.0,-0.06410527384831283,0.18277544135145707
236,20201105,57,144,1,0.0,0.0,-26.0,-34.0,-51.0,-20.0,-28.0,6.0,-0.1157940574490167,0.17646826920135095
237,20201106,63,117,0,0.0,0.0,-28.0,-32.0,-52.0,-22.0,-18.0,7.0,-0.12730463693148458,0.17519236656129403
238,20201107,128,54,0,0.0,0.0,-24.0,-35.0,-46.0,-24.0,-13.0,7.0,-0.11527152414487382,0.19055276727359
239,20201108,19,101,1,0.0,0.0,-41.0,-37.0,-42.0,-33.0,-26.0,7.0,-0.1383623156947863,0.22378680967242262
240,20201109,29,73,0,0.0,0.0,-26.0,-33.0,-46.0,-21.0,-22.0,6.0,-0.08212357762020223,0.16643081370840018
241,20201110,33,82,4,0.0,0.0,-26.0,-30.0,-50.0,-12.0,-26.0,6.0,-0.07030451001712038,0.17636342840078742
