,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,3615,4380,17,0.0,0.0,-48.0,-19.0,-39.0,-34.0,-28.0,14.0,-0.2692815592347665,0.19408708103603026
202,20201002,3600,4048,16,0.0,0.0,-41.0,-5.0,-37.0,-31.0,-42.0,15.0,-0.24686324946446894,0.18664266347380198
203,20201003,3053,4066,17,0.0,0.0,-48.0,-18.0,-38.0,-34.0,-24.0,14.0,-0.2593403967926216,0.1891753549455049
204,20201004,3326,4108,15,0.0,0.0,-47.0,-13.0,-38.0,-33.0,-12.0,13.0,-0.2393791918639199,0.19392447013330896
205,20201005,2617,4098,17,0.0,0.0,-38.0,-5.0,-34.0,-30.0,-28.0,12.0,-0.20039720738216013,0.16775907790039113
206,20201006,2673,3817,16,0.0,0.0,-39.0,-8.0,-31.0,-28.0,-27.0,11.0,-0.18463065820761687,0.1704334402992332
207,20201007,2995,3455,18,0.0,0.0,-34.0,6.0,-31.0,-20.0,-20.0,7.0,-0.19248032827842082,0.15946687155886977
208,20201008,3144,3312,16,0.0,0.0,-37.0,-3.0,-30.0,-26.0,-20.0,12.0,-0.19795010902311516,0.16478466627966717
209,20201009,2697,3404,17,0.0,0.0,-35.0,-1.0,-30.0,-27.0,-18.0,13.0,-0.17318332999199648,0.1572556377198022
210,20201010,2854,3885,15,0.0,0.0,-41.0,-9.0,-28.0,-30.0,-19.0,16.0,-0.2198386336984289,0.1761283048954003
211,20201011,2546,3342,16,0.0,0.0,-38.0,-2.0,-26.0,-26.0,0.0,13.0,-0.17778904701833873,0.17158992422348404
212,20201012,2423,2577,18,0.0,0.0,-35.0,-3.0,-26.0,-28.0,-21.0,15.0,-0.1696446740796934,0.1587833009374946
213,20201013,2275,2796,17,0.0,0.0,-41.0,-14.0,-29.0,-31.0,-23.0,16.0,-0.20795640078154642,0.18317249696992569
214,20201014,2604,2775,15,0.0,0.0,-33.0,3.0,-29.0,-20.0,-16.0,12.0,-0.21111317354310208,0.1691834776354856
215,20201015,2470,2772,17,0.0,0.0,-35.0,-3.0,-29.0,-23.0,-18.0,15.0,-0.1969949785303922,0.1675876419048474
216,20201016,2138,2850,15,0.0,0.0,-30.0,7.0,-28.0,-19.0,-15.0,15.0,-0.14870358203933662,0.1535340921150693
217,20201017,2196,2842,17,0.0,0.0,-37.0,-3.0,-26.0,-23.0,-12.0,16.0,-0.1823815955310948,0.16016089212430354
218,20201018,2019,2610,14,0.0,0.0,-34.0,0.0,-27.0,-21.0,4.0,14.0,-0.15653580964700758,0.16279104842453526
219,20201019,1982,2738,17,0.0,0.0,-29.0,4.0,-23.0,-20.0,-19.0,15.0,-0.13925714800642622,0.14750784813620588
220,20201020,1904,2622,16,0.0,0.0,-30.0,1.0,-23.0,-19.0,-19.0,13.0,-0.13559199231490146,0.15173363533205073
221,20201021,1931,2716,13,0.0,0.0,-25.0,12.0,-26.0,-10.0,-15.0,8.0,-0.1445418267682795,0.14785745811178663
222,20201022,1913,2128,15,0.0,0.0,-29.0,1.0,-28.0,-18.0,-22.0,10.0,-0.1687154022514488,0.16375764321517552
223,20201023,1793,2377,18,0.0,0.0,-22.0,16.0,-25.0,-12.0,-28.0,9.0,-0.1162801172941447,0.14405021383126188
224,20201024,1695,2613,15,0.0,0.0,-29.0,7.0,-19.0,-15.0,-29.0,10.0,-0.16933279305548943,0.1504494852082771
