,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,480,431,4,0.0,0.0,-39.0,-1.0,-55.0,-21.0,-24.0,14.0,-0.16160547269331316,0.13486490293350734
202,20201002,510,443,7,0.0,0.0,-42.0,-5.0,-56.0,-27.0,-47.0,20.0,-0.22470254134142728,0.15065025720293174
203,20201003,218,396,2,0.0,0.0,-47.0,-12.0,-62.0,-30.0,-20.0,13.0,-0.2343987912292517,0.13852431353982592
204,20201004,337,419,5,0.0,0.0,-48.0,-24.0,-58.0,-32.0,-14.0,10.0,-0.21729296287008512,0.1562774704506398
205,20201005,188,458,4,0.0,0.0,-38.0,-8.0,-56.0,-24.0,-23.0,13.0,-0.1763564794473328,0.13238172688364852
206,20201006,405,393,3,0.0,0.0,-39.0,-15.0,-53.0,-20.0,-25.0,13.0,-0.1822181785617536,0.1384834701470318
207,20201007,479,316,5,0.0,0.0,-38.0,-3.0,-54.0,-18.0,-22.0,13.0,-0.20108310416521644,0.13106105232037854
208,20201008,378,326,5,0.0,0.0,-37.0,-5.0,-56.0,-16.0,-20.0,16.0,-0.16602371020701534,0.13172028716115627
209,20201009,365,287,2,0.0,0.0,-41.0,-5.0,-55.0,-24.0,-17.0,17.0,-0.19895675083261552,0.13787521551554227
210,20201010,337,411,1,0.0,0.0,-44.0,-7.0,-59.0,-28.0,-13.0,15.0,-0.2050365620672852,0.13168311292120366
211,20201011,308,337,4,0.0,0.0,-45.0,-20.0,-56.0,-31.0,-8.0,13.0,-0.2181225773634246,0.1463819207482511
212,20201012,188,264,2,0.0,0.0,-37.0,-2.0,-48.0,-27.0,-18.0,17.0,-0.16653749941920293,0.12976606652369693
213,20201013,267,310,2,0.0,0.0,-36.0,-10.0,-51.0,-22.0,-20.0,16.0,-0.16882705220967065,0.13224705269611442
214,20201014,241,287,1,0.0,0.0,-33.0,1.0,-47.0,-19.0,-18.0,16.0,-0.18949440255902952,0.13019206899617303
215,20201015,241,213,2,0.0,0.0,-35.0,-2.0,-52.0,-18.0,-18.0,18.0,-0.1566120662704107,0.12926955222854133
216,20201016,280,306,1,0.0,0.0,-38.0,-1.0,-51.0,-22.0,-17.0,19.0,-0.16053268679649124,0.13213986460090227
217,20201017,212,313,3,0.0,0.0,-41.0,-2.0,-57.0,-26.0,-9.0,15.0,-0.18194707509768712,0.12466867860075297
218,20201018,163,306,0,0.0,0.0,-43.0,-21.0,-55.0,-31.0,-11.0,13.0,-0.17377422089745514,0.15117682144243985
219,20201019,106,230,1,0.0,0.0,-36.0,-5.0,-50.0,-25.0,-18.0,17.0,-0.15409699406287033,0.1267663568467375
220,20201020,205,254,2,0.0,0.0,-35.0,-10.0,-49.0,-20.0,-20.0,16.0,-0.171308459046889,0.1321220500080934
221,20201021,170,242,3,0.0,0.0,-31.0,-2.0,-47.0,-20.0,-18.0,15.0,-0.18644779750018242,0.1303899011596651
222,20201022,210,195,2,0.0,0.0,-33.0,-9.0,-53.0,-19.0,-20.0,15.0,-0.15266496965178178,0.1310289470254385
223,20201023,154,216,2,0.0,0.0,-33.0,1.0,-53.0,-18.0,-17.0,14.0,-0.15543131038716726,0.13411651538546052
224,20201024,126,187,2,0.0,0.0,-37.0,5.0,-57.0,-22.0,-11.0,12.0,-0.20258755427831457,0.12670574434697865
225,20201025,81,187,2,0.0,0.0,-43.0,-20.0,-59.0,-28.0,3.0,12.0,-0.2546938822739064,0.1453988343046832
226,20201026,143,189,0,0.0,0.0,-26.0,-3.0,-33.0,-16.0,-30.0,14.0,-0.12077329380279067,0.1181544072221798
227,20201027,146,163,0,0.0,0.0,-29.0,-9.0,-48.0,-17.0,-21.0,12.0,-0.11584211723797246,0.12109664965231852
228,20201028,101,154,2,0.0,0.0,-26.0,0.0,-42.0,-13.0,-20.0,11.0,-0.12878139033167912,0.11235121882671449
229,20201029,178,142,2,0.0,0.0,-28.0,-5.0,-42.0,-7.0,-23.0,11.0,-0.05062122936912441,0.11339153879766205
230,20201030,147,128,0,0.0,0.0,-28.0,-2.0,-45.0,-14.0,-32.0,14.0,-0.10327842446744893,0.12312344777900693
231,20201031,105,147,0,0.0,0.0,-35.0,-9.0,-51.0,-25.0,-10.0,10.0,-0.15535262740842065,0.1132478851271505
