,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,1265,2271,45,0.0,0.0,-33.0,2.0,-50.0,-29.0,-25.0,6.0,-0.13218236671097014,0.15726504656941337
202,20201002,1062,1840,50,0.0,0.0,-30.0,9.0,-50.0,-33.0,-43.0,10.0,-0.2018526375941097,0.1728227621739105
203,20201003,1106,1691,61,0.0,0.0,-33.0,5.0,-51.0,-31.0,-20.0,6.0,-0.15704275376781196,0.15887198105615993
204,20201004,838,1509,41,0.0,0.0,-42.0,-11.0,-50.0,-39.0,-15.0,6.0,-0.23030459916023616,0.18968191388249908
205,20201005,1029,1671,38,0.0,0.0,-24.0,17.0,-44.0,-24.0,-24.0,4.0,-0.14484189913764733,0.14994677829608993
206,20201006,830,1707,38,0.0,0.0,-27.0,9.0,-46.0,-28.0,-27.0,4.0,-0.14020694117203145,0.15458674733667288
207,20201007,852,1230,33,0.0,0.0,-28.0,6.0,-49.0,-29.0,-23.0,6.0,-0.12261872337049354,0.1529067396554481
208,20201008,848,1615,29,0.0,0.0,-27.0,7.0,-49.0,-32.0,-22.0,7.0,-0.13650440346057824,0.15431413096660826
209,20201009,743,1333,32,0.0,0.0,-27.0,9.0,-48.0,-31.0,-20.0,9.0,-0.14027716664904116,0.15309894351213496
210,20201010,858,1234,25,0.0,0.0,-33.0,1.0,-50.0,-34.0,-20.0,10.0,-0.1724316776538728,0.16640334395139084
211,20201011,656,1098,35,0.0,0.0,-36.0,-2.0,-47.0,-36.0,-6.0,8.0,-0.2006327525590123,0.18123208025150617
212,20201012,562,1552,27,0.0,0.0,-20.0,22.0,-43.0,-25.0,-20.0,6.0,-0.13012015687627487,0.14657827272544222
213,20201013,676,688,34,0.0,0.0,-23.0,13.0,-45.0,-28.0,-23.0,7.0,-0.12666782779782387,0.15272533438183958
214,20201014,549,970,31,0.0,0.0,-22.0,12.0,-46.0,-27.0,-20.0,8.0,-0.11277113967913678,0.14997530554865102
215,20201015,470,1111,29,0.0,0.0,-22.0,13.0,-46.0,-28.0,-20.0,8.0,-0.11073444327279465,0.14911079305481645
216,20201016,507,979,26,0.0,0.0,-21.0,21.0,-45.0,-27.0,-23.0,10.0,-0.11620610744340731,0.149175766961901
217,20201017,417,760,19,0.0,0.0,-29.0,13.0,-47.0,-29.0,-13.0,9.0,-0.11888409154254787,0.15292884539428545
218,20201018,476,958,13,0.0,0.0,-33.0,2.0,-45.0,-32.0,-4.0,8.0,-0.18238258924009246,0.17558550234644874
219,20201019,473,884,17,0.0,0.0,-19.0,22.0,-40.0,-23.0,-19.0,7.0,-0.12110770649315265,0.14298121247818316
220,20201020,487,891,8,0.0,0.0,-22.0,14.0,-42.0,-26.0,-22.0,7.0,-0.1225078483599394,0.14653110204424877
221,20201021,498,562,23,0.0,0.0,-22.0,11.0,-45.0,-27.0,-20.0,7.0,-0.10615513352380164,0.14871258925870495
222,20201022,605,935,12,0.0,0.0,-21.0,13.0,-45.0,-27.0,-21.0,6.0,-0.10959121604874456,0.148229713879961
223,20201023,464,580,23,0.0,0.0,-22.0,16.0,-45.0,-27.0,-20.0,6.0,-0.1168322469247436,0.1463885333879301
224,20201024,483,521,12,0.0,0.0,-26.0,11.0,-45.0,-28.0,-17.0,6.0,-0.1276872778650405,0.1515281007459397
225,20201025,415,465,10,0.0,0.0,-27.0,6.0,-42.0,-28.0,-10.0,5.0,-0.17732145806113203,0.16673407308940197
226,20201026,336,326,8,0.0,0.0,-16.0,24.0,-40.0,-23.0,-20.0,3.0,-0.11918279755059016,0.1416174805410157
227,20201027,346,463,13,0.0,0.0,-19.0,16.0,-42.0,-25.0,-23.0,3.0,-0.10679601703994672,0.1463011198706598
228,20201028,526,356,20,0.0,0.0,-21.0,10.0,-46.0,-26.0,-20.0,5.0,-0.0995156211360585,0.14603321015939946
229,20201029,464,427,10,0.0,0.0,-21.0,8.0,-48.0,-28.0,-21.0,6.0,-0.1079579943143776,0.14724767717603823
230,20201030,431,577,19,0.0,0.0,-21.0,12.0,-46.0,-27.0,-21.0,6.0,-0.09908523512591805,0.14518049094051688
231,20201031,500,328,16,0.0,0.0,-26.0,8.0,-47.0,-30.0,-18.0,6.0,-0.12440037685615639,0.15120339862690238
232,20201101,317,368,11,0.0,0.0,-28.0,6.0,-44.0,-29.0,-5.0,5.0,-0.16162247304439342,0.16842218569592704
233,20201102,396,395,13,0.0,0.0,-14.0,25.0,-42.0,-22.0,-20.0,4.0,-0.11090829604289004,0.1368741647443018
234,20201103,415,354,18,0.0,0.0,-11.0,27.0,-42.0,-21.0,-22.0,4.0,-0.09377773196288663,0.13587134844953336
235,20201104,527,268,14,0.0,0.0,-22.0,7.0,-48.0,-31.0,-24.0,8.0,-0.13928179199576313,0.14988730021632848
236,20201105,521,349,22,0.0,0.0,-28.0,2.0,-50.0,-40.0,-22.0,8.0,-0.1966754130529721,0.15575069934306204
237,20201106,647,372,14,0.0,0.0,-22.0,12.0,-46.0,-29.0,-19.0,6.0,-0.0924923198429102,0.14310287089176896
238,20201107,477,517,15,0.0,0.0,-24.0,14.0,-46.0,-29.0,-11.0,5.0,-0.09489608244880073,0.14607870298265904
239,20201108,487,396,8,0.0,0.0,-29.0,6.0,-43.0,-33.0,-3.0,6.0,-0.1669829484336281,0.17207514200638074
240,20201109,554,510,20,0.0,0.0,-17.0,21.0,-41.0,-26.0,-19.0,4.0,-0.10262925831138604,0.140750487429854
241,20201110,486,362,20,0.0,0.0,-17.0,18.0,-41.0,-27.0,-22.0,4.0,-0.08032367096791114,0.14263736666037788
242,20201111,699,460,31,0.0,0.0,-16.0,19.0,-42.0,-25.0,-19.0,5.0,-0.057852209364982546,0.14098883063792775
243,20201112,685,469,23,0.0,0.0,-10.0,28.0,-40.0,-24.0,-20.0,4.0,-0.05044700329526506,0.13525585742390644
244,20201113,736,388,16,0.0,0.0,-4.0,45.0,-37.0,-16.0,-23.0,5.0,-0.0346954966442442,0.12937308513763549
245,20201114,0,0,0,0.0,0.0,-20.0,22.0,-41.0,-28.0,-46.0,13.0,-0.1694178382540087,0.1432081815365326
246,20201115,1053,1025,30,0.0,0.0,-40.0,-16.0,-49.0,-40.0,-24.0,9.0,-0.26937375375715206,0.20039195529471687
247,20201116,424,570,22,0.0,0.0,-15.0,20.0,-38.0,-24.0,-30.0,3.0,-0.13172062920459326,0.1471751937739372
248,20201117,515,265,30,0.0,0.0,-18.0,15.0,-41.0,-24.0,-24.0,3.0,-0.0773661733869487,0.1399603986531292
