,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,2193,1953,14,0.0,0.0,-36.0,1.0,-52.0,-18.0,-23.0,8.0,-0.14420459931259988,0.1318627423445118
202,20201002,2211,2060,16,0.0,0.0,-34.0,9.0,-50.0,-20.0,-35.0,11.0,-0.17795951223235038,0.13991212455989338
203,20201003,2150,2003,14,0.0,0.0,-35.0,4.0,-51.0,-20.0,-22.0,9.0,-0.16982639140218472,0.13607669233289738
204,20201004,2184,2090,15,0.0,0.0,-38.0,-3.0,-52.0,-22.0,-18.0,8.0,-0.19827512222109459,0.1504810748897163
205,20201005,2165,2090,14,0.0,0.0,-32.0,6.0,-50.0,-16.0,-23.0,7.0,-0.15278327283494444,0.12633995376451837
206,20201006,2121,2027,15,0.0,0.0,-33.0,5.0,-49.0,-18.0,-24.0,7.0,-0.16165892043038121,0.1330064494510648
207,20201007,2151,2078,16,0.0,0.0,-30.0,11.0,-50.0,-15.0,-18.0,8.0,-0.14261465292534675,0.1302107458298429
208,20201008,2138,2092,15,0.0,0.0,-31.0,7.0,-51.0,-17.0,-18.0,10.0,-0.14717899567338052,0.13176239452068028
209,20201009,2180,2148,16,0.0,0.0,-31.0,10.0,-50.0,-18.0,-16.0,10.0,-0.1408218190029628,0.13051900048734882
210,20201010,2123,2152,15,0.0,0.0,-33.0,5.0,-50.0,-20.0,-19.0,12.0,-0.1624587158996783,0.13783378690560077
211,20201011,2144,2072,14,0.0,0.0,-35.0,1.0,-51.0,-21.0,-12.0,10.0,-0.18374721640903352,0.14940474820177155
212,20201012,2132,1858,15,0.0,0.0,-29.0,10.0,-48.0,-15.0,-17.0,10.0,-0.13912502768239632,0.12680879731933203
213,20201013,2035,1768,14,0.0,0.0,-28.0,11.0,-47.0,-14.0,-17.0,10.0,-0.13278068174858598,0.13220062871878466
214,20201014,2021,2219,15,0.0,0.0,-25.0,16.0,-48.0,-13.0,-14.0,10.0,-0.12825362371792662,0.12989577665731455
215,20201015,2039,2149,14,0.0,0.0,-27.0,14.0,-48.0,-12.0,-16.0,11.0,-0.12510970617535744,0.12867112144949416
216,20201016,2010,2201,15,0.0,0.0,-26.0,22.0,-46.0,-10.0,-17.0,11.0,-0.11166249347494239,0.12577996040347358
217,20201017,1992,2106,12,0.0,0.0,-31.0,13.0,-50.0,-16.0,-19.0,13.0,-0.15438352571948505,0.1376790815256663
218,20201018,1985,2088,13,0.0,0.0,-32.0,5.0,-49.0,-16.0,-9.0,11.0,-0.1682862045060196,0.1475484550565318
219,20201019,1960,2194,12,0.0,0.0,-27.0,14.0,-46.0,-12.0,-17.0,11.0,-0.1356380325913193,0.12522628346668213
220,20201020,1897,2522,14,0.0,0.0,-27.0,13.0,-46.0,-12.0,-17.0,11.0,-0.1394421049609052,0.130487596633312
221,20201021,1810,2865,14,0.0,0.0,-23.0,17.0,-46.0,-11.0,-15.0,10.0,-0.12238140242147313,0.1291423267732567
222,20201022,1822,2654,12,0.0,0.0,-25.0,14.0,-47.0,-11.0,-17.0,8.0,-0.11761042345458585,0.1297497716404533
223,20201023,1815,2367,14,0.0,0.0,-25.0,18.0,-46.0,-10.0,-18.0,8.0,-0.09737796011556032,0.12638707345610228
224,20201024,1852,2515,12,0.0,0.0,-28.0,12.0,-46.0,-13.0,-24.0,9.0,-0.12676639001426104,0.13303205092830925
225,20201025,1821,2240,13,0.0,0.0,-29.0,7.0,-47.0,-14.0,-14.0,7.0,-0.1486206875643277,0.1376264276982712
226,20201026,1805,2226,14,0.0,0.0,-23.0,14.0,-45.0,-11.0,-20.0,7.0,-0.12494545042434739,0.1218570630209993
227,20201027,1796,2066,14,0.0,0.0,-24.0,14.0,-45.0,-10.0,-18.0,8.0,-0.11407032611874139,0.1277247424532816
228,20201028,1785,2016,10,0.0,0.0,-22.0,16.0,-47.0,-10.0,-16.0,8.0,-0.11424108077416847,0.12758849629510882
229,20201029,1790,1933,11,0.0,0.0,-25.0,11.0,-48.0,-12.0,-20.0,10.0,-0.11554617839441038,0.12815667764095043
230,20201030,1794,2087,10,0.0,0.0,-26.0,13.0,-48.0,-16.0,-25.0,11.0,-0.12433104277724086,0.13367063638781437
231,20201031,1780,1920,9,0.0,0.0,-30.0,3.0,-49.0,-20.0,-18.0,11.0,-0.11915372791140373,0.13125545480898418
