,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,38,72,3,0.0,0.0,-42.0,-43.0,-51.0,-47.0,-18.0,12.0,-0.25430578177690943,0.26078889935257965
202,20201002,42,34,1,0.0,0.0,-36.0,-39.0,-52.0,-53.0,-44.0,16.0,-0.3194478071070479,0.28467031830547174
203,20201003,39,39,2,0.0,0.0,-38.0,-34.0,-49.0,-37.0,-16.0,12.0,-0.28685373512267903,0.2826597594242823
204,20201004,43,32,2,0.0,0.0,-42.0,-41.0,-49.0,-46.0,-24.0,14.0,-0.33362898338784464,0.2997085639485274
205,20201005,17,67,1,0.0,0.0,-37.0,-44.0,-52.0,-49.0,-34.0,14.0,-0.253798258810928,0.26900453996793194
206,20201006,25,40,3,0.0,0.0,-29.0,-33.0,-48.0,-27.0,-18.0,10.0,-0.18432040255365006,0.23646209279091746
207,20201007,99,28,2,0.0,0.0,-30.0,-33.0,-48.0,-24.0,-14.0,11.0,-0.20429343633972458,0.23678064154070658
208,20201008,12,35,1,0.0,0.0,-30.0,-34.0,-44.0,-25.0,-13.0,12.0,-0.1666760680307316,0.23947223717893074
209,20201009,33,71,2,0.0,0.0,-26.0,-29.0,-45.0,-27.0,-11.0,12.0,-0.19078150836012492,0.22912142152423037
210,20201010,42,95,1,0.0,0.0,-32.0,-30.0,-43.0,-35.0,-16.0,14.0,-0.23426899799697665,0.2656041492719182
211,20201011,39,104,1,0.0,0.0,-32.0,-34.0,-41.0,-41.0,-17.0,14.0,-0.2478308110688742,0.26460720492255685
212,20201012,7,5,1,0.0,0.0,-22.0,-29.0,-45.0,-20.0,-14.0,12.0,-0.12138938898779353,0.22296985980474207
213,20201013,50,89,2,0.0,0.0,-25.0,-31.0,-46.0,-24.0,-12.0,11.0,-0.16932182373394347,0.2260051397448643
214,20201014,42,61,0,0.0,0.0,-23.0,-26.0,-44.0,-22.0,-10.0,11.0,-0.13601561585189093,0.21324663726278584
215,20201015,41,54,0,0.0,0.0,-20.0,-26.0,-40.0,-22.0,-10.0,12.0,-0.1249890383031133,0.21936424151253653
216,20201016,31,48,0,0.0,0.0,-18.0,-17.0,-43.0,-25.0,-9.0,12.0,-0.15859013945825015,0.21646472443279063
217,20201017,36,56,0,0.0,0.0,-27.0,-22.0,-42.0,-31.0,-6.0,10.0,-0.20154523706264732,0.25677894938721896
218,20201018,30,32,1,0.0,0.0,-27.0,-29.0,-41.0,-41.0,-10.0,12.0,-0.21679209354430318,0.2560530570591424
219,20201019,4,11,2,0.0,0.0,-18.0,-23.0,-44.0,-16.0,-10.0,12.0,-0.10739983929954779,0.21232809650543666
220,20201020,42,50,1,0.0,0.0,-20.0,-26.0,-45.0,-24.0,-10.0,10.0,-0.12006197539376688,0.21670594540901475
221,20201021,34,35,0,0.0,0.0,-15.0,-21.0,-40.0,-14.0,-9.0,9.0,-0.10935483282206829,0.2236702161070594
