,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,5688,5516,66,0.0,0.0,-38.0,8.0,-39.0,-17.0,-29.0,13.0,-0.12887151618770723,0.1329534517790961
202,20201002,5595,5603,67,0.0,0.0,-35.0,18.0,-35.0,-21.0,-52.0,17.0,-0.2093183267818509,0.1464278574339096
203,20201003,5622,5596,65,0.0,0.0,-40.0,5.0,-40.0,-17.0,-19.0,9.0,-0.17050435465590197,0.13177130288426286
204,20201004,5489,5558,66,0.0,0.0,-48.0,-11.0,-37.0,-19.0,-3.0,7.0,-0.19849115288349356,0.1523778793391772
205,20201005,5395,5572,62,0.0,0.0,-36.0,8.0,-38.0,-20.0,-28.0,12.0,-0.13860011912534725,0.12992458282717945
206,20201006,5017,5548,71,0.0,0.0,-35.0,7.0,-36.0,-18.0,-31.0,12.0,-0.15302232389219628,0.13665142167224348
207,20201007,5447,5524,67,0.0,0.0,-35.0,9.0,-36.0,-16.0,-28.0,12.0,-0.17221284996263878,0.13384052924229867
208,20201008,5088,5718,68,0.0,0.0,-37.0,9.0,-37.0,-20.0,-27.0,15.0,-0.1542717513433332,0.13625188351176756
209,20201009,5185,5357,68,0.0,0.0,-36.0,11.0,-37.0,-22.0,-26.0,15.0,-0.19029843131325014,0.13837649371831384
210,20201010,5242,5222,67,0.0,0.0,-38.0,6.0,-38.0,-20.0,-16.0,12.0,-0.16703888280557078,0.1364901137509056
211,20201011,5015,5005,65,0.0,0.0,-45.0,-6.0,-33.0,-20.0,3.0,10.0,-0.19782382158212194,0.15195969348537286
212,20201012,4879,5165,62,0.0,0.0,-34.0,8.0,-35.0,-22.0,-25.0,15.0,-0.13826250403474682,0.13060822296052935
213,20201013,4666,5117,57,0.0,0.0,-32.0,11.0,-32.0,-19.0,-27.0,15.0,-0.14546669937667564,0.13675990879499825
214,20201014,4462,5083,52,0.0,0.0,-32.0,13.0,-33.0,-16.0,-25.0,14.0,-0.16700293046699222,0.13287001332542725
215,20201015,4410,5055,49,0.0,0.0,-34.0,13.0,-35.0,-18.0,-25.0,16.0,-0.13820429138524482,0.13346071093376954
216,20201016,4389,5245,60,0.0,0.0,-33.0,16.0,-35.0,-17.0,-25.0,16.0,-0.15238743848208303,0.13257457149684468
217,20201017,4295,5005,54,0.0,0.0,-35.0,11.0,-38.0,-15.0,-11.0,12.0,-0.14392637199604755,0.13059329259388777
218,20201018,3914,4929,56,0.0,0.0,-43.0,-10.0,-31.0,-16.0,2.0,9.0,-0.13484733042884786,0.14277018150061063
219,20201019,3536,4515,52,0.0,0.0,-32.0,10.0,-31.0,-19.0,-25.0,15.0,-0.1230666041832907,0.12763261976549828
220,20201020,3094,4403,47,0.0,0.0,-33.0,7.0,-33.0,-19.0,-27.0,15.0,-0.15450146886143476,0.1381202966446436
221,20201021,3086,4301,39,0.0,0.0,-31.0,12.0,-34.0,-15.0,-25.0,13.0,-0.16486453071664903,0.13442331319778514
222,20201022,3077,4314,45,0.0,0.0,-34.0,6.0,-38.0,-17.0,-26.0,14.0,-0.13066177118087882,0.1360385977365943
223,20201023,3057,4262,33,0.0,0.0,-29.0,20.0,-36.0,-15.0,-25.0,12.0,-0.14440585749323295,0.1328486701372184
224,20201024,2886,4024,35,0.0,0.0,-32.0,17.0,-38.0,-12.0,-13.0,9.0,-0.1470804749789423,0.13072433831981717
225,20201025,2869,4019,31,0.0,0.0,-42.0,-4.0,-35.0,-14.0,19.0,8.0,-0.21205228551722777,0.14432158214648616
226,20201026,2708,4014,32,0.0,0.0,-28.0,10.0,-26.0,-18.0,-45.0,15.0,-0.1335663221740382,0.12892879670528365
227,20201027,2522,4029,27,0.0,0.0,-28.0,13.0,-31.0,-13.0,-29.0,11.0,-0.10976928599597241,0.12732288571920425
228,20201028,2516,3859,35,0.0,0.0,-28.0,12.0,-31.0,-10.0,-27.0,10.0,-0.11171592850488787,0.12333227452827927
229,20201029,2652,4087,35,0.0,0.0,-30.0,5.0,-33.0,-12.0,-31.0,12.0,-0.03834691208272885,0.12220951129103999
230,20201030,2608,3924,38,0.0,0.0,-28.0,14.0,-31.0,-15.0,-34.0,13.0,-0.09740759747864881,0.12616139624070458
231,20201031,2511,3848,31,0.0,0.0,-32.0,7.0,-35.0,-15.0,-10.0,8.0,-0.11888872235392088,0.12350852761478884
232,20201101,2504,3644,30,0.0,0.0,-38.0,-2.0,-31.0,-14.0,4.0,7.0,-0.14858401199855348,0.14059677460652226
233,20201102,2481,3940,31,0.0,0.0,-29.0,11.0,-33.0,-18.0,-24.0,12.0,-0.10536687462782597,0.12289204684863675
234,20201103,2435,2707,31,0.0,0.0,-25.0,13.0,-30.0,-15.0,-27.0,12.0,-0.10642465923212639,0.1282678186385496
235,20201104,2487,2504,30,0.0,0.0,-27.0,11.0,-30.0,-14.0,-26.0,11.0,-0.10741690752010166,0.12286970823566819
236,20201105,2348,2413,28,0.0,0.0,-30.0,10.0,-33.0,-19.0,-25.0,13.0,-0.1033346445733109,0.12883904726805803
237,20201106,2370,2402,27,0.0,0.0,-28.0,14.0,-33.0,-19.0,-25.0,13.0,-0.14363009748467814,0.1323638431013723
238,20201107,2341,2352,25,0.0,0.0,-28.0,9.0,-35.0,-16.0,-8.0,8.0,-0.11639392505637446,0.12701004131784774
239,20201108,2334,2386,20,0.0,0.0,-33.0,1.0,-29.0,-15.0,10.0,7.0,-0.14960812620769007,0.14040002021982056
240,20201109,2257,2308,18,0.0,0.0,-24.0,16.0,-30.0,-18.0,-22.0,12.0,-0.0928353010726845,0.11925188060492582
241,20201110,2146,2237,25,0.0,0.0,-19.0,19.0,-28.0,-14.0,-26.0,11.0,-0.08333425515201387,0.12369371859451457
242,20201111,2184,2210,28,0.0,0.0,-19.0,21.0,-29.0,-9.0,-24.0,10.0,-0.0886312034424702,0.11857097738243694
243,20201112,2112,2347,25,0.0,0.0,-18.0,23.0,-29.0,-6.0,-26.0,11.0,-0.03209097357146927,0.11668900605166976
244,20201113,1939,2572,14,0.0,0.0,-7.0,51.0,-21.0,3.0,-39.0,11.0,-0.07498059055487107,0.11631096341304693
245,20201114,1912,2494,12,0.0,0.0,-51.0,-24.0,-27.0,-30.0,-63.0,17.0,-0.29651663454115856,0.14668901656228955
246,20201115,1819,2520,12,0.0,0.0,-49.0,-25.0,-23.0,-24.0,-20.0,8.0,-0.28374078471989767,0.17273374930430263
247,20201116,1725,2384,17,0.0,0.0,-38.0,-8.0,-27.0,-23.0,-36.0,14.0,-0.1542632053286185,0.14398843310126552
248,20201117,1652,2314,18,0.0,0.0,-31.0,7.0,-26.0,-18.0,-31.0,12.0,-0.13550825664285837,0.14132356238212437
249,20201118,1714,2311,18,0.0,0.0,-28.0,14.0,-27.0,-12.0,-27.0,11.0,-0.132146449020424,0.12775446132016802
250,20201119,1707,2251,19,0.0,0.0,-28.0,14.0,-29.0,-13.0,-27.0,12.0,-0.08371431777759944,0.12468342628047195
251,20201120,1688,2173,18,0.0,0.0,-26.0,17.0,-26.0,-13.0,-27.0,11.0,-0.07860472721371897,0.11896735598111247
252,20201121,1663,2133,18,0.0,0.0,-29.0,11.0,-31.0,-13.0,-10.0,7.0,-0.10405638701191164,0.12013185757944576
253,20201122,1655,2010,19,0.0,0.0,-38.0,-1.0,-25.0,-15.0,4.0,6.0,-0.14573613900350435,0.13674274418004453
254,20201123,1624,1904,17,0.0,0.0,-28.0,15.0,-30.0,-19.0,-24.0,12.0,-0.09315071677115469,0.12038346706926119
255,20201124,1557,1910,17,0.0,0.0,-34.0,5.0,-35.0,-23.0,-31.0,15.0,-0.14682296710231874,0.14164869062094446
256,20201125,1534,1873,16,0.0,0.0,-49.0,-24.0,-42.0,-38.0,-52.0,23.0,-0.31815403813518034,0.20368254691842486
257,20201126,1464,1797,14,0.0,0.0,-39.0,-10.0,-34.0,-28.0,-46.0,16.0,-0.20602855270189221,0.16048070623031885
258,20201127,1442,1494,12,0.0,0.0,-27.0,15.0,-28.0,-16.0,-28.0,9.0,-0.11515956932655438,0.1223888418537811
259,20201128,1430,1453,13,0.0,0.0,-30.0,12.0,-34.0,-16.0,-12.0,8.0,-0.12877819827455128,0.1293369965367944
260,20201129,1459,1471,9,0.0,0.0,-43.0,-8.0,-32.0,-20.0,11.0,8.0,-0.17983326029553814,0.14812318928582371
261,20201130,1410,1456,9,0.0,0.0,-28.0,12.0,-30.0,-20.0,-24.0,12.0,-0.10781819890700976,0.1253187882295363
262,20201201,1404,1411,10,0.0,0.0,-25.0,15.0,-26.0,-16.0,-25.0,11.0,-0.09511019121369237,0.12655718350318784
263,20201202,1428,1398,11,0.0,0.0,-30.0,10.0,-22.0,-18.0,-22.0,12.0,-0.1512202990803641,0.13377775951733564
264,20201203,1416,1413,14,0.0,0.0,-38.0,-5.0,-31.0,-27.0,-26.0,16.0,-0.20818266968536342,0.16727059906956668
265,20201204,1391,1426,15,0.0,0.0,-36.0,0.0,-30.0,-26.0,-28.0,16.0,-0.21158085110073135,0.15984773993496335
266,20201205,1366,1407,15,0.0,0.0,-31.0,8.0,-27.0,-17.0,-8.0,9.0,-0.16525571352708487,0.13948957710206503
267,20201206,1320,1398,16,0.0,0.0,-38.0,-3.0,-19.0,-18.0,5.0,8.0,-0.18041874820654433,0.14913552682390388
268,20201207,1312,1389,16,0.0,0.0,-29.0,10.0,-22.0,-20.0,-22.0,12.0,-0.12441049061063222,0.130917460214925
269,20201208,1236,1330,13,0.0,0.0,-33.0,3.0,-21.0,-22.0,-26.0,13.0,-0.1555391958361973,0.1386378029863461
270,20201209,1232,1315,14,0.0,0.0,-26.0,15.0,-18.0,-10.0,-21.0,11.0,-0.13715791767672206,0.12568863489030668
271,20201210,1220,1302,17,0.0,0.0,-25.0,15.0,-15.0,-6.0,-22.0,12.0,-0.05121811491006629,0.12002682121176715
272,20201211,1235,1311,17,0.0,0.0,-24.0,19.0,-13.0,-5.0,-22.0,13.0,-0.07303981625868729,0.1187141457683012
273,20201212,1218,1296,13,0.0,0.0,-28.0,13.0,-17.0,-6.0,-11.0,10.0,-0.07575272396368915,0.1179329272439905
274,20201213,1195,1276,12,0.0,0.0,-36.0,0.0,-6.0,-4.0,8.0,8.0,-0.09653215682766153,0.12856298576337793
275,20201214,1141,1203,14,0.0,0.0,-27.0,13.0,-12.0,-9.0,-21.0,13.0,-0.05250203338294037,0.11391436301896282
276,20201215,1132,1210,10,0.0,0.0,-26.0,13.0,-11.0,-8.0,-23.0,13.0,-0.08812600752130753,0.12453084587265754
277,20201216,1181,1240,12,0.0,0.0,-29.0,11.0,-15.0,-8.0,-20.0,13.0,-0.1298845800847242,0.1291236379399124
278,20201217,1174,1214,11,0.0,0.0,-31.0,9.0,-18.0,-11.0,-21.0,16.0,-0.11796613296929893,0.1342857445181042
279,20201218,1134,1170,12,0.0,0.0,-28.0,15.0,-17.0,-10.0,-19.0,15.0,-0.13365454897381082,0.1311909938736217
280,20201219,1127,1202,14,0.0,0.0,-28.0,12.0,-17.0,-6.0,-3.0,9.0,-0.09409635450398997,0.1220316717881526
281,20201220,1114,1198,15,0.0,0.0,-35.0,-1.0,-2.0,-5.0,11.0,8.0,-0.10849818102879633,0.131659323730166
282,20201221,1071,1157,12,0.0,0.0,-26.0,14.0,-11.0,-10.0,-19.0,13.0,-0.06700624375584137,0.11524419502867964
283,20201222,1052,1139,17,0.0,0.0,-25.0,12.0,-10.0,-9.0,-22.0,13.0,-0.09541318494690633,0.1242886995112619
284,20201223,1066,1131,12,0.0,0.0,-24.0,17.0,-11.0,-4.0,-19.0,12.0,-0.1085805307154016,0.12135611955017413
285,20201224,1035,1120,12,0.0,0.0,-22.0,22.0,-9.0,-1.0,-21.0,13.0,-0.048781092605613835,0.11793832947551687
286,20201225,1027,1103,12,0.0,0.0,-23.0,21.0,4.0,-8.0,-41.0,16.0,-0.11700671194864155,0.12221189751705651
287,20201226,1019,1098,11,0.0,0.0,-30.0,7.0,-9.0,-8.0,-10.0,10.0,-0.08887700824663193,0.1212701593848007
288,20201227,1009,1091,10,0.0,0.0,-36.0,-5.0,3.0,-3.0,13.0,7.0,-0.08291923079979868,0.1277598323979518
289,20201228,1005,1074,11,0.0,0.0,-25.0,15.0,-7.0,-7.0,-19.0,13.0,-0.03758218742739653,0.11129092453757278
290,20201229,957,1065,12,0.0,0.0,-25.0,12.0,-5.0,-7.0,-23.0,13.0,-0.06894876056450279,0.12045101789054934
291,20201230,945,1060,17,0.0,0.0,-25.0,12.0,-10.0,-4.0,-19.0,12.0,-0.09896769701136693,0.1202299058558613
292,20201231,937,1038,13,0.0,0.0,-20.0,25.0,-10.0,-2.0,-20.0,13.0,-0.08881956993364801,0.12623423579349005
293,20210101,921,1029,13,0.0,0.0,-19.0,20.0,4.0,-9.0,-42.0,17.0,-0.11665664260483072,0.11460511911869414
294,20210102,910,1007,11,0.0,0.0,-32.0,7.0,-17.0,-8.0,-6.0,11.0,-0.1081825840315256,0.12204679112487378
295,20210103,867,1002,10,0.0,0.0,-37.0,-3.0,-6.0,-6.0,13.0,9.0,-0.12883453199958472,0.14176196755209466
296,20210104,838,985,10,0.0,0.0,-27.0,15.0,-12.0,-8.0,-16.0,13.0,-0.06687507984750031,0.11622344209817094
297,20210105,820,971,11,0.0,0.0,-33.0,-2.0,-19.0,-14.0,-24.0,17.0,-0.11627336875045306,0.13157207141527516
298,20210106,811,943,11,0.0,0.0,-27.0,13.0,-12.0,-8.0,-17.0,13.0,-0.14128167879994508,0.12932025995872595
299,20210107,805,911,12,0.0,0.0,-25.0,17.0,-12.0,-7.0,-17.0,14.0,-0.0758346429387322,0.12176855041323252
300,20210108,790,897,8,0.0,0.0,-23.0,21.0,-10.0,-7.0,-16.0,13.0,-0.09099253310385749,0.12123463249783117
301,20210109,761,882,7,0.0,0.0,-23.0,17.0,-11.0,-5.0,-5.0,9.0,-0.06444407191605808,0.11712231368706376
302,20210110,724,857,7,0.0,0.0,-28.0,7.0,0.0,-4.0,22.0,7.0,-0.08786689168577001,0.12735078861998894
303,20210111,682,869,6,0.0,0.0,-21.0,18.0,-7.0,-11.0,-16.0,12.0,-0.06139888038648299,0.11670727799564308
304,20210112,671,827,8,0.0,0.0,-18.0,21.0,-4.0,-5.0,-21.0,11.0,-0.07583252424431054,0.12479485740133724
305,20210113,673,821,6,0.0,0.0,-11.0,33.0,-5.0,4.0,-26.0,8.0,-0.07299896292945116,0.11640891186747399
306,20210114,665,826,4,0.0,0.0,-31.0,-8.0,1.0,-19.0,-66.0,18.0,-0.16251249102949905,0.13673382344595475
307,20210115,621,805,5,0.0,0.0,-34.0,-8.0,3.0,-26.0,-64.0,17.0,-0.2516178318363209,0.1473698401863528
308,20210116,610,775,6,0.0,0.0,-34.0,-11.0,-4.0,-20.0,-47.0,9.0,-0.1523829812657569,0.12808818055185361
309,20210117,589,770,7,0.0,0.0,-33.0,-10.0,1.0,-4.0,-9.0,1.0,-0.03337761215756213,0.11754967895546081
310,20210118,551,758,8,0.0,0.0,-21.0,15.0,-3.0,-10.0,-25.0,8.0,0.03850266640567186,0.09989620185515607
311,20210119,543,772,9,0.0,0.0,-21.0,14.0,-3.0,-11.0,-25.0,9.0,-0.021862745258398028,0.10863461209602113
312,20210120,549,713,9,0.0,0.0,-22.0,16.0,-6.0,-9.0,-21.0,9.0,-0.05605290783542996,0.10947339888156173
313,20210121,596,705,9,0.0,0.0,-25.0,14.0,-9.0,-13.0,-21.0,12.0,-0.04156063868006763,0.11253709172602114
314,20210122,574,689,8,0.0,0.0,-23.0,18.0,-7.0,-11.0,-20.0,11.0,-0.06687551110281324,0.11172679954337689
315,20210123,586,673,2,0.0,0.0,-23.0,13.0,-8.0,-6.0,-8.0,6.0,-0.025510938829498595,0.10798996220093884
316,20210124,569,642,7,0.0,0.0,-26.0,5.0,6.0,0.0,11.0,4.0,-0.003587472630959308,0.11133436576363576
317,20210125,540,627,4,0.0,0.0,-15.0,18.0,10.0,-3.0,-25.0,7.0,0.09375336696146745,0.09072653123254001
318,20210126,523,595,5,0.0,0.0,-12.0,20.0,18.0,-6.0,-51.0,13.0,-0.020105936934895312,0.1117311269181836
319,20210127,512,564,8,0.0,0.0,-18.0,16.0,6.0,2.0,-24.0,6.0,0.04492011670251707,0.0963245849721049
320,20210128,503,544,6,0.0,0.0,-25.0,14.0,-1.0,-10.0,-30.0,12.0,-0.009565692815629415,0.1109619404015661
321,20210129,509,531,6,0.0,0.0,-22.0,24.0,-6.0,-8.0,-19.0,9.0,-0.05567182226531016,0.10882238258262328
322,20210130,505,526,5,0.0,0.0,-23.0,21.0,-9.0,-4.0,-4.0,4.0,-0.03935100614897106,0.10762861880981102
323,20210131,508,523,6,0.0,0.0,-28.0,12.0,1.0,0.0,11.0,2.0,-0.019433664479050625,0.11202497062554063
324,20210201,502,517,7,0.0,0.0,-20.0,26.0,-5.0,-7.0,-20.0,7.0,0.015533064008040248,0.09850839267784135
325,20210202,510,521,4,0.0,0.0,-18.0,27.0,-4.0,-6.0,-22.0,7.0,-0.03902420442379956,0.10882656884545353
326,20210203,514,533,4,0.0,0.0,-20.0,24.0,-8.0,-4.0,-21.0,7.0,-0.054212008038861746,0.10926031890210866
327,20210204,494,517,4,0.0,0.0,-24.0,21.0,-13.0,-9.0,-22.0,8.0,-0.0541526905643933,0.11398333610600467
328,20210205,489,506,4,0.0,0.0,-22.0,28.0,-13.0,-9.0,-20.0,8.0,-0.10109495493217116,0.11596386706562971
329,20210206,477,503,3,0.0,0.0,-23.0,22.0,-13.0,-4.0,-7.0,4.0,-0.06445414295293929,0.11037439141389466
330,20210207,471,498,1,0.0,0.0,-28.0,9.0,0.0,-1.0,3.0,3.0,-0.0511065599231181,0.11837715300269462
331,20210208,464,495,4,0.0,0.0,-21.0,23.0,-10.0,-7.0,-21.0,7.0,-0.014504446117324581,0.10394337112199906
332,20210209,469,491,4,0.0,0.0,-20.0,25.0,-9.0,-6.0,-22.0,8.0,-0.05578170108443825,0.11289625511472892
333,20210210,479,493,5,0.0,0.0,-21.0,27.0,-10.0,-3.0,-19.0,7.0,-0.10709057197018369,0.11335767970545704
334,20210211,481,490,6,0.0,0.0,-23.0,22.0,-10.0,-6.0,-20.0,9.0,-0.044292871082149875,0.11382326174937486
335,20210212,483,486,6,0.0,0.0,-19.0,27.0,-10.0,-6.0,-18.0,8.0,-0.08856331402844997,0.11500481146957815
336,20210213,477,482,5,0.0,0.0,-18.0,22.0,-7.0,-2.0,-10.0,4.0,-0.04942972334467545,0.1110585327811831
337,20210214,470,479,6,0.0,0.0,-20.0,11.0,6.0,4.0,2.0,2.0,-0.0107519247916373,0.11377284796629882
338,20210215,455,477,6,0.0,0.0,-16.0,21.0,-3.0,-2.0,-22.0,6.0,0.044700174670669036,0.09707483914168054
339,20210216,451,470,7,0.0,0.0,-18.0,21.0,-6.0,-5.0,-21.0,8.0,-0.04545557231683689,0.11133858058162616
340,20210217,454,462,6,0.0,0.0,-19.0,24.0,-8.0,-2.0,-18.0,8.0,-0.08248831512135704,0.11123706813170275
341,20210218,457,470,6,0.0,0.0,-21.0,22.0,-11.0,-5.0,-18.0,9.0,-0.05570717581818683,0.11381583675294744
342,20210219,448,467,7,0.0,0.0,-18.0,26.0,-11.0,-5.0,-16.0,9.0,-0.09452769453392608,0.11520479155593791
343,20210220,438,459,6,0.0,0.0,-19.0,21.0,-10.0,-2.0,-3.0,4.0,-0.07129698545137615,0.11275317691455904
344,20210221,452,460,3,0.0,0.0,-23.0,11.0,2.0,0.0,6.0,3.0,-0.07287144543607685,0.12505954078220546
345,20210222,449,461,6,0.0,0.0,-16.0,23.0,-5.0,-3.0,-18.0,7.0,-0.017486416822979408,0.10388895748224146
346,20210223,442,453,6,0.0,0.0,-13.0,24.0,-3.0,0.0,-20.0,7.0,-0.05018189325201606,0.11264805671460074
347,20210224,463,469,6,0.005110092542964,0.0006396521104195141,-12.0,24.0,-2.0,7.0,-21.0,5.0,-0.010048600436358917,0.1050413434191262
348,20210225,467,471,5,0.005244997611128275,0.0007047275542735439,-18.0,21.0,-7.0,0.0,-21.0,7.0,-0.006822462510792197,0.10844134931389413
349,20210226,481,483,5,0.005390325838776732,0.0007821805000150388,-18.0,27.0,-9.0,-2.0,-17.0,8.0,-0.08756081974434707,0.11389601998238874
350,20210227,486,491,5,0.005390325838776732,0.0007821805000150388,-19.0,22.0,-6.0,-1.0,-5.0,4.0,-0.05467444018832099,0.1125068377270693
351,20210228,479,490,3,0.005390325838776732,0.0007821805000150388,-25.0,12.0,3.0,-2.0,9.0,3.0,-0.07579309706484105,0.12338139417021046
352,20210301,474,482,5,0.0057387254887692534,0.0009200517332452909,-18.0,27.0,-8.0,-6.0,-15.0,8.0,-0.056859010317957655,0.10717843482579949
353,20210302,462,473,1,0.006246286229661844,0.00098968730937365,-14.0,27.0,-6.0,-2.0,-18.0,7.0,-0.07686074510218924,0.11324094944961698
354,20210303,489,494,2,0.007073901725407131,0.001081541402327996,-14.0,29.0,-6.0,2.0,-18.0,6.0,-0.071350774391406,0.10953931508351765
355,20210304,482,490,4,0.008113334672265788,0.0011651761687210133,-18.0,27.0,-9.0,-3.0,-17.0,9.0,-0.06096392740546631,0.11334010348326189
356,20210305,543,562,5,0.00929439507073264,0.0012621725384953477,-14.0,31.0,-9.0,-2.0,-15.0,7.0,-0.07898313580101633,0.11142559875368398
357,20210306,562,560,4,0.010384072636115444,0.0013571868446975572,-16.0,26.0,-8.0,-1.0,-1.0,4.0,-0.07176710297665753,0.11067438709826306
358,20210307,567,521,1,0.010384072636115444,0.0013571868446975572,-24.0,15.0,4.0,-1.0,6.0,4.0,-0.08213337196846493,0.1227918287504004
359,20210308,556,532,3,0.011819848994476972,0.00144955377927546,-17.0,28.0,-7.0,-5.0,-14.0,8.0,-0.0507372913015269,0.1070737977923693
360,20210309,569,510,4,0.01283388935067736,0.001550957814895499,-14.0,27.0,-5.0,-3.0,-18.0,8.0,-0.07719013003556763,0.11466324384233142
361,20210310,671,532,5,0.013938467044312149,0.0016508649073981286,-15.0,29.0,-5.0,2.0,-15.0,7.0,-0.0798422135819035,0.1104238886996457
362,20210311,685,543,5,0.014953657829019435,0.0017509106057449627,-18.0,27.0,-3.0,2.0,-18.0,8.0,-0.03752955261623383,0.10975546880405196
363,20210312,670,527,4,0.01611614504436288,0.0018783725400754543,-17.0,31.0,-6.0,1.0,-16.0,7.0,-0.05620261087102268,0.10733153174884677
364,20210313,695,512,4,0.01719074229389623,0.0019948568915449465,-17.0,25.0,-4.0,1.0,-8.0,5.0,-0.047454960949605274,0.11004703910334218
365,20210314,759,547,4,0.01719074229389623,0.0019948568915449465,-25.0,13.0,4.0,1.0,7.0,4.0,-0.07988138710810411,0.12169598000056277
366,20210315,836,553,4,0.01867270211954671,0.0021146400621065067,-15.0,26.0,-3.0,-1.0,-18.0,7.0,0.0022289265872760125,0.10267508196137803
367,20210316,867,561,5,0.020008197149626258,0.002264805633717701,-18.0,23.0,-5.0,-5.0,-18.0,9.0,-0.06915449775063504,0.11525281860278935
368,20210317,945,576,8,0.02141141499518414,0.0024054074020787826,-18.0,27.0,-7.0,-1.0,-14.0,8.0,-0.0935555184492002,0.11415394235757173
369,20210318,989,569,9,0.022951242760790014,0.002553188953169659,-20.0,25.0,-9.0,-4.0,-14.0,10.0,-0.06370580701534075,0.11563740115275707
370,20210319,1087,610,9,0.02451035059932474,0.0027208465823194664,-17.0,31.0,-9.0,-3.0,-12.0,9.0,-0.08995285672799005,0.11540382920405731
371,20210320,1243,634,8,0.026034876279730435,0.0028799799520506943,-18.0,25.0,-7.0,-1.0,0.0,5.0,-0.05363265487422004,0.11160128900704577
372,20210321,1289,668,9,0.026034876279730435,0.0028799799520506943,-26.0,13.0,3.0,-3.0,9.0,5.0,-0.08787479744128067,0.12578769358766395
373,20210322,1385,659,10,0.02798812369684518,0.0030423289773674677,-18.0,28.0,-6.0,-6.0,-12.0,9.0,-0.046042127931669535,0.10836539182929636
374,20210323,1437,902,9,0.02932101293705368,0.003166977213060607,-14.0,27.0,-1.0,-1.0,-17.0,8.0,-0.051737982300033694,0.11375856263064468
375,20210324,1636,1023,12,0.03054228289092427,0.003253328654000033,-12.0,27.0,-1.0,3.0,-18.0,7.0,-0.02963084382309293,0.10709968529182701
376,20210325,1779,1027,11,0.031839148472224015,0.0033279540405197552,-17.0,26.0,-7.0,-3.0,-16.0,10.0,-0.033359917317039946,0.11238259792994944
377,20210326,1971,1131,9,0.03324974014869358,0.003422788159124499,-15.0,32.0,-7.0,-2.0,-15.0,9.0,-0.06910359686795146,0.11404906337073058
378,20210327,2089,1241,9,0.034627662427684135,0.0035115097599998225,-16.0,25.0,-6.0,0.0,-4.0,5.0,-0.04820767076662753,0.11277778171339832
379,20210328,2194,1270,11,0.034627662427684135,0.0035115097599998225,-24.0,9.0,5.0,0.0,10.0,4.0,-0.044946848940975115,0.11826471236820145
380,20210329,2279,1352,14,0.036195890530767515,0.003604957820162521,-18.0,27.0,-3.0,-7.0,-16.0,10.0,-0.04079881372012125,0.10689507448082061
381,20210330,2342,1463,16,0.03720182244508194,0.003718933405851911,-15.0,25.0,-3.0,-5.0,-17.0,9.0,-0.0740412217281848,0.11556193799051744
382,20210331,2579,1527,19,0.038225204835181714,0.0037949725719825197,-14.0,28.0,-2.0,1.0,-17.0,7.0,-0.0784845280644262,0.11168108044697059
383,20210401,2817,1634,19,0.039300910931468695,0.0038695840979178216,-17.0,27.0,-6.0,-2.0,-17.0,10.0,-0.0682647553160539,0.11659136099199094
384,20210402,3290,1715,12,0.03921422683650318,0.0037740708106764756,-10.0,37.0,-1.0,-5.0,-30.0,11.0,-0.11527396367487339,0.12030740886159834
385,20210403,3446,1834,14,0.03980449368463262,0.0038796053004538093,-14.0,30.0,-5.0,1.0,-4.0,5.0,-0.06638641218037666,0.11038456218183894
386,20210404,3581,1813,14,0.04021243840529541,0.003955658327168839,-25.0,14.0,3.0,-2.0,9.0,5.0,-0.09336289128533776,0.12342426625739135
