,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,332,400,6,0.0,0.0,-40.0,-8.0,-13.0,-33.0,-15.0,10.0,-0.20249217625136928,0.1846496433093629
202,20201002,296,504,3,0.0,0.0,-29.0,4.0,-12.0,-33.0,-36.0,13.0,-0.22815655029555298,0.19036701099900302
203,20201003,190,301,3,0.0,0.0,-32.0,5.0,-11.0,-32.0,-10.0,8.0,-0.14751567098110985,0.17325056738370195
204,20201004,322,513,4,0.0,0.0,-36.0,-1.0,-15.0,-37.0,-12.0,8.0,-0.21775736055467346,0.19513591227952762
205,20201005,159,466,6,0.0,0.0,-33.0,0.0,-12.0,-33.0,-18.0,8.0,-0.15854706752486275,0.16584113549051646
206,20201006,275,255,2,0.0,0.0,-29.0,3.0,-12.0,-29.0,-17.0,8.0,-0.16129269825399098,0.17505823164371168
207,20201007,237,546,0,0.0,0.0,-29.0,7.0,-11.0,-20.0,0.0,8.0,-0.14033291752632437,0.16254548663934226
208,20201008,214,389,3,0.0,0.0,-29.0,6.0,-5.0,-26.0,-7.0,9.0,-0.15904893216281418,0.16864597239594872
209,20201009,223,408,7,0.0,0.0,-24.0,7.0,-7.0,-28.0,-8.0,11.0,-0.1489062154002197,0.16294652546356125
210,20201010,171,327,2,0.0,0.0,-26.0,5.0,-9.0,-30.0,-20.0,12.0,-0.15954443277207492,0.17804594365799545
211,20201011,199,285,2,0.0,0.0,-28.0,2.0,-9.0,-32.0,0.0,11.0,-0.1810091858964595,0.19192407675070156
212,20201012,109,317,1,0.0,0.0,-23.0,8.0,-5.0,-30.0,-11.0,11.0,-0.14195504432141276,0.15582137055208872
213,20201013,217,220,1,0.0,0.0,-23.0,8.0,-9.0,-28.0,-10.0,10.0,-0.13293191684244454,0.1621247915012739
214,20201014,181,418,1,0.0,0.0,-22.0,12.0,-8.0,-19.0,5.0,10.0,-0.12383555245989031,0.16100629584071832
215,20201015,172,353,1,0.0,0.0,-26.0,0.0,-7.0,-34.0,-9.0,13.0,-0.2553902776155903,0.18270745350540335
216,20201016,162,371,4,0.0,0.0,-16.0,21.0,-2.0,-19.0,-4.0,11.0,-0.0797051680198102,0.15133024499283043
217,20201017,134,270,3,0.0,0.0,-21.0,14.0,-4.0,-21.0,-1.0,11.0,-0.0953566677763367,0.1590328552617206
218,20201018,141,187,3,0.0,0.0,-14.0,14.0,-2.0,-23.0,9.0,10.0,-0.13289793154624535,0.17827746579254672
219,20201019,85,328,2,0.0,0.0,-14.0,17.0,1.0,-19.0,-9.0,10.0,-0.09850684333497957,0.14032135002415502
220,20201020,135,198,0,0.0,0.0,-12.0,16.0,-3.0,-21.0,-8.0,11.0,-0.11906548032556988,0.15442423644702508
221,20201021,112,265,1,0.0,0.0,-6.0,27.0,-5.0,-8.0,4.0,8.0,-0.08773114393131663,0.1480349297503877
