,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,4019,4444,80,0.0,0.0,-30.0,13.0,-42.0,-24.0,-21.0,10.0,-0.15806906331051207,0.15870361991719947
202,20201002,3894,5107,53,0.0,0.0,-30.0,13.0,-40.0,-30.0,-46.0,15.0,-0.19496348756176393,0.17321018467199764
203,20201003,3631,4860,60,0.0,0.0,-31.0,15.0,-40.0,-26.0,-14.0,9.0,-0.12547534056773588,0.16056729546536966
204,20201004,3840,5226,52,0.0,0.0,-34.0,12.0,-40.0,-22.0,-10.0,8.0,-0.1592779460313206,0.18061255813610702
205,20201005,2971,4269,63,0.0,0.0,-26.0,17.0,-39.0,-25.0,-22.0,9.0,-0.12248923206213211,0.15124818123298991
206,20201006,3500,4432,61,0.0,0.0,-27.0,12.0,-39.0,-26.0,-24.0,8.0,-0.14922081855345007,0.1609112754677271
207,20201007,3389,4219,47,0.0,0.0,-26.0,17.0,-39.0,-25.0,-20.0,9.0,-0.15364528247962778,0.156134362392203
208,20201008,3133,3690,45,0.0,0.0,-25.0,17.0,-40.0,-25.0,-18.0,11.0,-0.16782262899018044,0.16056866792409424
209,20201009,3207,4424,48,0.0,0.0,-23.0,20.0,-36.0,-25.0,-16.0,11.0,-0.1319203688658888,0.1556604112483956
210,20201010,3046,4063,60,0.0,0.0,-29.0,16.0,-36.0,-26.0,-14.0,12.0,-0.13551095774924515,0.1658576841853242
211,20201011,3267,3417,41,0.0,0.0,-29.0,17.0,-33.0,-19.0,-4.0,9.0,-0.13975251757075244,0.17622893449372123
212,20201012,2182,3342,44,0.0,0.0,-22.0,23.0,-34.0,-23.0,-18.0,11.0,-0.10880610232569332,0.14855220107741246
213,20201013,2957,3662,28,0.0,0.0,-21.0,21.0,-34.0,-22.0,-19.0,11.0,-0.1135619125358323,0.15419263243866735
214,20201014,2593,3736,41,0.0,0.0,-20.0,23.0,-34.0,-21.0,-17.0,11.0,-0.12493476136639853,0.15058064128322285
215,20201015,2672,3239,36,0.0,0.0,-20.0,25.0,-35.0,-19.0,-15.0,11.0,-0.12704877917807203,0.15150000234395747
216,20201016,2552,3538,46,0.0,0.0,-16.0,36.0,-31.0,-15.0,-15.0,11.0,-0.08360089939814465,0.14523950711918754
217,20201017,2725,3528,40,0.0,0.0,-30.0,18.0,-36.0,-24.0,-7.0,12.0,-0.12392967023054066,0.15741497185807876
218,20201018,2486,3981,29,0.0,0.0,-27.0,19.0,-33.0,-19.0,-1.0,10.0,-0.13867807065799478,0.1733305002928632
219,20201019,1719,3093,27,0.0,0.0,-21.0,25.0,-31.0,-21.0,-17.0,12.0,-0.0960081128302621,0.14518743859079875
220,20201020,2289,3339,29,0.0,0.0,-20.0,23.0,-33.0,-20.0,-18.0,11.0,-0.11007404299624579,0.15029757702527222
221,20201021,2321,3332,41,0.0,0.0,-20.0,23.0,-33.0,-21.0,-17.0,10.0,-0.12301104558671824,0.15023241985588634
222,20201022,2383,2581,35,0.0,0.0,-19.0,23.0,-34.0,-19.0,-17.0,9.0,-0.13110089434173144,0.15062356750063358
223,20201023,2202,3025,40,0.0,0.0,-18.0,27.0,-33.0,-18.0,-18.0,8.0,-0.08618541567032584,0.1471102285131493
