,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,248,801,14,0.0,0.0,-25.0,13.0,-36.0,-12.0,-16.0,7.0,-0.11261820006004188,0.16985818482748666
202,20201002,311,340,11,0.0,0.0,-19.0,19.0,-19.0,-8.0,-42.0,11.0,-0.10819612910076369,0.18124318150813007
203,20201003,503,919,12,0.0,0.0,-17.0,21.0,-18.0,-6.0,-16.0,6.0,-0.04501003998099599,0.16611788389529075
204,20201004,1419,392,4,0.0,0.0,-27.0,0.0,-28.0,-12.0,-11.0,6.0,-0.021843399474256748,0.1836644910329782
205,20201005,510,881,17,0.0,0.0,-17.0,23.0,-29.0,-7.0,-18.0,6.0,-0.06015533449457938,0.15907879542749703
206,20201006,338,600,8,0.0,0.0,-18.0,21.0,-31.0,-6.0,-16.0,6.0,-0.08385473089020228,0.1661966830288078
207,20201007,630,663,11,0.0,0.0,-21.0,18.0,-34.0,-5.0,-10.0,7.0,-0.08220731497065523,0.1654240168022104
208,20201008,400,904,14,0.0,0.0,-19.0,17.0,-34.0,-9.0,-11.0,9.0,-0.09997898354519183,0.1675894756090742
209,20201009,704,1239,14,0.0,0.0,-18.0,19.0,-28.0,-10.0,-8.0,10.0,-0.07751878300172153,0.16321477785195987
210,20201010,462,412,18,0.0,0.0,-17.0,19.0,-20.0,-10.0,-16.0,10.0,-0.08591593816835762,0.17314668397563743
211,20201011,526,456,13,0.0,0.0,-23.0,7.0,-21.0,-11.0,-8.0,9.0,-0.03650610536359645,0.1826724579488676
212,20201012,296,664,15,0.0,0.0,-13.0,27.0,-22.0,-5.0,-13.0,9.0,-0.03718094427466506,0.15669578253633745
213,20201013,294,665,20,0.0,0.0,-13.0,25.0,-23.0,-2.0,-12.0,9.0,-0.045627457169592156,0.16291197304916416
214,20201014,429,827,14,0.0,0.0,-14.0,22.0,-23.0,-3.0,-7.0,9.0,-0.04822851149560216,0.161455513251054
215,20201015,423,833,18,0.0,0.0,-13.0,23.0,-23.0,-4.0,-9.0,10.0,-0.05616556687531949,0.15726444977995874
216,20201016,549,524,15,0.0,0.0,-9.0,33.0,-22.0,0.0,-7.0,11.0,-0.017251425369204067,0.15563450358665007
217,20201017,606,665,95,0.0,0.0,-19.0,20.0,-24.0,-9.0,-8.0,11.0,-0.06899020679452865,0.16500127068302206
218,20201018,376,162,3,0.0,0.0,-21.0,9.0,-22.0,-10.0,-4.0,10.0,-0.07980106826671289,0.18132314940515307
219,20201019,336,504,6,0.0,0.0,-13.0,28.0,-19.0,-4.0,-13.0,10.0,-0.06731089174495446,0.15646058601813234
220,20201020,241,376,13,0.0,0.0,-13.0,25.0,-19.0,-1.0,-12.0,10.0,-0.07521768149187034,0.16068757781551432
221,20201021,505,770,14,0.0,0.0,-15.0,22.0,-23.0,0.0,-9.0,9.0,-0.07274150518941946,0.16153244759421997
222,20201022,402,568,8,0.0,0.0,-12.0,24.0,-21.0,0.0,-12.0,7.0,-0.0752120149178707,0.16176354261010886
223,20201023,288,518,11,0.0,0.0,-12.0,28.0,-18.0,1.0,-11.0,7.0,-0.04042997036968591,0.15597560503205735
224,20201024,359,451,5,0.0,0.0,-14.0,22.0,-15.0,-2.0,-20.0,7.0,-0.06965081325426628,0.16251569745353397
225,20201025,221,319,9,0.0,0.0,-14.0,13.0,-12.0,0.0,-13.0,4.0,-0.020291003058408384,0.1613760568165189
226,20201026,368,700,8,0.0,0.0,-7.0,29.0,-10.0,3.0,-17.0,5.0,-0.006009153347930041,0.14672758770616592
227,20201027,213,422,6,0.0,0.0,-8.0,28.0,-12.0,7.0,-13.0,6.0,-0.021264335358325934,0.155370598154406
228,20201028,304,463,2,0.0,0.0,-12.0,23.0,-16.0,4.0,-9.0,6.0,-0.030207184436064315,0.15605414805460718
229,20201029,305,456,0,0.0,0.0,-11.0,20.0,-18.0,1.0,-11.0,7.0,-0.03601058744581259,0.15547892091365195
230,20201030,349,242,2,0.0,0.0,-11.0,22.0,-14.0,-1.0,-20.0,9.0,-0.03857640073775377,0.16267924991265373
231,20201031,413,152,12,0.0,0.0,-12.0,17.0,-11.0,-4.0,-13.0,8.0,-0.041319288693010284,0.16232578722686197
232,20201101,222,178,4,0.0,0.0,-13.0,16.0,-12.0,2.0,-1.0,6.0,0.010088226672398535,0.1703480536097904
233,20201102,331,441,2,0.0,0.0,-6.0,32.0,-16.0,4.0,-12.0,7.0,-0.010666887362570907,0.14662320683359156
234,20201103,316,409,4,0.0,0.0,-2.0,37.0,-15.0,8.0,-10.0,6.0,-0.0196140203020099,0.1484887688994132
235,20201104,388,270,5,0.0,0.0,-14.0,18.0,-26.0,-4.0,-12.0,9.0,-0.08542722872191287,0.16020033009256524
236,20201105,480,602,9,0.0,0.0,-13.0,16.0,-23.0,-6.0,-10.0,7.0,-0.07497718668168638,0.15630373597948582
237,20201106,473,404,9,0.0,0.0,-13.0,20.0,-20.0,-5.0,-7.0,7.0,-0.04152680474648166,0.15485391173386615
238,20201107,498,337,7,0.0,0.0,-9.0,24.0,-16.0,-4.0,-6.0,6.0,-0.037624373438722575,0.15812949108056756
239,20201108,243,155,2,0.0,0.0,-14.0,19.0,-14.0,-5.0,1.0,6.0,-0.027530596347002452,0.17201496742311248
240,20201109,398,205,10,0.0,0.0,-7.0,31.0,-14.0,-2.0,-12.0,7.0,-0.022214438471541382,0.14860810014720968
241,20201110,328,505,5,0.0,0.0,-4.0,34.0,-15.0,2.0,-11.0,6.0,0.0029082597390597004,0.15149948754705891
242,20201111,783,471,6,0.0,0.0,-3.0,41.0,-18.0,8.0,-7.0,6.0,0.013977760548673387,0.14753432376437248
243,20201112,451,532,7,0.0,0.0,6.0,55.0,-17.0,13.0,-11.0,5.0,0.021186204672638865,0.14112901298415712
244,20201113,467,300,4,0.0,0.0,6.0,60.0,-16.0,14.0,-21.0,6.0,0.030333167757784527,0.14156546268142942
245,20201114,296,164,5,0.0,0.0,-14.0,24.0,-24.0,-9.0,-47.0,13.0,-0.16947746210896933,0.17590975012918525
246,20201115,213,218,5,0.0,0.0,-23.0,-1.0,-18.0,-12.0,-29.0,8.0,-0.15957765697344475,0.1861140561219128
