,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying
201,20201001,3275,2996,59,0.0,0.0,-40.0,1.0,-39.0,-30.0,-22.0,12.0,-0.1771124820606906,0.2045277402037278
202,20201002,3310,2944,53,0.0,0.0,-37.0,0.0,-40.0,-35.0,-43.0,16.0,-0.22514630387087692,0.21445033368252492
203,20201003,3340,3013,62,0.0,0.0,-40.0,-3.0,-40.0,-31.0,-19.0,11.0,-0.17003653300890048,0.20237462987978044
204,20201004,3357,2986,62,0.0,0.0,-37.0,2.0,-39.0,-26.0,-10.0,9.0,-0.1641065124639654,0.21079134215933162
205,20201005,3348,3009,61,0.0,0.0,-36.0,-2.0,-37.0,-31.0,-29.0,12.0,-0.15257615110734435,0.19268987230854853
206,20201006,3370,3036,63,0.0,0.0,-35.0,0.0,-36.0,-31.0,-29.0,12.0,-0.14764019345999096,0.19817193792116755
207,20201007,3455,3024,58,0.0,0.0,-34.0,4.0,-37.0,-25.0,-20.0,10.0,-0.15717447084203,0.1970842593975143
208,20201008,3526,2970,63,0.0,0.0,-34.0,6.0,-33.0,-27.0,-20.0,12.0,-0.16084809080500873,0.19746119725541258
209,20201009,3573,3069,62,0.0,0.0,-33.0,3.0,-34.0,-28.0,-21.0,13.0,-0.14940704615447065,0.19314721961426715
210,20201010,3591,3032,62,0.0,0.0,-34.0,1.0,-37.0,-30.0,-17.0,13.0,-0.15745007482735848,0.20185780256445865
211,20201011,3612,3110,59,0.0,0.0,-32.0,5.0,-36.0,-24.0,-2.0,11.0,-0.15101156178562747,0.2065501574704625
212,20201012,3583,3155,60,0.0,0.0,-30.0,5.0,-33.0,-28.0,-24.0,13.0,-0.12243145481663138,0.18409750374770564
213,20201013,3631,3185,62,0.0,0.0,-30.0,5.0,-32.0,-28.0,-25.0,13.0,-0.12262443335839888,0.19135542155671267
214,20201014,3677,3096,64,0.0,0.0,-28.0,10.0,-33.0,-21.0,-17.0,11.0,-0.12074439410150442,0.18648585364964043
215,20201015,3720,3179,62,0.0,0.0,-29.0,11.0,-31.0,-22.0,-16.0,13.0,-0.12650416971481787,0.18963557173773926
216,20201016,3771,3194,61,0.0,0.0,-29.0,11.0,-33.0,-22.0,-19.0,13.0,-0.10952914586296002,0.18506611099453665
217,20201017,3865,3183,61,0.0,0.0,-31.0,10.0,-34.0,-24.0,-11.0,12.0,-0.1153540866495237,0.18692403907547225
218,20201018,3983,3113,64,0.0,0.0,-27.0,13.0,-33.0,-18.0,2.0,10.0,-0.10976625332198554,0.19492984468306304
219,20201019,3992,3272,63,0.0,0.0,-25.0,12.0,-29.0,-22.0,-24.0,13.0,-0.10565888775786283,0.17841797873610216
220,20201020,4029,3382,61,0.0,0.0,-23.0,14.0,-28.0,-21.0,-26.0,13.0,-0.10100176378696618,0.1811046016801293
221,20201021,4069,3596,64,0.0,0.0,-18.0,23.0,-26.0,-12.0,-20.0,9.0,-0.0978359612840953,0.17784883154211675
