,A & N Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,dateymd,Daman & Diu,Delhi,Dadra & Nagar Haveli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Ladakh,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,status,Telangana,Tamil Naduv,Tripura,Total,State Unassigned,Uttar Pradesh,Uttarakhand,West Bengal
0,0,0,0,0,0,0,0,2020-03-14,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,Recovered,0,0,0,9,0,4,0,0
0,0,0,0,0,0,0,0,2020-03-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Recovered,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,4,0,0
0,0,0,0,0,0,0,0,2020-03-20,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-23,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,12,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-24,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,2,0,0
0,0,1,0,0,0,0,0,2020-03-25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-26,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-27,0,0,0,0,0,1,0,0,0,2,0,3,0,18,0,0,0,0,0,0,1,0,0,0,Recovered,0,1,0,26,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-28,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,9,0,0,1,0
0,0,0,0,0,0,0,0,2020-03-29,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,2020-03-30,0,0,0,0,2,0,6,0,0,1,4,0,0,14,0,0,0,0,0,0,0,0,0,0,Recovered,13,2,0,49,0,6,1,0
0,0,0,0,0,0,0,2,2020-03-31,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,2,0,15,0,0,0,3
0,0,1,0,0,0,0,0,2020-04-01,0,0,0,0,0,0,10,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Recovered,0,0,0,16,0,0,0,0
